ValidStart,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_population,total_area,Region
2000-12-26,432389.91000000003,150034.6,129734.73000000003,149682.78,15727.880000000001,10725.21,54633492.84,12341994.3,11906813.119999997,25123312.150000002,3440600.6400000006,5489399.35,111.6875,112935612.39999998,888295.1099999999,South
2001-01-02,432389.91000000003,165582.27000000002,155267.40999999997,108582.31,16510.32,9962.84,54633492.84,13856973.179999998,14480752.23,21037328.43,3659741.08,5267324.61,104.75,112935612.37,888295.06,South
2001-01-09,431302.3,156486.28,154205.52000000002,105835.09000000001,30503.069999999996,9962.8,54601697.70999999,12283005.21,14825768.53,19873040.019999996,6084788.170000001,5267312.75,110.125,112935612.38999999,888295.06,South
2001-01-16,424476.69,163311.83000000002,154206.32,102247.53000000001,34033.170000000006,10019.51,52971776.3,13912866.91,14826279.529999997,19220475.619999997,6894588.290000001,5109625.77,111.875,112935612.42000002,888295.05,South
2001-01-23,436558.71,205107.33000000002,121414.04999999999,98539.28000000001,16266.04,10409.64,50833939.06,20385084.76,14834642.130000003,17813670.779999994,3242733.51,5825542.16,100.0,112935612.39999999,888295.05,South
2001-01-30,424654.56000000006,228671.09,123964.47,84329.23999999999,16265.94,10409.73,49086244.21000001,23165606.059999995,15876831.969999999,15738654.45,3242775.78,5825499.89,98.375,112935612.35999998,888295.03,South
2001-02-06,436471.02,208334.19999999995,120977.43,91692.45000000001,20724.87,10095.09,49841162.81,19691042.6,14451180.860000001,18605273.55,4525613.33,5821339.23,101.0625,112935612.38000001,888295.06,South
2001-02-13,430864.12,190617.24999999997,134252.58000000002,84074.09000000001,30027.79,18459.23,47687331.900000006,18160201.13,15095862.370000001,17438725.76,7202749.54,7350741.69,110.5,112935612.39000002,888295.06,South
2001-02-20,490441.5,143582.31,120141.62999999999,82374.23,32519.760000000002,19235.64,52496234.53,14465882.06,11491748.710000003,19738579.09,7001121.669999999,7742046.31,99.25,112935612.37,888295.0700000001,South
2001-02-27,499452.18000000005,136147.88,118376.45,82200.81,30046.62,22071.09,53620014.0,13454962.569999998,11339405.040000001,18465302.11,7519026.74,8536901.92,97.75,112935612.38,888295.03,South
2001-03-06,539289.56,123864.51000000001,99829.67,75575.89,28410.18,21325.25,58174349.25,10973023.67,10188056.65,18290826.34,6861805.4799999995,8447551.02,87.1875,112935612.41,888295.0599999999,South
2001-03-13,535424.46,131398.88999999998,122193.65999999997,51532.54,26420.27,21325.22,58007747.01,11398088.009999998,17053658.28,11248367.1,6780234.58,8447517.43,84.1875,112935612.41000001,888295.0399999998,South
2001-03-20,544112.58,128991.83,120154.42,49654.55,24782.399999999998,20599.26,58800360.839999996,11042569.729999999,16968465.61,11653574.42,6204591.55,8266050.22,81.9375,112935612.37,888295.0399999998,South
2001-03-27,512081.91000000003,171245.53999999998,109927.27000000002,50953.79,24725.199999999997,19361.35,54799926.42999999,16099321.860000001,15912140.94,12097260.24,6024535.0600000005,8002427.89,87.625,112935612.42,888295.0599999999,South
2001-04-03,518516.0,181645.32,114563.39999999998,38119.29,30033.649999999998,5417.39,56502920.67,18022241.76,15147042.239999996,11229059.950000001,10721039.360000001,1313308.4,78.1875,112935612.38000003,888295.05,South
2001-04-10,521790.03,178712.08000000002,114226.84,38115.19,29261.399999999998,6189.5,55534587.68,20478617.73,13658997.12,11229087.47,11136139.8,898182.58,77.125,112935612.38000001,888295.0399999999,South
2001-04-17,493327.99,203521.90000000002,116266.40999999999,36481.67,30648.14,8048.92,52966325.81,23955336.640000008,12403855.33,9615514.98,12555673.8,1438905.84,81.1875,112935612.4,888295.03,South
2001-04-24,492838.39999999997,191478.19999999998,125177.13,40104.2,30648.219999999998,8048.92,52789089.36,22611096.619999997,13526021.18,10014731.749999998,12555767.680000002,1438905.84,83.375,112935612.43,888295.07,South
2001-05-01,476087.68,158142.48,171427.99000000002,43939.87000000001,30648.129999999997,8048.92,52574612.36,19615257.240000002,16366165.030000001,10384991.959999999,12555679.940000003,1438905.84,94.0,112935612.37,888295.0700000001,South
2001-05-08,340141.88,209991.84000000003,207969.34999999998,76726.38,45416.67999999999,8048.92,30502425.009999998,27930770.86,27419799.71,9790367.969999997,15853343.01,1438905.84,147.3125,112935612.39999999,888295.05,South
2001-05-15,340248.7,165042.91999999998,214507.09999999998,109349.43000000001,45311.21,13835.72,30504259.08,15404279.469999999,34810733.14,14408329.5,13742498.51,4065512.72,173.0625,112935612.41999999,888295.0800000001,South
2001-05-22,340833.82,207760.69,200532.40000000002,87022.65,37485.19,14660.3,31325269.96,21658023.229999993,29960265.250000004,12622708.079999998,12949912.95,4419432.92,157.25,112935612.38999999,888295.0499999999,South
2001-05-29,382968.32,182655.59000000003,189524.7,84001.66,34547.590000000004,14597.22,41369336.16,16975557.22,25581246.09,12222821.559999999,12408908.92,4377742.44,126.0,112935612.39000002,888295.08,South
2001-06-05,476173.04,130483.57999999999,164198.88,70192.40000000001,35234.380000000005,12012.77,52447773.620000005,13319283.19,20590975.739999995,13283230.87,9351100.59,3943248.35,102.8125,112935612.36,888295.05,South
2001-06-12,552628.8599999999,128619.25999999998,106707.20999999999,62408.22,35042.979999999996,2888.54,63110739.150000006,13217908.31,11214252.7,14084290.94,10717409.48,591011.8,75.3125,112935612.38000001,888295.07,South
