MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,ClimateDivisionsID
20211214,North Central,0.00,"2,524.61","4,778.24",825.21,0.00,0.00,2021-12-14,2021-12-20,2,0203
20211214,South Central,0.00,"6,015.35","8,582.52",0.00,0.00,0.00,2021-12-14,2021-12-20,2,0206
20211214,Southwest,0.00,"3,506.42","5,686.56",754.34,85.16,0.00,2021-12-14,2021-12-20,2,0205
20211214,Southeast,0.00,"7,545.43","14,232.63","1,358.43",0.00,0.00,2021-12-14,2021-12-20,2,0207
20211214,Northeast,0.00,"5,175.82","12,250.35","16,518.12","5,894.94",0.00,2021-12-14,2021-12-20,2,0202
20211214,East Central,0.00,"1,690.20","3,104.94",0.00,0.00,0.00,2021-12-14,2021-12-20,2,0204
20211214,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-12-14,2021-12-20,2,0201
20211207,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-12-07,2021-12-13,2,0206
20211207,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-12-07,2021-12-13,2,0203
20211207,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-12-07,2021-12-13,2,0205
20211207,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-12-07,2021-12-13,2,0204
20211207,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-12-07,2021-12-13,2,0207
20211207,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-12-07,2021-12-13,2,0202
20211207,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-12-07,2021-12-13,2,0201
20211130,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-11-30,2021-12-06,2,0202
20211130,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-11-30,2021-12-06,2,0207
20211130,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-11-30,2021-12-06,2,0206
20211130,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-11-30,2021-12-06,2,0205
20211130,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-11-30,2021-12-06,2,0201
20211130,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-11-30,2021-12-06,2,0204
20211130,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-11-30,2021-12-06,2,0203
20211123,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-11-23,2021-11-29,2,0203
20211123,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-11-23,2021-11-29,2,0201
20211123,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-11-23,2021-11-29,2,0207
20211123,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-11-23,2021-11-29,2,0204
20211123,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-11-23,2021-11-29,2,0205
20211123,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-11-23,2021-11-29,2,0206
20211123,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-11-23,2021-11-29,2,0202
20211116,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-11-16,2021-11-22,2,0207
20211116,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-11-16,2021-11-22,2,0204
20211116,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-11-16,2021-11-22,2,0205
20211116,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-11-16,2021-11-22,2,0202
20211116,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-11-16,2021-11-22,2,0203
20211116,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-11-16,2021-11-22,2,0201
20211116,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-11-16,2021-11-22,2,0206
20211109,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-11-09,2021-11-15,2,0207
20211109,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-11-09,2021-11-15,2,0203
20211109,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-11-09,2021-11-15,2,0201
20211109,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-11-09,2021-11-15,2,0204
20211109,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-11-09,2021-11-15,2,0205
20211109,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-11-09,2021-11-15,2,0206
20211109,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-11-09,2021-11-15,2,0202
20211102,South Central,0.00,"6,048.86","8,549.01",0.00,0.00,0.00,2021-11-02,2021-11-08,2,0206
20211102,East Central,0.00,"1,676.56","3,118.58",0.00,0.00,0.00,2021-11-02,2021-11-08,2,0204
20211102,Northeast,0.00,"5,210.10","12,216.07","16,518.12","5,894.94",0.00,2021-11-02,2021-11-08,2,0202
20211102,North Central,0.00,"2,514.26","4,788.59",825.21,0.00,0.00,2021-11-02,2021-11-08,2,0203
20211102,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-11-02,2021-11-08,2,0201
20211102,Southwest,0.00,"3,525.18","5,667.79",754.34,85.16,0.00,2021-11-02,2021-11-08,2,0205
20211102,Southeast,0.00,"7,510.08","14,267.98","1,358.43",0.00,0.00,2021-11-02,2021-11-08,2,0207
20211026,Southwest,0.00,"3,526.47","5,666.50",754.34,85.16,0.00,2021-10-26,2021-11-01,2,0205
20211026,Northeast,0.00,"5,206.52","12,219.65","16,518.12","5,894.94",0.00,2021-10-26,2021-11-01,2,0202
20211026,South Central,0.00,"6,048.48","8,549.39",0.00,0.00,0.00,2021-10-26,2021-11-01,2,0206
20211026,North Central,0.00,"2,516.11","4,786.75",825.21,0.00,0.00,2021-10-26,2021-11-01,2,0203
20211026,East Central,0.00,"1,678.98","3,116.17",0.00,0.00,0.00,2021-10-26,2021-11-01,2,0204
20211026,Northwest,0.00,0.00,82.17,"9,246.15","4,136.33",5.20,2021-10-26,2021-11-01,2,0201
20211026,Southeast,0.00,"7,506.15","14,271.91","1,358.43",0.00,0.00,2021-10-26,2021-11-01,2,0207
20211019,South Central,0.00,"5,978.38","8,619.49",0.00,0.00,0.00,2021-10-19,2021-10-25,2,0206
20211019,East Central,0.00,"1,707.49","3,087.65",0.00,0.00,0.00,2021-10-19,2021-10-25,2,0204
20211019,North Central,0.00,"2,537.74","4,765.11",825.21,0.00,0.00,2021-10-19,2021-10-25,2,0203
20211019,Southeast,0.00,"7,580.07","14,197.99","1,358.43",0.00,0.00,2021-10-19,2021-10-25,2,0207
20211019,Northwest,0.00,0.00,82.17,"9,233.79","4,148.68",5.20,2021-10-19,2021-10-25,2,0201
20211019,Northeast,0.00,"5,134.84","12,291.33","16,422.16","5,990.90",0.00,2021-10-19,2021-10-25,2,0202
20211019,Southwest,0.00,"3,487.27","5,705.71",737.78,101.72,0.00,2021-10-19,2021-10-25,2,0205
20211012,South Central,0.00,"5,978.38","8,619.49",0.00,0.00,0.00,2021-10-12,2021-10-18,2,0206
20211012,East Central,0.00,"1,707.49","3,087.65",0.00,0.00,0.00,2021-10-12,2021-10-18,2,0204
20211012,Northwest,0.00,0.00,68.50,"9,247.46","4,148.68",5.20,2021-10-12,2021-10-18,2,0201
20211012,Northeast,0.00,"5,134.84","12,030.39","16,683.09","5,990.90",0.00,2021-10-12,2021-10-18,2,0202
20211012,North Central,0.00,"2,537.74","4,783.19",807.13,0.00,0.00,2021-10-12,2021-10-18,2,0203
20211012,Southwest,0.00,"3,487.27","5,657.65",785.84,101.72,0.00,2021-10-12,2021-10-18,2,0205
20211012,Southeast,0.00,"7,580.07","14,112.92","1,443.50",0.00,0.00,2021-10-12,2021-10-18,2,0207
20211005,East Central,0.00,955.25,"3,839.90",0.00,0.00,0.00,2021-10-05,2021-10-11,2,0204
20211005,Northeast,0.00,"2,981.49","7,862.69","17,766.16","11,228.88",0.00,2021-10-05,2021-10-11,2,0202
20211005,Southeast,0.00,"7,575.06","14,114.49","1,344.48",102.46,0.00,2021-10-05,2021-10-11,2,0207
