Name,MapDate,DSCI
Arizona,20000104,60
Arizona,20000111,100
Arizona,20000118,100
Arizona,20000125,100
Arizona,20000201,100
Arizona,20000208,100
Arizona,20000215,138
Arizona,20000222,132
Arizona,20000229,121
Arizona,20000307,110
Arizona,20000314,52
Arizona,20000321,52
Arizona,20000328,49
Arizona,20000404,51
Arizona,20000411,52
Arizona,20000418,50
Arizona,20000425,47
Arizona,20000502,70
Arizona,20000509,75
Arizona,20000516,116
Arizona,20000523,116
Arizona,20000530,123
Arizona,20000606,137
Arizona,20000613,138
Arizona,20000620,139
Arizona,20000627,142
Arizona,20000704,49
Arizona,20000711,50
Arizona,20000718,86
Arizona,20000725,101
Arizona,20000801,103
Arizona,20000808,120
Arizona,20000815,119
Arizona,20000822,116
Arizona,20000829,105
Arizona,20000905,86
Arizona,20000912,86
Arizona,20000919,86
Arizona,20000926,105
Arizona,20001003,135
Arizona,20001010,139
Arizona,20001017,96
Arizona,20001024,52
Arizona,20001031,9
Arizona,20001107,0
Arizona,20001114,0
Arizona,20001121,0
Arizona,20001128,0
Arizona,20001205,0
Arizona,20001212,0
Arizona,20001219,0
Arizona,20001226,0
Arizona,20010102,0
Arizona,20010109,10
Arizona,20010116,0
Arizona,20010123,0
Arizona,20010130,0
Arizona,20010206,0
Arizona,20010213,0
Arizona,20010220,0
Arizona,20010227,0
Arizona,20010306,0
Arizona,20010313,0
Arizona,20010320,0
Arizona,20010327,0
Arizona,20010403,0
Arizona,20010410,0
Arizona,20010417,0
Arizona,20010424,0
Arizona,20010501,0
Arizona,20010508,0
Arizona,20010515,0
Arizona,20010522,0
Arizona,20010529,0
Arizona,20010605,0
Arizona,20010612,0
Arizona,20010619,31
Arizona,20010626,31
Arizona,20010703,33
Arizona,20010710,0
Arizona,20010717,0
Arizona,20010724,0
Arizona,20010731,0
Arizona,20010807,0
Arizona,20010814,0
Arizona,20010821,0
Arizona,20010828,0
Arizona,20010904,0
Arizona,20010911,0
Arizona,20010918,0
Arizona,20010925,0
Arizona,20011002,0
Arizona,20011009,0
Arizona,20011016,0
Arizona,20011023,0
Arizona,20011030,0
Arizona,20011106,0
Arizona,20011113,0
Arizona,20011120,0
Arizona,20011127,0
Arizona,20011204,0
Arizona,20011211,0
Arizona,20011218,0
Arizona,20011225,0
Arizona,20020101,0
Arizona,20020108,0
Arizona,20020115,42
Arizona,20020122,51
Arizona,20020129,51
Arizona,20020205,61
Arizona,20020212,112
Arizona,20020219,111
Arizona,20020226,123
Arizona,20020305,123
Arizona,20020312,196
