MapDate,UrbanArea,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211214,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-12-14,2021-12-20,2
20211207,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-12-07,2021-12-13,2
20211130,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-11-30,2021-12-06,2
20211123,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-11-23,2021-11-29,2
20211116,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-11-16,2021-11-22,2
20211109,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-11-09,2021-11-15,2
20211102,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-11-02,2021-11-08,2
20211026,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-10-26,2021-11-01,2
20211019,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-10-19,2021-10-25,2
20211012,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-10-12,2021-10-18,2
20211005,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-10-05,2021-10-11,2
20210928,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-09-28,2021-10-04,2
20210921,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-09-21,2021-09-27,2
20210914,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-09-14,2021-09-20,2
20210907,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-09-07,2021-09-13,2
20210831,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-08-31,2021-09-06,2
20210824,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-08-24,2021-08-30,2
20210817,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-08-17,2021-08-23,2
20210810,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-08-10,2021-08-16,2
20210803,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-08-03,2021-08-09,2
20210727,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-07-27,2021-08-02,2
20210720,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-07-20,2021-07-26,2
20210713,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,2
20210706,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,2
20210629,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,2
20210622,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,2
20210615,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,2
20210608,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,2
20210601,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,2
20210525,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,2
20210518,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,2
20210511,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,2
20210504,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,2
20210427,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,2
20210420,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,2
20210413,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,2
20210406,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,2
20210330,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,2
20210323,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,2
20210316,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,2
20210309,"Abbeville, LA",10.17,1.23,0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,2
20210302,"Abbeville, LA",10.17,1.23,0.00,0.00,0.00,0.00,2021-03-02,2021-03-08,2
20210223,"Abbeville, LA",9.96,1.44,0.00,0.00,0.00,0.00,2021-02-23,2021-03-01,2
20210216,"Abbeville, LA",9.96,1.44,0.00,0.00,0.00,0.00,2021-02-16,2021-02-22,2
20210209,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2021-02-09,2021-02-15,2
20210202,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2021-02-02,2021-02-08,2
20210126,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2021-01-26,2021-02-01,2
20210119,"Abbeville, LA",10.45,0.95,0.00,0.00,0.00,0.00,2021-01-19,2021-01-25,2
20210112,"Abbeville, LA",11.06,0.34,0.00,0.00,0.00,0.00,2021-01-12,2021-01-18,2
20210105,"Abbeville, LA",11.06,0.34,0.00,0.00,0.00,0.00,2021-01-05,2021-01-11,2
20201229,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-12-29,2021-01-04,2
20201222,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-12-22,2020-12-28,2
20201215,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-12-15,2020-12-21,2
20201208,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-12-08,2020-12-14,2
20201201,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-12-01,2020-12-07,2
20201124,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-11-24,2020-11-30,2
20201117,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-11-17,2020-11-23,2
20201110,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-11-10,2020-11-16,2
20201103,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-11-03,2020-11-09,2
20201027,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-10-27,2020-11-02,2
20201020,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-10-20,2020-10-26,2
20201013,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-10-13,2020-10-19,2
20201006,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-10-06,2020-10-12,2
20200929,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-09-29,2020-10-05,2
20200922,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-09-22,2020-09-28,2
20200915,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-09-15,2020-09-21,2
20200908,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-09-08,2020-09-14,2
20200901,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-09-01,2020-09-07,2
20200825,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-08-25,2020-08-31,2
20200818,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-08-18,2020-08-24,2
20200811,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-08-11,2020-08-17,2
20200804,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-08-04,2020-08-10,2
20200728,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-07-28,2020-08-03,2
20200721,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-07-21,2020-07-27,2
20200714,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-07-14,2020-07-20,2
20200707,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-07-07,2020-07-13,2
20200630,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-06-30,2020-07-06,2
20200623,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-06-23,2020-06-29,2
20200616,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-06-16,2020-06-22,2
20200609,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-06-09,2020-06-15,2
20200602,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,2
20200526,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,2
20200519,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,2
20200512,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,2
20200505,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,2
20200428,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,2
20200421,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,2
20200414,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,2
20200407,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,2
20200331,"Abbeville, LA",1.89,9.51,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,2
20200324,"Abbeville, LA",1.89,9.51,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,2
20200317,"Abbeville, LA",1.89,9.51,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,2
20200310,"Abbeville, LA",1.89,9.51,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,2
20200303,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,2
20200225,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,2
20200218,"Abbeville, LA",4.33,7.07,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,2
20200211,"Abbeville, LA",1.53,9.87,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,2
20200204,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,2
20200128,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,2
20200121,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,2
20200114,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,2
20200107,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,2
20191231,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,2
20191224,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,2
20191217,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,2
20191210,"Abbeville, LA",0.00,11.40,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,2
20191203,"Abbeville, LA",1.02,10.38,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,2
20191126,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,2
20191119,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,2
20191112,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,2
20191105,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,2
20191029,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,2
20191022,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,2
20191015,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,2
20191008,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,2
20191001,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,2
20190924,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-09-24,2019-09-30,2
20190917,"Abbeville, LA",11.40,0.00,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,2
