ValidStart,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_population,total_area,Region
2000-12-26,600877.8200000001,121608.38,25709.829999999998,17732.659999999996,0.0,0.0,61079972.63,3456565.2300000004,953416.6800000002,1444944.2199999997,0.0,0.0,27.0,66934898.76,765928.69,Midwest
2001-01-02,606679.6900000001,114551.24,26965.09,17732.659999999996,0.0,0.0,61226793.11,3274875.9000000004,988285.53,1444944.2199999997,0.0,0.0,26.416666666666668,66934898.760000005,765928.6800000002,Midwest
2001-01-09,587938.07,132483.81,27774.14,17732.659999999996,0.0,0.0,59558504.24,4920097.180000001,1011353.11,1444944.2199999997,0.0,0.0,28.583333333333332,66934898.75000001,765928.6800000002,Midwest
2001-01-16,587396.21,133025.68,39551.18,5955.619999999999,0.0,0.0,59507249.050000004,4971352.73,2321547.5700000003,134749.40999999997,0.0,0.0,27.333333333333332,66934898.760000005,765928.69,Midwest
2001-01-23,481220.27,229086.86000000004,43774.409999999996,11847.14,0.0,0.0,50665504.639999986,13012023.18,2791860.2399999998,465510.7,0.0,0.0,43.833333333333336,66934898.76,765928.6799999999,Midwest
2001-01-30,620421.39,112958.12,27714.82,4834.33,0.0,0.0,60387181.57,4216672.59,2038900.54,292144.06,0.0,0.0,21.25,66934898.76,765928.6599999999,Midwest
2001-02-06,629575.56,104140.15999999997,27378.6,4834.33,0.0,0.0,60480485.230000004,4133639.4599999995,2028630.02,292144.06,0.0,0.0,20.166666666666668,66934898.769999996,765928.6500000001,Midwest
2001-02-13,687226.1799999998,69386.8,8835.33,480.37,0.0,0.0,64318462.42,2298140.2199999997,298763.73000000004,19532.37,0.0,0.0,10.25,66934898.74,765928.6799999999,Midwest
2001-02-20,693325.26,63759.67,8843.759999999998,0.0,0.0,0.0,64580728.16000001,2051988.1999999997,302182.39,0.0,0.0,0.0,9.333333333333334,66934898.75,765928.69,Midwest
2001-02-27,715572.4500000001,47457.189999999995,2899.04,0.0,0.0,0.0,66208567.88999999,644807.92,81522.93999999999,0.0,0.0,0.0,6.166666666666667,66934898.75,765928.6799999999,Midwest
2001-03-06,717542.17,45490.869999999995,2895.65,0.0,0.0,0.0,66238431.78999999,615066.66,81400.29,0.0,0.0,0.0,6.0,66934898.74,765928.6900000001,Midwest
2001-03-13,713560.8099999999,52367.880000000005,0.0,0.0,0.0,0.0,66224132.919999994,710765.83,0.0,0.0,0.0,0.0,6.083333333333333,66934898.75,765928.69,Midwest
2001-03-20,710119.7999999999,55808.869999999995,0.0,0.0,0.0,0.0,66025699.11,909199.6399999999,0.0,0.0,0.0,0.0,6.5,66934898.75,765928.6699999999,Midwest
2001-03-27,639751.36,126177.31000000001,0.0,0.0,0.0,0.0,52165074.46,14769824.300000003,0.0,0.0,0.0,0.0,20.166666666666668,66934898.76,765928.6699999999,Midwest
2001-04-03,633661.58,126052.38,6214.73,0.0,0.0,0.0,49074386.300000004,15292561.809999999,2567950.67,0.0,0.0,0.0,23.583333333333332,66934898.779999994,765928.69,Midwest
2001-04-10,677242.26,85019.61,3666.8,0.0,0.0,0.0,56798948.510000005,8529402.879999999,1606547.34,0.0,0.0,0.0,15.416666666666666,66934898.730000004,765928.6700000002,Midwest
2001-04-17,724059.8300000001,40226.38,1642.48,0.0,0.0,0.0,63178961.989999995,3353407.01,402529.78,0.0,0.0,0.0,6.916666666666667,66934898.78,765928.69,Midwest
2001-04-24,706073.1600000001,47342.19,12513.310000000001,0.0,0.0,0.0,59452786.23,6182391.2299999995,1299721.3,0.0,0.0,0.0,12.5,66934898.76,765928.6599999999,Midwest
2001-05-01,667219.8,55966.770000000004,42742.09,0.0,0.0,0.0,54419309.87,8426792.059999999,4088796.83,0.0,0.0,0.0,22.833333333333332,66934898.76,765928.6600000001,Midwest
2001-05-08,628007.9200000002,71710.65000000001,31165.57,35044.53,0.0,0.0,43877335.0,14948844.339999998,5677531.75,2431187.66,0.0,0.0,41.583333333333336,66934898.75,765928.6700000002,Midwest
2001-05-15,605348.3999999999,82136.41,37170.08,41273.8,0.0,0.0,39462897.16,18021872.24,5223007.3,4227122.07,0.0,0.0,48.083333333333336,66934898.769999996,765928.69,Midwest
2001-05-22,678683.8599999999,40594.659999999996,35460.99,11189.16,0.0,0.0,55796725.949999996,6632558.959999999,3777239.13,728374.71,0.0,0.0,24.583333333333332,66934898.75,765928.6699999999,Midwest
2001-05-29,693673.0399999998,27910.180000000004,36727.93,7617.54,0.0,0.0,57799109.19,5727309.59,2843555.5100000007,564924.48,0.0,0.0,20.416666666666668,66934898.769999996,765928.69,Midwest
2001-06-05,714851.81,30632.15,14281.43,6163.27,0.0,0.0,63166003.73,2484457.4,1000186.71,284250.91,0.0,0.0,12.166666666666666,66934898.74999999,765928.6599999999,Midwest
2001-06-12,730235.8699999999,19507.35,9140.58,7044.88,0.0,0.0,65150299.92,917556.7300000001,561617.85,305424.25,0.0,0.0,8.333333333333334,66934898.75,765928.6799999999,Midwest
2001-06-19,720569.5900000001,24007.38,15896.96,5454.73,0.0,0.0,64500024.940000005,1234366.75,942331.0,258176.07,0.0,0.0,10.666666666666666,66934898.76,765928.6599999999,Midwest
2001-06-26,710968.46,33608.51,15896.96,5454.73,0.0,0.0,64456978.89,1277412.7999999998,942331.0,258176.07,0.0,0.0,11.75,66934898.76,765928.6600000001,Midwest
2001-07-03,677909.31,61998.909999999996,20565.71,5454.73,0.0,0.0,63675967.63999999,2036415.1899999997,964339.89,258176.07,0.0,0.0,16.0,66934898.79000001,765928.6600000001,Midwest
2001-07-10,676668.19,73072.09000000001,12360.980000000001,3827.43,0.0,0.0,64133203.68,2350460.12,282618.46,168616.51,0.0,0.0,12.583333333333334,66934898.77,765928.6900000002,Midwest
2001-07-17,527436.96,224506.02000000002,10158.26,3827.43,0.0,0.0,52245910.18999999,14249187.87,271184.19,168616.51,0.0,0.0,33.666666666666664,66934898.76,765928.6699999999,Midwest
2001-07-24,495142.5399999999,256874.00999999998,12325.26,1586.88,0.0,0.0,40127624.01,26447916.820000004,293327.47,66030.45,0.0,0.0,37.666666666666664,66934898.75,765928.69,Midwest
2001-07-31,500960.26999999996,245302.25,18091.39,1574.77,0.0,0.0,25909172.470000003,39815099.11000001,1145061.06,65566.13,0.0,0.0,39.333333333333336,66934898.77,765928.6799999999,Midwest
2001-08-07,539631.7999999999,205037.45999999996,19684.63,1574.77,0.0,0.0,36842577.77,29205444.32,821310.5400000002,65566.13,0.0,0.0,33.083333333333336,66934898.76,765928.66,Midwest
2001-08-14,536784.19,178134.05,44087.47,6923.0,0.0,0.0,35487446.4,20834411.919999994,10380725.94,232314.51,0.0,0.0,40.166666666666664,66934898.76999999,765928.71,Midwest
2001-08-21,611361.55,109293.98000000001,37327.719999999994,7945.4400000000005,0.0,0.0,46020055.940000005,12749737.659999998,5685861.54,2479243.63,0.0,0.0,29.666666666666668,66934898.77,765928.6900000002,Midwest
