Name,MapDate,DSCI
Alaska,20001226,0
Alaska,20010102,0
Alaska,20010109,0
Alaska,20010116,0
Alaska,20010123,0
Alaska,20010130,0
Alaska,20010206,0
Alaska,20010213,0
Alaska,20010220,0
Alaska,20010227,0
Alaska,20010306,0
Alaska,20010313,0
Alaska,20010320,0
Alaska,20010327,0
Alaska,20010403,0
Alaska,20010410,0
Alaska,20010417,0
Alaska,20010424,0
Alaska,20010501,0
Alaska,20010508,0
Alaska,20010515,0
Alaska,20010522,0
Alaska,20010529,0
Alaska,20010605,0
Alaska,20010612,0
Alaska,20010619,0
Alaska,20010626,0
Alaska,20010703,6
Alaska,20010710,2
Alaska,20010717,2
Alaska,20010724,2
Alaska,20010731,0
Alaska,20010807,0
Alaska,20010814,0
Alaska,20010821,0
Alaska,20010828,0
Alaska,20010904,0
Alaska,20010911,0
Alaska,20010918,0
Alaska,20010925,0
Alaska,20011002,0
Alaska,20011009,0
Alaska,20011016,0
Alaska,20011023,0
Alaska,20011030,0
Alaska,20011106,0
Alaska,20011113,0
Alaska,20011120,0
Alaska,20011127,0
Alaska,20011204,0
Alaska,20011211,0
Alaska,20011218,0
Alaska,20011225,0
Alaska,20020101,0
Alaska,20020108,0
Alaska,20020115,0
Alaska,20020122,0
Alaska,20020129,0
Alaska,20020205,0
Alaska,20020212,0
Alaska,20020219,0
Alaska,20020226,0
Alaska,20020305,0
Alaska,20020312,17
Alaska,20020319,17
Alaska,20020326,16
Alaska,20020402,14
Alaska,20020409,13
Alaska,20020416,22
Alaska,20020423,22
Alaska,20020430,16
Alaska,20020507,16
Alaska,20020514,16
Alaska,20020521,16
Alaska,20020528,18
Alaska,20020604,47
Alaska,20020611,44
Alaska,20020618,38
Alaska,20020625,39
Alaska,20020702,39
Alaska,20020709,39
Alaska,20020716,32
Alaska,20020723,31
Alaska,20020730,39
Alaska,20020806,53
Alaska,20020813,51
Alaska,20020820,41
Alaska,20020827,38
Alaska,20020903,26
Alaska,20020910,0
Alaska,20020917,0
Alaska,20020924,0
Alaska,20021001,0
Alaska,20021008,0
Alaska,20021015,0
Alaska,20021022,0
Alaska,20021029,0
Alaska,20021105,0
Alaska,20021112,0
Alaska,20021119,0
Alaska,20021126,0
Alaska,20021203,0
Alaska,20021210,0
Alaska,20021217,0
Alaska,20021224,0
Alaska,20021231,0
Alaska,20030107,0
Alaska,20030114,0
Alaska,20030121,0
Alaska,20030128,0
Alaska,20030204,0
Alaska,20030211,0
Alaska,20030218,0
Alaska,20030225,9
Alaska,20030304,9
Alaska,20030311,9
Alaska,20030318,37
Alaska,20030325,37
Alaska,20030401,37
Alaska,20030408,29
Alaska,20030415,22
Alaska,20030422,23
Alaska,20030429,18
Alaska,20030506,18
Alaska,20030513,18
Alaska,20030520,22
Alaska,20030527,23
Alaska,20030603,33
Alaska,20030610,32
Alaska,20030617,41
Alaska,20030624,41
Alaska,20030701,35
Alaska,20030708,22
Alaska,20030715,23
Alaska,20030722,11
Alaska,20030729,3
Alaska,20030805,3
Alaska,20030812,3
Alaska,20030819,3
Alaska,20030826,2
Alaska,20030902,3
Alaska,20030909,3
Alaska,20030916,3
Alaska,20030923,3
Alaska,20030930,3
Alaska,20031007,3
Alaska,20031014,3
Alaska,20031021,7
Alaska,20031028,7
Alaska,20031104,7
Alaska,20031111,13
Alaska,20031118,13
Alaska,20031125,14
Alaska,20031202,13
Alaska,20031209,14
Alaska,20031216,11
Alaska,20031223,9
Alaska,20031230,13
Alaska,20040106,21
Alaska,20040113,14
Alaska,20040120,16
Alaska,20040127,16
Alaska,20040203,16
Alaska,20040210,28
Alaska,20040217,28
Alaska,20040224,28
Alaska,20040302,28
Alaska,20040309,21
Alaska,20040316,22
Alaska,20040323,22
Alaska,20040330,22
Alaska,20040406,22
Alaska,20040413,22
Alaska,20040420,22
Alaska,20040427,22
Alaska,20040504,22
Alaska,20040511,21
Alaska,20040518,21
Alaska,20040525,18
Alaska,20040601,15
Alaska,20040608,13
Alaska,20040615,12
Alaska,20040622,12
Alaska,20040629,24
Alaska,20040706,29
Alaska,20040713,29
Alaska,20040720,39
Alaska,20040727,59
Alaska,20040803,59
Alaska,20040810,56
Alaska,20040817,63
Alaska,20040824,65
Alaska,20040831,68
Alaska,20040907,53
Alaska,20040914,42
Alaska,20040921,42
Alaska,20040928,18
Alaska,20041005,18
Alaska,20041012,18
Alaska,20041019,18
Alaska,20041026,23
Alaska,20041102,23
Alaska,20041109,23
Alaska,20041116,23
Alaska,20041123,19
Alaska,20041130,19
Alaska,20041207,19
Alaska,20041214,19
Alaska,20041221,19
Alaska,20041228,0
Alaska,20050104,0
Alaska,20050111,0
Alaska,20050118,0
Alaska,20050125,0
Alaska,20050201,0
Alaska,20050208,0
Alaska,20050215,0
Alaska,20050222,0
Alaska,20050301,0
Alaska,20050308,0
Alaska,20050315,0
Alaska,20050322,0
Alaska,20050329,0
Alaska,20050405,0
Alaska,20050412,0
Alaska,20050419,0
Alaska,20050426,0
Alaska,20050503,0
Alaska,20050510,0
Alaska,20050517,0
Alaska,20050524,0
Alaska,20050531,0
Alaska,20050607,0
Alaska,20050614,0
Alaska,20050621,0
Alaska,20050628,9
Alaska,20050705,9
Alaska,20050712,0
Alaska,20050719,0
Alaska,20050726,0
Alaska,20050802,0
Alaska,20050809,0
Alaska,20050816,16
Alaska,20050823,15
Alaska,20050830,15
Alaska,20050906,15
Alaska,20050913,15
Alaska,20050920,15
Alaska,20050927,13
Alaska,20051004,0
Alaska,20051011,0
Alaska,20051018,0
Alaska,20051025,0
Alaska,20051101,12
Alaska,20051108,12
Alaska,20051115,12
Alaska,20051122,9
Alaska,20051129,9
Alaska,20051206,9
Alaska,20051213,9
Alaska,20051220,9
Alaska,20051227,9
Alaska,20060103,9
Alaska,20060110,9
Alaska,20060117,21
Alaska,20060124,21
Alaska,20060131,21
Alaska,20060207,31
Alaska,20060214,28
Alaska,20060221,28
Alaska,20060228,28
Alaska,20060307,28
Alaska,20060314,28
Alaska,20060321,37
Alaska,20060328,37
Alaska,20060404,38
Alaska,20060411,29
Alaska,20060418,29
Alaska,20060425,29
Alaska,20060502,30
Alaska,20060509,32
Alaska,20060516,29
Alaska,20060523,22
Alaska,20060530,22
Alaska,20060606,22
Alaska,20060613,22
Alaska,20060620,22
Alaska,20060627,22
Alaska,20060704,16
Alaska,20060711,16
Alaska,20060718,16
Alaska,20060725,16
Alaska,20060801,12
Alaska,20060808,10
Alaska,20060815,9
Alaska,20060822,0
Alaska,20060829,0
Alaska,20060905,0
Alaska,20060912,0
Alaska,20060919,0
Alaska,20060926,0
Alaska,20061003,0
Alaska,20061010,0
Alaska,20061017,0
Alaska,20061024,0
Alaska,20061031,0
Alaska,20061107,0
Alaska,20061114,0
Alaska,20061121,0
Alaska,20061128,0
Alaska,20061205,0
Alaska,20061212,0
Alaska,20061219,28
Alaska,20061226,28
Alaska,20070102,28
Alaska,20070109,27
Alaska,20070116,25
Alaska,20070123,25
Alaska,20070130,25
Alaska,20070206,25
Alaska,20070213,25
Alaska,20070220,26
Alaska,20070227,26
Alaska,20070306,28
Alaska,20070313,40
Alaska,20070320,40
Alaska,20070327,40
Alaska,20070403,40
Alaska,20070410,40
Alaska,20070417,40
Alaska,20070424,40
Alaska,20070501,40
Alaska,20070508,40
Alaska,20070515,40
Alaska,20070522,40
Alaska,20070529,40
Alaska,20070605,40
Alaska,20070612,34
Alaska,20070619,34
Alaska,20070626,35
Alaska,20070703,35
Alaska,20070710,30
Alaska,20070717,29
Alaska,20070724,29
Alaska,20070731,29
Alaska,20070807,29
Alaska,20070814,29
Alaska,20070821,29
Alaska,20070828,29
Alaska,20070904,29
Alaska,20070911,24
Alaska,20070918,18
Alaska,20070925,18
Alaska,20071002,18
Alaska,20071009,18
Alaska,20071016,18
Alaska,20071023,18
Alaska,20071030,18
Alaska,20071106,18
Alaska,20071113,18
Alaska,20071120,18
Alaska,20071127,18
Alaska,20071204,18
Alaska,20071211,18
Alaska,20071218,18
Alaska,20071225,18
Alaska,20080101,31
Alaska,20080108,31
Alaska,20080115,31
Alaska,20080122,31
Alaska,20080129,31
Alaska,20080205,31
Alaska,20080212,43
Alaska,20080219,43
Alaska,20080226,43
Alaska,20080304,43
Alaska,20080311,43
Alaska,20080318,43
Alaska,20080325,43
Alaska,20080401,43
Alaska,20080408,33
Alaska,20080415,33
Alaska,20080422,33
Alaska,20080429,33
Alaska,20080506,33
Alaska,20080513,33
Alaska,20080520,27
Alaska,20080527,21
Alaska,20080603,21
Alaska,20080610,21
Alaska,20080617,0
Alaska,20080624,0
Alaska,20080701,0
Alaska,20080708,0
Alaska,20080715,0
Alaska,20080722,0
Alaska,20080729,0
Alaska,20080805,0
Alaska,20080812,0
Alaska,20080819,0
Alaska,20080826,0
Alaska,20080902,0
Alaska,20080909,0
Alaska,20080916,17
Alaska,20080923,27
Alaska,20080930,27
Alaska,20081007,27
Alaska,20081014,27
Alaska,20081021,27
Alaska,20081028,20
Alaska,20081104,20
Alaska,20081111,20
Alaska,20081118,18
Alaska,20081125,18
Alaska,20081202,18
Alaska,20081209,23
Alaska,20081216,23
Alaska,20081223,23
Alaska,20081230,23
Alaska,20090106,23
Alaska,20090113,23
Alaska,20090120,25
Alaska,20090127,25
Alaska,20090203,25
Alaska,20090210,16
Alaska,20090217,10
Alaska,20090224,10
Alaska,20090303,10
Alaska,20090310,0
Alaska,20090317,0
Alaska,20090324,0
Alaska,20090331,0
Alaska,20090407,0
Alaska,20090414,0
Alaska,20090421,7
Alaska,20090428,7
Alaska,20090505,7
Alaska,20090512,11
Alaska,20090519,11
Alaska,20090526,13
Alaska,20090602,13
Alaska,20090609,13
Alaska,20090616,13
Alaska,20090623,13
Alaska,20090630,23
Alaska,20090707,23
Alaska,20090714,23
Alaska,20090721,23
Alaska,20090728,17
Alaska,20090804,14
Alaska,20090811,28
Alaska,20090818,27
Alaska,20090825,20
Alaska,20090901,13
Alaska,20090908,13
Alaska,20090915,13
Alaska,20090922,9
Alaska,20090929,8
Alaska,20091006,8
Alaska,20091013,5
Alaska,20091020,5
Alaska,20091027,5
Alaska,20091103,5
Alaska,20091110,5
Alaska,20091117,5
Alaska,20091124,5
Alaska,20091201,5
Alaska,20091208,5
Alaska,20091215,17
Alaska,20091222,17
Alaska,20091229,28
Alaska,20100105,28
Alaska,20100112,38
Alaska,20100119,38
Alaska,20100126,38
Alaska,20100202,38
Alaska,20100209,38
Alaska,20100216,38
Alaska,20100223,38
Alaska,20100302,38
Alaska,20100309,38
Alaska,20100316,38
Alaska,20100323,38
Alaska,20100330,42
Alaska,20100406,41
Alaska,20100413,39
Alaska,20100420,39
Alaska,20100427,39
Alaska,20100504,39
Alaska,20100511,39
Alaska,20100518,39
Alaska,20100525,42
Alaska,20100601,42
Alaska,20100608,42
Alaska,20100615,49
Alaska,20100622,49
Alaska,20100629,49
Alaska,20100706,38
Alaska,20100713,38
Alaska,20100720,38
Alaska,20100727,30
Alaska,20100803,24
Alaska,20100810,24
Alaska,20100817,24
Alaska,20100824,24
Alaska,20100831,19
Alaska,20100907,15
Alaska,20100914,15
Alaska,20100921,21
Alaska,20100928,28
Alaska,20101005,28
Alaska,20101012,27
Alaska,20101019,27
Alaska,20101026,27
Alaska,20101102,27
Alaska,20101109,34
Alaska,20101116,34
Alaska,20101123,34
Alaska,20101130,34
Alaska,20101207,19
Alaska,20101214,19
Alaska,20101221,19
Alaska,20101228,21
Alaska,20110104,21
Alaska,20110111,21
Alaska,20110118,21
Alaska,20110125,21
Alaska,20110201,37
Alaska,20110208,28
Alaska,20110215,26
Alaska,20110222,17
Alaska,20110301,17
Alaska,20110308,17
Alaska,20110315,18
Alaska,20110322,18
Alaska,20110329,18
Alaska,20110405,18
Alaska,20110412,18
Alaska,20110419,18
Alaska,20110426,18
Alaska,20110503,17
Alaska,20110510,17
Alaska,20110517,17
Alaska,20110524,18
Alaska,20110531,18
Alaska,20110607,26
Alaska,20110614,26
Alaska,20110621,26
Alaska,20110628,23
Alaska,20110705,21
Alaska,20110712,21
Alaska,20110719,17
Alaska,20110726,17
Alaska,20110802,14
Alaska,20110809,14
Alaska,20110816,14
Alaska,20110823,14
Alaska,20110830,14
Alaska,20110906,3
Alaska,20110913,3
Alaska,20110920,0
Alaska,20110927,0
Alaska,20111004,0
Alaska,20111011,0
Alaska,20111018,0
Alaska,20111025,0
Alaska,20111101,0
Alaska,20111108,0
Alaska,20111115,0
Alaska,20111122,0
Alaska,20111129,0
Alaska,20111206,0
Alaska,20111213,0
Alaska,20111220,0
Alaska,20111227,0
Alaska,20120103,0
Alaska,20120110,0
Alaska,20120117,0
Alaska,20120124,0
Alaska,20120131,0
Alaska,20120207,0
Alaska,20120214,0
Alaska,20120221,0
Alaska,20120228,0
Alaska,20120306,0
Alaska,20120313,0
Alaska,20120320,0
Alaska,20120327,0
Alaska,20120403,0
Alaska,20120410,0
Alaska,20120417,0
Alaska,20120424,0
Alaska,20120501,0
Alaska,20120508,0
Alaska,20120515,0
Alaska,20120522,0
Alaska,20120529,0
Alaska,20120605,0
Alaska,20120612,0
Alaska,20120619,18
Alaska,20120626,42
Alaska,20120703,42
Alaska,20120710,29
Alaska,20120717,29
Alaska,20120724,29
Alaska,20120731,29
Alaska,20120807,29
Alaska,20120814,29
Alaska,20120821,29
Alaska,20120828,29
Alaska,20120904,29
Alaska,20120911,29
Alaska,20120918,29
Alaska,20120925,29
Alaska,20121002,29
Alaska,20121009,29
Alaska,20121016,29
Alaska,20121023,29
Alaska,20121030,29
Alaska,20121106,29
Alaska,20121113,29
Alaska,20121120,29
Alaska,20121127,47
Alaska,20121204,47
Alaska,20121211,47
Alaska,20121218,47
Alaska,20121225,65
Alaska,20130101,67
Alaska,20130108,67
Alaska,20130115,67
Alaska,20130122,67
Alaska,20130129,67
Alaska,20130205,60
Alaska,20130212,60
Alaska,20130219,60
Alaska,20130226,60
Alaska,20130305,55
Alaska,20130312,56
Alaska,20130319,56
Alaska,20130326,56
Alaska,20130402,56
Alaska,20130409,56
Alaska,20130416,40
Alaska,20130423,40
Alaska,20130430,29
Alaska,20130507,24
Alaska,20130514,24
Alaska,20130521,24
Alaska,20130528,24
Alaska,20130604,24
Alaska,20130611,24
Alaska,20130618,24
Alaska,20130625,56
Alaska,20130702,64
Alaska,20130709,64
Alaska,20130716,64
Alaska,20130723,76
Alaska,20130730,76
Alaska,20130806,76
Alaska,20130813,78
Alaska,20130820,88
Alaska,20130827,88
Alaska,20130903,75
Alaska,20130910,75
Alaska,20130917,54
Alaska,20130924,54
Alaska,20131001,48
Alaska,20131008,48
Alaska,20131015,48
Alaska,20131022,48
Alaska,20131029,48
Alaska,20131105,48
Alaska,20131112,48
Alaska,20131119,28
Alaska,20131126,28
Alaska,20131203,15
Alaska,20131210,15
Alaska,20131217,15
Alaska,20131224,13
Alaska,20131231,15
Alaska,20140107,15
Alaska,20140114,13
Alaska,20140121,13
Alaska,20140128,13
Alaska,20140204,13
Alaska,20140211,13
Alaska,20140218,13
Alaska,20140225,13
Alaska,20140304,13
Alaska,20140311,15
Alaska,20140318,2
Alaska,20140325,2
Alaska,20140401,2
Alaska,20140408,2
Alaska,20140415,2
Alaska,20140422,2
Alaska,20140429,2
Alaska,20140506,2
Alaska,20140513,2
Alaska,20140520,2
Alaska,20140527,2
Alaska,20140603,21
Alaska,20140610,21
Alaska,20140617,21
Alaska,20140624,21
Alaska,20140701,0
Alaska,20140708,0
Alaska,20140715,0
Alaska,20140722,0
Alaska,20140729,0
Alaska,20140805,0
Alaska,20140812,0
Alaska,20140819,0
Alaska,20140826,0
Alaska,20140902,0
Alaska,20140909,0
Alaska,20140916,0
Alaska,20140923,0
Alaska,20140930,0
Alaska,20141007,0
Alaska,20141014,0
Alaska,20141021,0
Alaska,20141028,0
Alaska,20141104,0
Alaska,20141111,0
Alaska,20141118,0
Alaska,20141125,0
Alaska,20141202,0
Alaska,20141209,0
Alaska,20141216,0
Alaska,20141223,0
Alaska,20141230,0
Alaska,20150106,0
Alaska,20150113,0
Alaska,20150120,0
Alaska,20150127,0
Alaska,20150203,0
Alaska,20150210,0
Alaska,20150217,28
Alaska,20150224,28
Alaska,20150303,33
Alaska,20150310,30
Alaska,20150317,30
Alaska,20150324,30
Alaska,20150331,30
Alaska,20150407,30
Alaska,20150414,24
Alaska,20150421,24
Alaska,20150428,24
Alaska,20150505,24
Alaska,20150512,24
Alaska,20150519,24
Alaska,20150526,24
Alaska,20150602,34
Alaska,20150609,34
Alaska,20150616,47
Alaska,20150623,63
Alaska,20150630,67
Alaska,20150707,78
Alaska,20150714,81
Alaska,20150721,75
Alaska,20150728,91
Alaska,20150804,91
Alaska,20150811,91
Alaska,20150818,91
Alaska,20150825,91
Alaska,20150901,89
Alaska,20150908,70
Alaska,20150915,67
Alaska,20150922,46
Alaska,20150929,46
Alaska,20151006,26
Alaska,20151013,25
Alaska,20151020,23
Alaska,20151027,23
Alaska,20151103,23
Alaska,20151110,23
Alaska,20151117,23
Alaska,20151124,23
Alaska,20151201,10
Alaska,20151208,10
Alaska,20151215,10
Alaska,20151222,10
Alaska,20151229,10
Alaska,20160105,10
Alaska,20160112,10
Alaska,20160119,10
Alaska,20160126,10
Alaska,20160202,10
Alaska,20160209,10
Alaska,20160216,10
Alaska,20160223,10
Alaska,20160301,10
Alaska,20160308,10
Alaska,20160315,16
Alaska,20160322,16
Alaska,20160329,16
Alaska,20160405,16
Alaska,20160412,23
Alaska,20160419,23
Alaska,20160426,23
Alaska,20160503,23
Alaska,20160510,23
Alaska,20160517,23
Alaska,20160524,16
Alaska,20160531,16
Alaska,20160607,16
Alaska,20160614,16
Alaska,20160621,27
Alaska,20160628,27
Alaska,20160705,22
Alaska,20160712,22
Alaska,20160719,28
Alaska,20160726,21
Alaska,20160802,21
Alaska,20160809,18
Alaska,20160816,18
Alaska,20160823,0
Alaska,20160830,0
Alaska,20160906,0
Alaska,20160913,0
Alaska,20160920,0
Alaska,20160927,0
Alaska,20161004,0
Alaska,20161011,0
Alaska,20161018,10
Alaska,20161025,10
Alaska,20161101,10
Alaska,20161108,9
Alaska,20161115,9
Alaska,20161122,9
Alaska,20161129,9
Alaska,20161206,9
Alaska,20161213,9
Alaska,20161220,9
Alaska,20161227,9
Alaska,20170103,11
Alaska,20170110,11
Alaska,20170117,11
Alaska,20170124,9
Alaska,20170131,9
Alaska,20170207,9
Alaska,20170214,9
Alaska,20170221,32
Alaska,20170228,35
Alaska,20170307,31
Alaska,20170314,31
Alaska,20170321,31
Alaska,20170328,31
Alaska,20170404,31
Alaska,20170411,31
Alaska,20170418,33
Alaska,20170425,33
Alaska,20170502,33
Alaska,20170509,33
Alaska,20170516,33
Alaska,20170523,33
Alaska,20170530,33
Alaska,20170606,40
Alaska,20170613,40
Alaska,20170620,46
Alaska,20170627,37
Alaska,20170704,37
Alaska,20170711,37
Alaska,20170718,47
Alaska,20170725,45
Alaska,20170801,46
Alaska,20170808,33
Alaska,20170815,11
Alaska,20170822,11
Alaska,20170829,11
Alaska,20170905,8
Alaska,20170912,0
Alaska,20170919,0
Alaska,20170926,0
Alaska,20171003,0
Alaska,20171010,0
Alaska,20171017,0
Alaska,20171024,0
Alaska,20171031,0
Alaska,20171107,0
Alaska,20171114,0
Alaska,20171121,0
Alaska,20171128,0
Alaska,20171205,0
Alaska,20171212,0
Alaska,20171219,0
Alaska,20171226,0
Alaska,20180102,0
Alaska,20180109,0
Alaska,20180116,0
Alaska,20180123,0
Alaska,20180130,36
Alaska,20180206,27
Alaska,20180213,27
Alaska,20180220,27
Alaska,20180227,27
Alaska,20180306,29
Alaska,20180313,29
Alaska,20180320,24
Alaska,20180327,24
Alaska,20180403,13
Alaska,20180410,13
Alaska,20180417,13
Alaska,20180424,11
Alaska,20180501,11
Alaska,20180508,11
Alaska,20180515,11
Alaska,20180522,2
Alaska,20180529,2
Alaska,20180605,2
Alaska,20180612,2
