Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
Montana,MT,2021-12-07,2021-12-13,0.0,0.0,10567.48,36264.67,51563.74,48692.42,0.0,0.0,100095.54,282574.73,349370.47,257374.26,394,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-11-30,2021-12-06,0.0,0.0,10567.48,38229.91,49598.5,48692.42,0.0,0.0,100095.54,309173.43,322771.77,257374.26,393,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-11-23,2021-11-29,0.0,0.0,10567.48,38229.91,49598.5,48692.42,0.0,0.0,100095.54,309173.43,322771.77,257374.26,393,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-11-16,2021-11-22,0.0,0.0,10567.48,35160.99,67287.97,34071.89,0.0,0.0,100095.54,287041.74,382835.94,219441.78,385,147088.33000000002,989415.0,Northern Rockies and Plains
Montana,MT,2021-11-09,2021-11-15,0.0,0.0,1.31,44593.03,69764.19,32729.79,0.0,0.0,44.39,385046.48,366881.85,237442.28,392,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-11-02,2021-11-08,0.0,0.0,1.31,44593.03,69259.68,33234.3,0.0,0.0,44.39,385046.48,346609.85,257714.28,392,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-10-26,2021-11-01,0.0,0.0,1.31,42909.49,74601.04,29576.48,0.0,0.0,44.39,370382.81,403349.08,215638.73,391,147088.32,989415.01,Northern Rockies and Plains
Montana,MT,2021-10-19,2021-10-25,0.0,0.0,1.31,31324.09,89216.46,26546.46,0.0,0.0,44.39,342206.1,511187.52,135977.0,397,147088.32,989415.01,Northern Rockies and Plains
Montana,MT,2021-10-12,2021-10-18,0.0,0.0,0.0,38197.61,76652.09,32238.62,0.0,0.0,0.0,443417.23,394823.87,151173.91,396,147088.32,989415.01,Northern Rockies and Plains
Montana,MT,2021-10-05,2021-10-11,0.0,0.0,0.0,45204.65,69650.03,32233.63,0.0,0.0,0.0,504443.77,333800.54,151170.69,391,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-09-28,2021-10-04,0.0,0.0,0.0,50474.67,64380.01,32233.63,0.0,0.0,0.0,576661.28,261583.03,151170.69,388,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-09-21,2021-09-27,0.0,0.0,1907.72,49308.3,65916.24,29956.05,0.0,0.0,24638.01,553491.83,305106.3,106178.86,384,147088.31,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-09-14,2021-09-20,0.0,0.0,1907.72,44481.21,70743.33,29956.05,0.0,0.0,24638.01,522652.22,335945.91,106178.86,388,147088.31,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-09-07,2021-09-13,0.0,0.0,1907.72,44656.03,70631.0,29893.57,0.0,0.0,24638.01,523124.05,335511.06,106141.87,387,147088.32,989414.9899999999,Northern Rockies and Plains
Montana,MT,2021-08-31,2021-09-06,0.0,0.0,1907.72,44656.03,70631.0,29893.57,0.0,0.0,24603.39,523158.68,335511.06,106141.87,387,147088.32,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-08-24,2021-08-30,0.0,0.0,1907.72,37865.31,86997.59,20317.69,0.0,0.0,24840.91,418141.71,464966.66,81465.72,385,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-08-17,2021-08-23,0.0,0.0,1907.72,37865.31,86997.59,20317.69,0.0,0.0,24840.91,418141.71,464966.66,81465.72,385,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-08-10,2021-08-16,0.0,0.0,1907.72,44277.68,83953.64,16949.28,0.0,0.0,24840.91,440329.64,449043.96,75200.49,379,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-08-03,2021-08-09,0.0,0.0,1907.72,44639.4,83617.83,16923.36,0.0,0.0,24840.91,440443.05,449040.42,75090.63,379,147088.31,989415.0099999999,Northern Rockies and Plains
Montana,MT,2021-07-27,2021-08-02,0.0,1895.74,27294.05,46276.21,63266.59,8355.73,0.0,23803.22,344427.12,338066.24,272832.06,10286.36,333,147088.32,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-07-20,2021-07-26,0.0,5612.65,27684.22,47644.87,58283.69,7862.88,0.0,66488.56,313154.54,366995.05,233309.21,9467.64,324,147088.31,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-07-13,2021-07-19,0.0,12597.84,28547.1,52371.53,53571.86,0.0,0.0,132221.86,308019.06,371545.65,177628.43,0.0,300,147088.33000000002,989415.0,Northern Rockies and Plains
Montana,MT,2021-07-06,2021-07-12,0.0,23037.34,28108.53,57845.73,38096.71,0.0,0.0,318442.66,205179.67,369383.12,96409.55,0.0,275,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-06-29,2021-07-05,11014.54,20739.85,25673.66,60334.59,29325.69,0.0,189409.62,194158.94,151516.64,403593.89,50735.91,0.0,252,147088.33,989415.0,Northern Rockies and Plains
Montana,MT,2021-06-22,2021-06-28,12903.11,33275.81,30543.59,49407.68,20958.13,0.0,211388.56,256738.14,295661.96,185925.02,39701.33,0.0,222,147088.32,989415.01,Northern Rockies and Plains
Montana,MT,2021-06-15,2021-06-21,15075.58,45390.23,38516.06,32595.49,15510.95,0.0,216034.68,413523.16,277549.53,47186.97,35120.66,0.0,192,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-06-08,2021-06-14,16849.7,48792.94,33339.23,31966.06,16140.38,0.0,208486.1,488879.56,209741.7,46125.93,36181.7,0.0,188,147088.31,989414.9900000001,Northern Rockies and Plains
Montana,MT,2021-06-01,2021-06-07,26618.24,40700.93,34634.45,22247.77,22886.93,0.0,326042.55,391544.82,195950.08,26393.65,49483.9,0.0,182,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-05-25,2021-05-31,21300.49,36850.04,43803.08,22247.77,22886.93,0.0,232096.94,410135.42,271305.09,26393.65,49483.9,0.0,192,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-05-18,2021-05-24,18193.54,30905.15,48014.44,26861.88,23113.31,0.0,175213.02,358551.98,360124.0,45924.7,49601.3,0.0,204,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-05-11,2021-05-17,18193.54,30905.15,48022.93,26853.39,23113.31,0.0,175213.02,358551.98,360138.1,45910.59,49601.3,0.0,204,147088.32,989414.99,Northern Rockies and Plains
Montana,MT,2021-05-04,2021-05-10,18193.54,34224.82,44703.27,26853.39,23113.31,0.0,175213.02,400608.76,318081.33,45910.59,49601.3,0.0,202,147088.33000000002,989415.0000000001,Northern Rockies and Plains
Montana,MT,2021-04-27,2021-05-03,16086.55,37666.09,47192.68,25184.08,20958.92,0.0,155836.49,434590.15,309610.32,41591.02,47787.02,0.0,198,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-04-20,2021-04-26,17320.72,38178.02,50243.12,25292.84,16053.62,0.0,163027.0,440851.04,311687.02,36373.17,37476.77,0.0,190,147088.32,989415.0000000001,Northern Rockies and Plains
Montana,MT,2021-04-13,2021-04-19,19896.99,61538.17,38095.14,15108.16,12449.86,0.0,266255.4,543296.64,126611.51,21227.63,32023.82,0.0,158,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-04-06,2021-04-12,24303.55,58784.17,37436.57,18323.5,8240.52,0.0,323747.19,487206.96,126922.64,24607.09,26931.13,0.0,151,147088.31,989415.01,Northern Rockies and Plains
Montana,MT,2021-03-30,2021-04-05,24433.06,60919.63,36493.16,24594.52,647.95,0.0,325979.67,491310.69,122279.66,46869.2,2975.78,0.0,143,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-03-23,2021-03-29,29373.41,62978.84,29493.6,24594.52,647.95,0.0,369505.43,460576.86,109487.73,46869.2,2975.78,0.0,135,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-03-16,2021-03-22,22625.44,69875.47,34144.77,19795.43,647.21,0.0,299070.86,531365.76,115349.82,40655.99,2972.57,0.0,136,147088.31999999998,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-03-09,2021-03-15,22515.26,69614.45,34515.98,20442.63,0.0,0.0,297854.03,532082.03,115850.38,43628.56,0.0,0.0,136,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-03-02,2021-03-08,22515.26,34581.19,74464.32,15527.54,0.0,0.0,297854.03,189520.23,464910.56,37130.18,0.0,0.0,156,147088.31000000003,989415.0000000001,Northern Rockies and Plains
Montana,MT,2021-02-23,2021-03-01,4906.04,59015.89,70591.54,12574.85,0.0,0.0,57117.3,434817.86,466800.78,30679.06,0.0,0.0,162,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-02-16,2021-02-22,4906.04,59015.89,70591.54,12574.85,0.0,0.0,57117.3,434817.86,466800.78,30679.06,0.0,0.0,162,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2021-02-09,2021-02-15,4906.04,59015.14,67614.12,15553.02,0.0,0.0,57117.3,434816.65,465114.75,32366.3,0.0,0.0,164,147088.31999999998,989415.0,Northern Rockies and Plains
Montana,MT,2021-02-02,2021-02-08,4906.04,59015.14,59331.58,23305.67,529.88,0.0,57117.3,434816.65,397000.99,100199.69,280.36,0.0,170,147088.31,989414.9899999999,Northern Rockies and Plains
Montana,MT,2021-01-26,2021-02-01,21249.43,54876.04,47127.3,23305.67,529.88,0.0,281129.11,238085.73,369720.1,100199.69,280.36,0.0,150,147088.32,989414.9899999999,Northern Rockies and Plains
Montana,MT,2021-01-19,2021-01-25,27564.5,68619.78,38698.84,11675.31,529.88,0.0,335041.2,275650.94,354910.4,23532.1,280.36,0.0,125,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2021-01-12,2021-01-18,27902.17,68445.15,38572.21,11638.9,529.88,0.0,338549.8,271642.32,355480.06,23462.46,280.36,0.0,124,147088.31,989414.9999999999,Northern Rockies and Plains
Montana,MT,2021-01-05,2021-01-11,53462.33,42899.73,38560.79,11635.58,529.88,0.0,413850.52,196328.1,355510.51,23445.51,280.36,0.0,107,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2020-12-29,2021-01-04,53502.06,42976.04,38444.75,11635.58,529.88,0.0,414017.64,197458.81,354212.67,23445.51,280.36,0.0,107,147088.31,989414.9899999999,Northern Rockies and Plains
Montana,MT,2020-12-22,2020-12-28,53502.06,46491.67,34929.13,11635.58,529.88,0.0,414017.64,205811.41,345860.08,23445.51,280.36,0.0,104,147088.31999999998,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-12-15,2020-12-21,53502.06,46491.67,34929.13,11635.58,529.88,0.0,414017.64,205811.41,345860.08,23445.51,280.36,0.0,104,147088.31999999998,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-12-08,2020-12-14,53502.06,46491.67,34958.26,11606.45,529.88,0.0,414017.64,205811.41,345915.52,23390.07,280.36,0.0,104,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-12-01,2020-12-07,53014.7,47220.24,35315.24,11008.25,529.88,0.0,410915.97,209506.91,346991.34,21720.41,280.36,0.0,104,147088.31,989414.99,Northern Rockies and Plains
Montana,MT,2020-11-24,2020-11-30,51068.84,48108.6,35849.54,11531.46,529.88,0.0,401196.45,217674.16,347739.06,22524.97,280.36,0.0,106,147088.32,989414.9999999999,Northern Rockies and Plains
Montana,MT,2020-11-17,2020-11-23,51068.84,39151.99,44806.15,11531.46,529.88,0.0,401196.45,192032.11,373381.1,22524.97,280.36,0.0,113,147088.31999999998,989414.99,Northern Rockies and Plains
Montana,MT,2020-11-10,2020-11-16,24751.87,57574.67,52700.44,11531.46,529.88,0.0,262828.71,250180.92,453600.03,22524.97,280.36,0.0,136,147088.31999999998,989414.99,Northern Rockies and Plains
Montana,MT,2020-11-03,2020-11-09,13849.75,60034.81,61142.41,11531.46,529.88,0.0,230026.12,251351.26,485232.28,22524.97,280.36,0.0,149,147088.31,989414.99,Northern Rockies and Plains
Montana,MT,2020-10-27,2020-11-02,13746.49,60138.07,61142.41,11531.46,529.88,0.0,229222.25,252155.13,485232.28,22524.97,280.36,0.0,149,147088.31,989414.99,Northern Rockies and Plains
Montana,MT,2020-10-20,2020-10-26,4085.49,67561.34,62646.12,12265.49,529.88,0.0,53109.07,418042.15,493575.15,24408.27,280.36,0.0,158,147088.32,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-10-13,2020-10-19,4085.49,52289.83,79280.75,10902.37,529.88,0.0,53109.07,250659.73,664392.59,20973.25,280.36,0.0,167,147088.32,989414.9999999999,Northern Rockies and Plains
Montana,MT,2020-10-06,2020-10-12,17459.66,67436.22,51469.83,10192.72,529.88,0.0,69719.24,462350.44,437497.47,19567.49,280.36,0.0,138,147088.31000000003,989415.0,Northern Rockies and Plains
Montana,MT,2020-09-29,2020-10-05,17443.48,69936.87,53495.85,6184.26,27.85,0.0,69443.59,469116.35,439010.0,11830.33,14.74,0.0,133,147088.31,989415.0099999999,Northern Rockies and Plains
Montana,MT,2020-09-22,2020-09-28,28869.44,81371.58,35827.03,1020.26,0.0,0.0,226617.45,581424.86,180789.14,583.55,0.0,0.0,106,147088.31,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-09-15,2020-09-21,29030.77,84931.07,32106.21,1020.26,0.0,0.0,226769.05,587857.93,174204.46,583.55,0.0,0.0,103,147088.31000000003,989414.99,Northern Rockies and Plains
Montana,MT,2020-09-08,2020-09-14,40190.18,85159.99,20742.97,995.19,0.0,0.0,435627.38,446903.02,106358.05,526.56,0.0,0.0,88,147088.33000000002,989415.0100000001,Northern Rockies and Plains
Montana,MT,2020-09-01,2020-09-07,40107.63,85462.63,20522.87,995.19,0.0,0.0,441551.39,441458.79,105878.26,526.56,0.0,0.0,88,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-08-25,2020-08-31,52886.61,77595.21,15657.39,949.11,0.0,0.0,488362.73,415152.2,85397.9,502.18,0.0,0.0,76,147088.32,989415.01,Northern Rockies and Plains
Montana,MT,2020-08-18,2020-08-24,71123.52,60609.33,14406.36,949.11,0.0,0.0,659022.02,249083.48,80807.32,502.18,0.0,0.0,63,147088.32,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-08-11,2020-08-17,91054.0,40339.11,14747.69,947.52,0.0,0.0,766697.77,141288.67,80927.22,501.34,0.0,0.0,49,147088.31999999998,989415.0,Northern Rockies and Plains
Montana,MT,2020-08-04,2020-08-10,91413.73,39975.45,14751.62,947.52,0.0,0.0,778209.75,129794.12,80909.8,501.34,0.0,0.0,49,147088.31999999998,989415.01,Northern Rockies and Plains
Montana,MT,2020-07-28,2020-08-03,94630.02,36759.16,14751.62,947.52,0.0,0.0,796073.89,111929.97,80909.8,501.34,0.0,0.0,47,147088.31999999998,989415.0,Northern Rockies and Plains
Montana,MT,2020-07-21,2020-07-27,96701.32,37697.44,9497.7,3191.86,0.0,0.0,800836.5,116374.39,47900.3,24303.8,0.0,0.0,45,147088.32,989414.9900000001,Northern Rockies and Plains
Montana,MT,2020-07-14,2020-07-20,95120.63,39239.62,9536.21,3191.86,0.0,0.0,796265.18,120932.36,47913.66,24303.8,0.0,0.0,46,147088.31999999998,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-07-07,2020-07-13,80636.12,53061.28,10119.39,3271.54,0.0,0.0,763924.98,152083.36,48937.05,24469.61,0.0,0.0,56,147088.33,989415.0,Northern Rockies and Plains
Montana,MT,2020-06-30,2020-07-06,72742.48,51996.06,19133.05,3216.72,0.0,0.0,703464.52,193990.6,67519.27,24440.61,0.0,0.0,68,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2020-06-23,2020-06-29,70215.87,55524.95,18786.7,2560.8,0.0,0.0,662310.95,239150.34,83055.69,4898.02,0.0,0.0,69,147088.31999999998,989415.0,Northern Rockies and Plains
Montana,MT,2020-06-16,2020-06-22,63816.31,69872.1,10839.11,2560.8,0.0,0.0,549093.01,363978.19,71445.78,4898.02,0.0,0.0,67,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-06-09,2020-06-15,73260.56,66999.41,6828.35,0.0,0.0,0.0,563838.39,367195.32,58381.29,0.0,0.0,0.0,55,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-06-02,2020-06-08,85059.37,54013.44,8015.51,0.0,0.0,0.0,593709.39,313966.85,81738.76,0.0,0.0,0.0,48,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-05-26,2020-06-01,98976.68,44477.15,3634.48,0.0,0.0,0.0,655392.06,327384.11,6638.83,0.0,0.0,0.0,35,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2020-05-19,2020-05-25,95017.86,50868.41,1202.05,0.0,0.0,0.0,670114.82,301003.54,18296.64,0.0,0.0,0.0,36,147088.32,989414.9999999999,Northern Rockies and Plains
Montana,MT,2020-05-12,2020-05-18,98806.9,47079.37,1202.05,0.0,0.0,0.0,678605.44,292512.92,18296.64,0.0,0.0,0.0,34,147088.31999999998,989414.9999999999,Northern Rockies and Plains
Montana,MT,2020-05-05,2020-05-11,103770.44,42115.83,1202.05,0.0,0.0,0.0,687554.9,283563.46,18296.64,0.0,0.0,0.0,30,147088.32,989415.0000000001,Northern Rockies and Plains
Montana,MT,2020-04-28,2020-05-04,132833.6,14254.72,0.0,0.0,0.0,0.0,910597.32,78817.68,0.0,0.0,0.0,0.0,10,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-04-21,2020-04-27,132833.6,14254.72,0.0,0.0,0.0,0.0,910597.32,78817.68,0.0,0.0,0.0,0.0,10,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-04-14,2020-04-20,119665.91,27422.41,0.0,0.0,0.0,0.0,708206.77,281208.23,0.0,0.0,0.0,0.0,19,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-04-07,2020-04-13,125139.07,21949.25,0.0,0.0,0.0,0.0,804764.84,184650.16,0.0,0.0,0.0,0.0,15,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-03-31,2020-04-06,129797.82,17290.5,0.0,0.0,0.0,0.0,827542.73,161872.27,0.0,0.0,0.0,0.0,12,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-03-24,2020-03-30,129797.82,17290.5,0.0,0.0,0.0,0.0,827542.73,161872.27,0.0,0.0,0.0,0.0,12,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-03-17,2020-03-23,131416.29,15672.03,0.0,0.0,0.0,0.0,834452.42,154962.58,0.0,0.0,0.0,0.0,11,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-03-10,2020-03-16,131425.97,15662.35,0.0,0.0,0.0,0.0,834531.67,154883.33,0.0,0.0,0.0,0.0,11,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-03-03,2020-03-09,131425.97,15662.35,0.0,0.0,0.0,0.0,834531.67,154883.33,0.0,0.0,0.0,0.0,11,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-02-25,2020-03-02,138723.46,8364.85,0.0,0.0,0.0,0.0,884177.64,105237.36,0.0,0.0,0.0,0.0,6,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2020-02-18,2020-02-24,140333.16,6755.16,0.0,0.0,0.0,0.0,902355.75,87059.25,0.0,0.0,0.0,0.0,5,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-02-11,2020-02-17,142277.75,4810.57,0.0,0.0,0.0,0.0,922349.3,67065.7,0.0,0.0,0.0,0.0,3,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-02-04,2020-02-10,141946.22,5142.09,0.0,0.0,0.0,0.0,916555.64,72859.36,0.0,0.0,0.0,0.0,4,147088.31,989415.0,Northern Rockies and Plains
Montana,MT,2020-01-28,2020-02-03,135110.46,11977.86,0.0,0.0,0.0,0.0,832795.71,156619.29,0.0,0.0,0.0,0.0,8,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-01-21,2020-01-27,135110.46,11977.86,0.0,0.0,0.0,0.0,832795.71,156619.29,0.0,0.0,0.0,0.0,8,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-01-14,2020-01-20,130130.11,16958.21,0.0,0.0,0.0,0.0,812715.07,176699.93,0.0,0.0,0.0,0.0,12,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2020-01-07,2020-01-13,129952.02,17050.27,86.03,0.0,0.0,0.0,811627.18,177476.56,311.26,0.0,0.0,0.0,12,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2019-12-31,2020-01-06,132002.62,14978.23,107.47,0.0,0.0,0.0,816833.87,172181.95,399.18,0.0,0.0,0.0,10,147088.32,989415.0000000001,Northern Rockies and Plains
Montana,MT,2019-12-24,2019-12-30,134113.87,12866.99,107.45,0.0,0.0,0.0,846022.61,142993.29,399.11,0.0,0.0,0.0,9,147088.31,989415.01,Northern Rockies and Plains
Montana,MT,2019-12-17,2019-12-23,134113.87,12757.68,216.76,0.0,0.0,0.0,846022.61,142426.29,966.11,0.0,0.0,0.0,9,147088.31,989415.01,Northern Rockies and Plains
Montana,MT,2019-12-10,2019-12-16,140193.28,6895.04,0.0,0.0,0.0,0.0,936079.67,53335.33,0.0,0.0,0.0,0.0,5,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2019-12-03,2019-12-09,147088.32,0.0,0.0,0.0,0.0,0.0,989415.0,0.0,0.0,0.0,0.0,0.0,0,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2019-11-26,2019-12-02,147088.32,0.0,0.0,0.0,0.0,0.0,989415.0,0.0,0.0,0.0,0.0,0.0,0,147088.32,989415.0,Northern Rockies and Plains
Montana,MT,2019-11-19,2019-11-25,147088.32,0.0,0.0,0.0,0.0,0.0,989415.0,0.0,0.0,0.0,0.0,0.0,0,147088.32,989415.0,Northern Rockies and Plains
