Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
Idaho,ID,2021-12-07,2021-12-13,0.0,0.0,8580.09,54413.92,20574.33,0.1,0.0,0.0,470777.3,973591.05,123213.45,0.18,314,83568.44,1567581.98,Northwest
Idaho,ID,2021-11-30,2021-12-06,0.0,0.0,8580.09,53502.74,17306.12,4179.48,0.0,0.0,470777.3,920265.44,97694.57,78844.67,320,83568.43,1567581.98,Northwest
Idaho,ID,2021-11-23,2021-11-29,0.0,0.0,8580.09,53502.74,17306.12,4179.48,0.0,0.0,470777.3,920265.44,97694.57,78844.67,320,83568.43,1567581.98,Northwest
Idaho,ID,2021-11-16,2021-11-22,0.0,0.0,8579.13,51320.99,19488.84,4179.48,0.0,0.0,470775.86,917925.31,100036.14,78844.67,323,83568.43999999999,1567581.9799999997,Northwest
Idaho,ID,2021-11-09,2021-11-15,0.0,0.0,7859.54,45667.15,25862.26,4179.48,0.0,0.0,462418.38,900677.61,125641.31,78844.67,332,83568.43,1567581.97,Northwest
Idaho,ID,2021-11-02,2021-11-08,0.0,0.0,7859.54,45667.15,25838.69,4203.06,0.0,0.0,462418.38,900677.61,124851.77,79634.21,332,83568.44,1567581.97,Northwest
Idaho,ID,2021-10-26,2021-11-01,0.0,0.0,7859.54,30222.4,33311.0,12175.5,0.0,0.0,462418.38,571406.23,431634.47,102122.89,360,83568.44,1567581.97,Northwest
Idaho,ID,2021-10-19,2021-10-25,0.0,0.0,7859.54,23226.44,33523.29,18959.16,0.0,0.0,462418.38,533697.03,402751.67,168714.89,376,83568.43000000001,1567581.9700000002,Northwest
Idaho,ID,2021-10-12,2021-10-18,0.0,0.0,7435.67,23650.32,33523.29,18959.16,0.0,0.0,469191.38,526924.04,402751.67,168714.89,377,83568.44,1567581.98,Northwest
Idaho,ID,2021-10-05,2021-10-11,0.0,0.0,7435.67,23650.32,33523.29,18959.16,0.0,0.0,469191.38,526924.04,402751.67,168714.89,377,83568.44,1567581.98,Northwest
Idaho,ID,2021-09-28,2021-10-04,0.0,0.0,7435.67,23650.32,32743.01,19739.44,0.0,0.0,469191.38,526924.04,333967.64,237498.92,378,83568.44,1567581.98,Northwest
Idaho,ID,2021-09-21,2021-09-27,0.0,0.0,7435.67,23650.32,33347.05,19135.4,0.0,0.0,469191.38,526924.04,335016.22,236450.34,377,83568.44,1567581.9800000002,Northwest
Idaho,ID,2021-09-14,2021-09-20,0.0,0.0,7435.67,21736.28,34135.13,20261.36,0.0,0.0,469191.38,506103.07,310695.97,281591.56,380,83568.44,1567581.98,Northwest
Idaho,ID,2021-09-07,2021-09-13,0.0,0.0,10180.95,18991.01,37119.73,17276.76,0.0,0.0,757414.15,217880.29,290441.78,301845.74,374,83568.45,1567581.9600000002,Northwest
Idaho,ID,2021-08-31,2021-09-06,0.0,0.0,10170.07,19001.89,37119.73,17276.76,0.0,0.0,757334.35,217960.09,290441.78,301845.74,374,83568.45,1567581.96,Northwest
Idaho,ID,2021-08-24,2021-08-30,0.0,0.0,10178.24,25011.33,31102.11,17276.76,0.0,0.0,758708.34,240476.08,266551.8,301845.74,366,83568.43999999999,1567581.96,Northwest
Idaho,ID,2021-08-17,2021-08-23,0.0,0.0,10178.24,25011.33,30148.24,18230.63,0.0,0.0,758708.34,240476.08,257951.61,310445.93,368,83568.44,1567581.9599999997,Northwest
Idaho,ID,2021-08-10,2021-08-16,0.0,0.0,10656.43,24533.15,30148.24,18230.63,0.0,0.0,769075.73,230108.69,257951.61,310445.93,367,83568.45000000001,1567581.9599999997,Northwest
Idaho,ID,2021-08-03,2021-08-09,0.0,0.0,10670.22,24055.41,31165.66,17677.15,0.0,0.0,768579.14,227956.06,267271.43,303775.34,367,83568.44,1567581.97,Northwest
Idaho,ID,2021-07-27,2021-08-02,0.0,0.0,10130.93,24220.56,36047.3,13169.64,0.0,0.0,776956.54,222472.69,339178.45,228974.29,363,83568.43000000001,1567581.97,Northwest
Idaho,ID,2021-07-20,2021-07-26,0.0,0.0,10150.05,34608.08,29656.24,9154.07,0.0,0.0,777429.83,244640.02,407212.33,138299.78,345,83568.44,1567581.96,Northwest
