,tmax,tmin,prcp,temp_id
2001-01-01,35.25,21.25,0.0075,14
2001-01-02,37.0,16.25,0.0,14
2001-01-03,39.5,14.75,0.0,14
2001-01-04,48.0,20.5,0.0,14
2001-01-05,59.25,26.25,0.0,14
2001-01-06,58.0,26.25,0.0,14
2001-01-07,63.0,31.25,0.3875,14
2001-01-08,52.5,30.0,0.04,14
2001-01-09,42.25,22.75,0.0,14
2001-01-10,48.75,19.75,0.0,14
2001-01-11,46.75,28.75,0.24750000000000003,14
2001-01-12,45.0,39.0,0.0,14
2001-01-13,56.25,36.75,0.0,14
2001-01-14,60.0,37.5,0.1,14
2001-01-15,58.0,44.25,0.3075,14
2001-01-16,48.0,39.5,0.19,14
2001-01-17,53.0,42.5,0.1625,14
2001-01-18,63.0,50.0,0.8125,14
2001-01-19,61.75,36.25,1.0675000000000001,14
2001-01-20,39.25,27.0,0.0,14
2001-01-21,42.5,22.25,0.0,14
2001-01-22,50.25,22.75,0.0,14
2001-01-23,53.0,22.5,0.0,14
2001-01-24,55.75,30.0,0.0,14
2001-01-25,48.5,27.25,0.0,14
2001-01-26,54.0,23.5,0.0,14
2001-01-27,58.0,38.0,0.0425,14
2001-01-28,66.5,35.25,0.0,14
2001-01-29,66.0,48.0,1.2225,14
2001-01-30,66.0,46.25,0.0025,14
2001-01-31,62.5,43.25,0.03,14
2001-02-01,50.75,37.5,0.0,14
2001-02-02,47.0,33.25,0.01,14
2001-02-03,50.0,28.25,0.0025,14
2001-02-04,58.5,28.5,0.0,14
2001-02-05,57.25,31.0,0.0,14
2001-02-06,65.0,29.5,0.0,14
2001-02-07,70.0,38.0,0.0,14
2001-02-08,74.25,43.0,0.0,14
2001-02-09,75.25,46.75,0.66,14
2001-02-10,51.0,34.75,0.0775,14
2001-02-11,53.0,31.5,0.0525,14
2001-02-12,58.25,47.0,0.295,14
2001-02-13,56.75,49.75,0.475,14
2001-02-14,70.25,55.0,0.0175,14
2001-02-15,77.0,62.25,0.2275,14
2001-02-16,74.25,43.75,0.8675,14
2001-02-17,51.75,34.25,0.0,14
2001-02-18,53.0,28.75,0.0,14
2001-02-19,66.75,33.0,0.0,14
2001-02-20,69.25,51.25,0.0,14
2001-02-21,67.75,54.75,0.43,14
2001-02-22,65.25,44.0,0.07250000000000001,14
2001-02-23,66.25,41.0,0.0,14
2001-02-24,69.0,52.25,0.045,14
2001-02-25,71.5,56.0,0.8525,14
2001-02-26,71.75,50.5,0.005,14
2001-02-27,66.5,49.0,0.085,14
2001-02-28,62.5,49.75,0.21500000000000002,14
2001-03-01,66.75,48.0,0.02,14
2001-03-02,68.5,58.0,0.7000000000000001,14
2001-03-03,64.25,56.75,2.17,14
2001-03-04,62.75,43.75,0.05500000000000001,14
2001-03-05,55.75,37.25,0.0,14
2001-03-06,54.75,33.25,0.0,14
