,tmax,tmin,prcp,temp_id
2001-01-01,65.5,37.75,0.0,21
2001-01-02,65.0,35.25,0.0,21
2001-01-03,66.75,42.75,0.0,21
2001-01-04,70.25,39.25,0.0,21
2001-01-05,70.0,41.0,0.0,21
2001-01-06,64.5,44.0,0.0275,21
2001-01-07,65.75,39.0,0.0,21
2001-01-08,65.75,41.0,0.09,21
2001-01-09,53.75,42.5,0.23500000000000001,21
2001-01-10,57.25,39.25,0.0,21
2001-01-11,59.75,41.75,0.095,21
2001-01-12,50.25,36.25,0.4975,21
2001-01-13,51.0,33.0,0.0,21
2001-01-14,53.75,28.25,0.0,21
2001-01-15,51.25,30.75,0.052500000000000005,21
2001-01-16,45.25,31.0,0.2275,21
2001-01-17,46.75,27.75,0.0,21
2001-01-18,50.25,27.75,0.0,21
2001-01-19,55.5,25.75,0.0,21
2001-01-20,60.5,32.5,0.0,21
2001-01-21,62.75,31.5,0.0,21
2001-01-22,64.0,41.25,0.0025,21
2001-01-23,62.25,38.0,0.005,21
2001-01-24,63.5,39.25,0.0,21
2001-01-25,56.25,35.75,0.0,21
2001-01-26,55.75,31.25,0.0075,21
2001-01-27,49.0,37.5,0.245,21
2001-01-28,47.0,34.75,0.0175,21
2001-01-29,52.25,34.0,0.0025,21
2001-01-30,52.0,32.5,0.005,21
2001-01-31,51.75,31.25,0.0,21
2001-02-01,57.25,34.0,0.0,21
2001-02-02,63.25,34.0,0.0,21
2001-02-03,68.5,36.5,0.0,21
2001-02-04,73.0,39.25,0.0,21
2001-02-05,74.75,42.5,0.0,21
2001-02-06,71.75,44.75,0.0,21
2001-02-07,62.75,44.25,0.0175,21
2001-02-08,49.0,34.0,0.095,21
2001-02-09,53.75,28.75,0.0,21
2001-02-10,59.75,31.0,0.0,21
2001-02-11,58.25,34.25,0.0,21
2001-02-12,63.0,34.5,0.0,21
2001-02-13,59.25,37.75,0.1675,21
2001-02-14,50.0,34.5,0.12,21
2001-02-15,52.75,28.25,0.02,21
2001-02-16,59.25,29.5,0.0,21
2001-02-17,63.0,33.25,0.0,21
2001-02-18,67.75,41.75,0.0,21
2001-02-19,66.75,39.0,0.0,21
2001-02-20,68.25,44.0,0.0,21
2001-02-21,69.25,40.75,0.0,21
2001-02-22,68.75,42.5,0.0,21
2001-02-23,56.5,39.5,0.045000000000000005,21
2001-02-24,55.5,32.25,0.0,21
2001-02-25,59.0,41.75,0.057499999999999996,21
2001-02-26,58.5,42.5,0.07500000000000001,21
2001-02-27,56.75,38.25,0.1525,21
2001-02-28,52.0,38.5,0.125,21
2001-03-01,56.25,35.25,0.0025,21
2001-03-02,59.5,34.0,0.0,21
2001-03-03,60.25,39.5,0.0075,21
2001-03-04,68.0,38.75,0.0,21
2001-03-05,70.0,46.25,0.0,21
2001-03-06,67.75,50.0,0.37,21
2001-03-07,56.5,44.75,0.46499999999999997,21
2001-03-08,63.5,42.75,0.0,21
2001-03-09,65.0,45.25,0.0575,21
2001-03-10,55.0,43.0,0.16749999999999998,21
2001-03-11,55.25,40.75,0.0325,21
2001-03-12,63.0,40.0,0.0,21
2001-03-13,67.75,39.75,0.0325,21
2001-03-14,70.25,42.75,0.0,21
2001-03-15,69.5,44.0,0.0,21
2001-03-16,70.75,43.25,0.0,21
2001-03-17,69.0,43.0,0.0,21
2001-03-18,74.25,42.0,0.0,21
2001-03-19,79.0,44.75,0.0,21
2001-03-20,84.5,48.75,0.0,21
2001-03-21,83.25,51.0,0.0,21
2001-03-22,81.5,52.25,0.0,21
2001-03-23,79.0,48.25,0.0,21
2001-03-24,80.75,48.0,0.0,21
2001-03-25,81.25,48.75,0.0,21
2001-03-26,78.0,49.25,0.0,21
2001-03-27,76.5,48.0,0.0,21
2001-03-28,80.25,49.75,0.0,21
2001-03-29,79.75,52.25,0.0,21
2001-03-30,78.75,49.0,0.0,21
2001-03-31,80.75,48.75,0.0,21
2001-04-01,81.75,52.25,0.0,21
2001-04-02,76.0,58.25,0.0,21
2001-04-03,71.75,54.5,0.0,21
2001-04-04,73.0,50.75,0.0,21
2001-04-05,63.5,47.5,0.46,21
2001-04-06,61.75,45.0,0.17500000000000002,21
2001-04-07,67.0,44.25,0.0125,21
2001-04-08,63.0,44.5,0.0025,21
2001-04-09,66.0,42.5,0.0,21
2001-04-10,55.25,40.0,0.0625,21
2001-04-11,60.75,38.25,0.0,21
2001-04-12,65.25,44.25,0.0075,21
2001-04-13,74.75,43.0,0.0,21
2001-04-14,78.0,46.0,0.0,21
2001-04-15,81.5,47.25,0.0,21
2001-04-16,87.25,48.5,0.0,21
2001-04-17,89.5,51.5,0.0,21
2001-04-18,88.75,56.0,0.0,21
2001-04-19,81.0,64.0,0.0,21
2001-04-20,73.75,54.75,0.0,21
2001-04-21,63.0,43.0,0.1075,21
2001-04-22,65.75,39.75,0.0025,21
2001-04-23,78.25,44.0,0.0,21
2001-04-24,88.0,51.25,0.0,21
2001-04-25,91.75,57.5,0.0,21
2001-04-26,90.75,58.5,0.0075,21
2001-04-27,88.0,59.75,0.0025,21
2001-04-28,87.5,56.75,0.0,21
2001-04-29,86.0,54.75,0.0,21
2001-04-30,88.75,56.25,0.0,21
2001-05-01,92.25,58.75,0.0,21
2001-05-02,86.5,57.5,0.0,21
2001-05-03,72.5,54.25,0.0,21
2001-05-04,74.75,46.5,0.0,21
2001-05-05,81.75,50.25,0.0,21
2001-05-06,87.5,53.5,0.0,21
2001-05-07,94.0,56.5,0.0,21
2001-05-08,97.75,60.25,0.0,21
2001-05-09,98.25,62.25,0.0,21
2001-05-10,95.5,61.0,0.0,21
2001-05-11,96.25,62.25,0.0,21
2001-05-12,94.75,66.0,0.18666666666666668,21
2001-05-13,90.25,64.0,0.013333333333333334,21
2001-05-14,90.25,61.5,0.0,21
2001-05-15,91.25,59.5,0.0,21
