,tmax,tmin,prcp,temp_id
2001-01-01,36.0,19.0,0.0,42
2001-01-02,29.0,18.0,0.0,42
2001-01-03,32.0,16.0,0.0,42
2001-01-04,36.0,19.0,0.0,42
2001-01-05,32.0,19.0,0.2,42
2001-01-06,39.0,25.0,0.0,42
2001-01-07,44.0,21.0,0.0,42
2001-01-08,39.0,29.0,0.2,42
2001-01-09,35.0,24.0,0.0,42
2001-01-10,37.0,24.0,0.0,42
2001-01-11,50.0,28.0,0.0,42
2001-01-12,43.0,24.0,0.0,42
2001-01-13,41.0,20.0,0.0,42
2001-01-14,40.0,22.0,0.0,42
2001-01-15,40.0,36.0,0.14,42
2001-01-16,46.0,32.0,0.0,42
2001-01-17,42.0,29.0,0.0,42
2001-01-18,35.0,28.0,0.04,42
2001-01-19,40.0,34.0,1.06,42
2001-01-20,38.0,30.0,0.5,42
2001-01-21,30.0,20.0,0.4,42
2001-01-22,31.0,14.0,0.0,42
2001-01-23,35.0,12.0,0.0,42
2001-01-24,40.0,24.0,0.0,42
2001-01-25,38.0,26.0,0.0,42
2001-01-26,33.0,20.0,0.0,42
2001-01-27,42.0,28.0,0.0,42
2001-01-28,38.0,25.0,0.0,42
2001-01-29,38.0,21.0,0.0,42
2001-01-30,57.0,33.0,0.59,42
2001-01-31,50.0,30.0,0.0,42
2001-02-01,48.0,32.0,0.0,42
2001-02-02,49.0,27.0,0.0,42
2001-02-03,32.0,23.0,0.0,42
2001-02-04,40.0,22.0,0.0,42
2001-02-05,36.0,32.0,1.53,42
2001-02-06,44.0,32.0,0.0,42
2001-02-07,47.0,29.0,0.0,42
2001-02-08,43.0,25.0,0.0,42
2001-02-09,64.0,32.0,0.0,42
2001-02-10,62.0,29.0,0.06,42
2001-02-11,34.0,20.0,0.0,42
2001-02-12,35.0,21.0,0.05,42
2001-02-13,52.0,32.0,0.03,42
2001-02-14,48.0,35.0,0.08,42
2001-02-15,50.0,39.0,0.02,42
2001-02-16,42.0,38.0,0.5,42
2001-02-17,41.0,24.0,0.03,42
2001-02-18,33.0,18.0,0.0,42
2001-02-19,45.0,18.0,0.0,42
2001-02-20,60.0,33.0,0.0,42
2001-02-21,50.0,24.0,0.0,42
2001-02-22,24.0,19.0,0.24,42
2001-02-23,41.0,22.0,0.0,42
2001-02-24,35.0,25.0,0.0,42
2001-02-25,53.0,31.0,0.27,42
2001-02-26,51.0,34.0,0.0,42
2001-02-27,53.0,31.0,0.0,42
2001-02-28,40.0,27.0,0.0,42
2001-03-01,42.0,25.0,0.0,42
2001-03-02,52.0,31.0,0.0,42
2001-03-03,55.0,39.0,0.0,42
2001-03-04,41.0,33.0,0.64,42
2001-03-05,34.0,26.0,0.21,42
2001-03-06,37.0,21.0,0.0,42
2001-03-07,47.0,32.0,0.0,42
2001-03-08,45.0,26.0,0.0,42
2001-03-09,44.0,33.0,0.05,42
2001-03-10,45.0,30.0,0.0,42
2001-03-11,56.0,26.0,0.0,42
2001-03-12,48.0,27.0,0.3,42
2001-03-13,53.0,37.0,0.36,42
2001-03-14,53.0,37.0,0.0,42
2001-03-15,52.0,31.0,0.22,42
2001-03-16,50.0,38.0,0.17,42
2001-03-17,44.0,38.0,0.05,42
2001-03-18,50.0,34.0,0.0,42
2001-03-19,53.0,31.0,0.0,42
2001-03-20,55.0,30.0,0.0,42
2001-03-21,45.0,41.0,1.4,42
2001-03-22,50.0,41.0,0.0,42
2001-03-23,59.0,38.0,0.0,42
2001-03-24,52.0,32.0,0.0,42
2001-03-25,46.0,28.0,0.0,42
2001-03-26,39.0,25.0,0.07,42
2001-03-27,41.0,22.0,0.0,42
2001-03-28,49.0,26.0,0.0,42
2001-03-29,48.0,32.0,0.78,42
2001-03-30,48.0,39.0,1.35,42
2001-03-31,48.0,34.0,0.02,42
2001-04-01,51.0,38.0,0.0,42
2001-04-02,50.0,36.0,0.02,42
2001-04-03,57.0,30.0,0.0,42
2001-04-04,58.0,40.0,0.0,42
