,tmax,tmin,prcp,temp_id
2001-01-01,56.7,31.3,0.0,1
2001-01-02,55.9,38.3,0.0,1
2001-01-03,57.0,35.0,0.002,1
2001-01-04,54.8,34.1,0.016999999999999998,1
2001-01-05,62.8,31.2,0.0,1
2001-01-06,66.7,39.9,0.0,1
2001-01-07,68.8,36.6,0.009,1
2001-01-08,71.2,48.1,0.14100000000000001,1
2001-01-09,57.5,36.7,0.005,1
2001-01-10,60.0,32.8,0.0,1
2001-01-11,68.6,42.3,0.097,1
2001-01-12,69.8,48.8,0.025,1
2001-01-13,64.6,44.7,0.0,1
2001-01-14,71.0,48.8,0.0,1
2001-01-15,75.3,51.4,0.007000000000000001,1
2001-01-16,73.7,54.4,0.033999999999999996,1
2001-01-17,75.6,57.8,0.0,1
2001-01-18,78.0,59.5,0.0,1
2001-01-19,80.7,59.9,0.184,1
2001-01-20,70.5,43.1,0.20099999999999998,1
2001-01-21,55.8,34.9,0.0,1
2001-01-22,58.0,39.3,0.041999999999999996,1
2001-01-23,61.0,39.6,0.029000000000000005,1
2001-01-24,64.7,38.3,0.0,1
2001-01-25,62.9,39.6,0.0,1
2001-01-26,64.7,36.0,0.0,1
2001-01-27,70.2,43.9,0.0,1
2001-01-28,72.8,47.1,0.0,1
2001-01-29,74.4,53.2,0.032,1
2001-01-30,74.2,61.0,0.098,1
2001-01-31,74.5,59.6,0.12200000000000003,1
2001-02-01,71.2,57.5,0.071,1
2001-02-02,67.2,53.8,0.05700000000000001,1
2001-02-03,64.7,51.8,0.053000000000000005,1
2001-02-04,66.9,52.8,0.09,1
2001-02-05,68.2,46.3,0.002,1
2001-02-06,70.7,41.6,0.0,1
2001-02-07,75.7,46.2,0.0,1
2001-02-08,77.4,54.0,0.0,1
2001-02-09,79.0,57.7,0.022,1
2001-02-10,77.5,60.1,0.039,1
2001-02-11,76.9,58.8,0.019,1
2001-02-12,75.2,61.9,0.0,1
2001-02-13,76.3,61.8,0.003,1
2001-02-14,79.4,63.4,0.001,1
2001-02-15,82.1,63.0,0.0,1
2001-02-16,81.8,62.4,0.005,1
2001-02-17,77.3,58.1,0.023,1
2001-02-18,72.9,52.2,0.002,1
2001-02-19,75.1,53.4,0.001,1
2001-02-20,78.3,56.9,0.0,1
2001-02-21,77.5,60.7,0.22799999999999998,1
2001-02-22,80.3,57.8,0.02,1
2001-02-23,76.2,58.8,0.001,1
2001-02-24,79.8,63.2,0.014000000000000002,1
2001-02-25,82.1,66.7,0.024,1
2001-02-26,82.1,64.4,0.0,1
2001-02-27,82.6,61.0,0.0,1
2001-02-28,82.1,63.6,0.037,1
2001-03-01,79.2,62.2,0.048,1
2001-03-02,82.5,64.6,0.013000000000000001,1
