,tmax,tmin,prcp,temp_id
2001-01-01,25.25,10.0,0.04,24
2001-01-02,23.0,2.5,0.0,24
2001-01-03,24.75,1.75,0.0,24
2001-01-04,31.25,20.5,0.0,24
2001-01-05,36.75,27.5,0.0,24
2001-01-06,37.5,18.75,0.0,24
2001-01-07,35.75,22.5,0.0025,24
2001-01-08,29.0,13.5,0.0,24
2001-01-09,27.5,7.25,0.0,24
2001-01-10,35.25,14.0,0.0,24
2001-01-11,37.25,19.25,0.0,24
2001-01-12,37.5,24.5,0.0425,24
2001-01-13,35.25,27.5,0.0,24
2001-01-14,41.0,31.0,0.07,24
2001-01-15,39.75,31.75,0.005,24
2001-01-16,33.5,28.25,0.0,24
2001-01-17,31.25,26.5,0.0,24
2001-01-18,35.25,25.25,0.04,24
2001-01-19,32.25,25.25,0.0025,24
2001-01-20,26.5,10.5,0.015,24
2001-01-21,30.75,11.0,0.0,24
2001-01-22,38.25,18.25,0.0,24
2001-01-23,39.5,24.5,0.0,24
2001-01-24,34.5,20.0,0.0025,24
2001-01-25,31.0,16.75,0.0,24
2001-01-26,35.5,18.5,0.0875,24
2001-01-27,31.75,16.0,0.0,24
2001-01-28,31.5,14.0,0.025,24
2001-01-29,46.75,31.0,0.39999999999999997,24
2001-01-30,45.5,34.5,0.16250000000000003,24
2001-01-31,37.0,32.5,0.005,24
2001-02-01,38.0,25.25,0.0075,24
2001-02-02,30.0,7.25,0.005,24
2001-02-03,33.5,14.25,0.0025,24
2001-02-04,42.25,32.0,0.052500000000000005,24
2001-02-05,34.25,29.25,0.0025,24
2001-02-06,42.25,27.75,0.04,24
2001-02-07,44.0,24.5,0.01,24
2001-02-08,57.5,38.75,0.19499999999999998,24
2001-02-09,60.75,29.75,0.8525,24
2001-02-10,30.5,19.0,0.0125,24
2001-02-11,31.75,16.5,0.0,24
2001-02-12,40.75,24.5,0.0,24
2001-02-13,42.75,34.0,0.0475,24
2001-02-14,49.25,38.25,0.26249999999999996,24
2001-02-15,39.0,34.25,0.1875,24
2001-02-16,37.25,24.75,0.075,24
2001-02-17,24.75,15.25,0.0075,24
2001-02-18,30.25,12.25,0.0,24
2001-02-19,49.5,26.75,0.0,24
2001-02-20,47.25,31.0,0.0,24
2001-02-21,31.25,20.25,0.0325,24
2001-02-22,31.75,22.5,0.04,24
2001-02-23,38.0,26.75,0.0,24
2001-02-24,58.75,33.5,0.7775,24
2001-02-25,58.25,33.0,0.24000000000000005,24
2001-02-26,45.0,29.0,0.0,24
2001-02-27,38.5,26.75,0.0025,24
2001-02-28,33.0,20.75,0.0,24
2001-03-01,44.0,21.25,0.0075,24
2001-03-02,43.0,33.75,0.0,24
2001-03-03,47.25,30.75,0.0,24
2001-03-04,42.25,29.25,0.17,24
2001-03-05,32.25,23.75,0.05,24
