,tmax,tmin,prcp,temp_id
2001-01-01,37.0,18.0,0.0,41
2001-01-02,32.0,20.0,0.0,41
2001-01-03,34.0,14.0,0.0,41
2001-01-04,38.0,20.0,0.0,41
2001-01-05,31.0,17.0,0.09,41
2001-01-06,39.0,24.0,0.0,41
2001-01-07,43.0,21.0,0.0,41
2001-01-08,37.0,26.0,0.19,41
2001-01-09,34.0,25.0,0.0,41
2001-01-10,43.0,28.0,0.0,41
2001-01-11,56.0,30.0,0.0,41
2001-01-12,44.0,24.0,0.0,41
2001-01-13,46.0,18.0,0.0,41
2001-01-14,42.0,21.0,0.01,41
2001-01-15,42.0,37.0,0.02,41
2001-01-16,48.0,32.0,0.0,41
2001-01-17,43.0,30.0,0.0,41
2001-01-18,36.0,28.0,0.02,41
2001-01-19,41.0,35.0,1.23,41
2001-01-20,39.0,32.0,0.41,41
2001-01-21,32.0,20.0,0.07,41
2001-01-22,34.0,16.0,0.0,41
2001-01-23,40.0,15.0,0.0,41
2001-01-24,47.0,24.0,0.0,41
2001-01-25,41.0,26.0,0.0,41
2001-01-26,39.0,19.0,0.0,41
2001-01-27,47.0,32.0,0.0,41
2001-01-28,43.0,25.0,0.0,41
2001-01-29,43.0,23.0,0.0,41
2001-01-30,53.0,34.0,0.64,41
2001-01-31,55.0,34.0,0.0,41
2001-02-01,50.0,30.0,0.0,41
2001-02-02,51.0,27.0,0.0,41
2001-02-03,35.0,22.0,0.0,41
2001-02-04,44.0,17.0,0.0,41
2001-02-05,41.0,33.0,0.71,41
2001-02-06,46.0,35.0,0.0,41
2001-02-07,52.0,27.0,0.0,41
2001-02-08,51.0,25.0,0.0,41
2001-02-09,69.0,30.0,0.0,41
2001-02-10,65.0,32.0,0.0,41
2001-02-11,38.0,23.0,0.0,41
2001-02-12,38.0,24.0,0.09,41
2001-02-13,54.0,33.0,0.0,41
2001-02-14,52.0,42.0,0.08,41
2001-02-15,55.0,43.0,0.17,41
2001-02-16,43.0,39.0,0.81,41
2001-02-17,43.0,25.0,0.02,41
2001-02-18,36.0,18.0,0.0,41
2001-02-19,49.0,16.0,0.0,41
2001-02-20,65.0,40.0,0.0,41
2001-02-21,53.0,27.0,0.0,41
2001-02-22,27.0,21.0,0.34,41
2001-02-23,43.0,20.0,0.0,41
2001-02-24,37.0,27.0,0.0,41
2001-02-25,55.0,34.0,0.13,41
2001-02-26,53.0,38.0,0.0,41
2001-02-27,59.0,28.0,0.0,41
2001-02-28,46.0,28.0,0.0,41
2001-03-01,48.0,26.0,0.0,41
2001-03-02,58.0,38.0,0.0,41
2001-03-03,59.0,31.0,0.0,41
2001-03-04,44.0,36.0,0.31,41
2001-03-05,41.0,27.0,0.08,41
2001-03-06,40.0,23.0,0.0,41
2001-03-07,51.0,34.0,0.0,41
2001-03-08,50.0,26.0,0.0,41
2001-03-09,47.0,32.0,0.03,41
2001-03-10,48.0,28.0,0.0,41
2001-03-11,61.0,25.0,0.0,41
2001-03-12,53.0,27.0,0.3,41
2001-03-13,63.0,39.0,0.12,41
2001-03-14,58.0,34.0,0.0,41
2001-03-15,52.0,31.0,0.22,41
2001-03-16,49.0,39.0,0.01,41
2001-03-17,52.0,40.0,0.16,41
2001-03-18,52.0,35.0,0.0,41
2001-03-19,55.0,31.0,0.0,41
2001-03-20,53.0,28.0,0.15,41
2001-03-21,47.0,42.0,1.65,41
2001-03-22,54.0,41.0,0.01,41
2001-03-23,61.0,40.0,0.0,41
2001-03-24,64.0,34.0,0.0,41
2001-03-25,49.0,25.0,0.0,41
2001-03-26,38.0,28.0,0.0,41
2001-03-27,43.0,20.0,0.0,41
2001-03-28,51.0,25.0,0.0,41
2001-03-29,44.0,31.0,1.25,41
2001-03-30,53.0,41.0,0.44,41
2001-03-31,51.0,42.0,0.03,41
