,tmax,tmin,prcp,temp_id
2001-01-01,21.875,1.875,0.005,5
2001-01-02,26.125,0.0,0.0,5
2001-01-03,25.25,10.0,0.045,5
2001-01-04,28.125,20.625,0.0175,5
2001-01-05,35.375,25.125,0.0525,5
2001-01-06,29.625,21.875,0.0225,5
2001-01-07,29.875,19.125,0.06375,5
2001-01-08,22.25,3.0,0.005,5
2001-01-09,29.25,0.25,0.0,5
2001-01-10,37.625,21.25,0.0,5
2001-01-11,36.75,23.25,0.0,5
2001-01-12,34.25,24.625,0.00125,5
2001-01-13,34.0,30.875,0.0,5
2001-01-14,34.75,29.375,0.06875,5
2001-01-15,34.875,31.375,0.06375,5
2001-01-16,32.625,26.625,0.00625,5
2001-01-17,28.5,22.0,0.01125,5
2001-01-18,28.625,21.75,0.0025,5
2001-01-19,26.75,8.875,0.0,5
2001-01-20,23.875,2.5,0.0,5
2001-01-21,25.375,12.375,0.00375,5
2001-01-22,30.0,16.625,0.0,5
2001-01-23,33.875,25.625,0.0,5
2001-01-24,31.125,18.5,0.036250000000000004,5
2001-01-25,28.5,15.25,0.0,5
2001-01-26,29.375,15.125,0.1,5
2001-01-27,26.75,14.0,0.00875,5
2001-01-28,27.125,17.25,0.0,5
2001-01-29,37.125,19.25,0.1675,5
2001-01-30,38.875,31.0,0.34375000000000006,5
2001-01-31,34.125,29.125,0.02875,5
2001-02-01,31.375,19.0,0.04375,5
2001-02-02,20.75,9.125,0.0175,5
2001-02-03,23.125,8.875,0.0,5
2001-02-04,32.875,22.5,0.0475,5
2001-02-05,32.0,26.5,0.01875,5
2001-02-06,31.375,25.5,0.035,5
2001-02-07,32.375,19.125,0.007500000000000001,5
2001-02-08,38.875,27.5,0.33999999999999997,5
2001-02-09,44.625,21.0,0.9462500000000001,5
2001-02-10,22.0,12.25,0.005,5
2001-02-11,21.0,6.5,0.0,5
2001-02-12,32.5,16.375,0.0125,5
2001-02-13,33.375,25.375,0.0,5
2001-02-14,33.375,22.625,0.1325,5
2001-02-15,26.875,15.375,0.0,5
2001-02-16,29.0,16.0,0.00375,5
2001-02-17,19.125,8.375,0.00125,5
2001-02-18,25.5,10.25,0.0,5
2001-02-19,35.5,19.75,0.03,5
2001-02-20,32.0,17.25,0.00375,5
2001-02-21,18.5,6.0,0.0,5
2001-02-22,26.0,6.125,0.0225,5
2001-02-23,27.75,15.75,0.0175,5
2001-02-24,35.125,18.375,0.675,5
2001-02-25,49.25,28.375,0.23875,5
2001-02-26,34.0,25.375,0.005,5
2001-02-27,27.75,13.0,0.0025,5
2001-02-28,25.5,9.125,0.00125,5
2001-03-01,36.0,18.0,0.0,5
2001-03-02,37.5,24.125,0.0,5
2001-03-03,41.125,21.375,0.026250000000000002,5
2001-03-04,33.25,20.0,0.03875,5
2001-03-05,26.375,17.0,0.08875000000000001,5
2001-03-06,30.375,20.125,0.00125,5
2001-03-07,35.75,21.75,0.0,5
2001-03-08,33.875,24.375,0.05,5
2001-03-09,31.0,18.0,0.00375,5
2001-03-10,40.5,16.125,0.025,5
2001-03-11,35.375,20.125,0.043750000000000004,5
2001-03-12,38.5,20.75,0.12250000000000001,5
2001-03-13,39.5,30.5,0.051250000000000004,5
2001-03-14,44.875,30.75,0.0,5
2001-03-15,39.25,30.25,0.046250000000000006,5
2001-03-16,34.25,27.0,0.03875,5
2001-03-17,37.125,21.5,0.02375,5
2001-03-18,46.25,17.875,0.0,5
2001-03-19,47.25,20.125,0.0,5
2001-03-20,51.375,27.25,0.0,5
2001-03-21,52.125,26.5,0.0075,5
2001-03-22,53.0,25.375,0.0,5
2001-03-23,46.75,28.875,0.0075,5
2001-03-24,33.625,19.375,0.005,5
2001-03-25,22.375,9.25,0.0375,5
2001-03-26,26.625,7.75,0.01875,5
2001-03-27,33.625,17.5,0.0,5
2001-03-28,44.0,19.75,0.0,5
2001-03-29,43.875,32.75,0.0025,5
2001-03-30,47.125,30.5,0.0,5
2001-03-31,47.75,28.875,0.00875,5
2001-04-01,40.25,30.875,0.09500000000000001,5
2001-04-02,50.625,26.375,0.00375,5
2001-04-03,49.75,33.375,0.0175,5
2001-04-04,54.125,26.75,0.0,5
2001-04-05,57.375,32.375,0.11125000000000002,5
2001-04-06,59.0,42.75,0.2775,5
2001-04-07,67.5,42.625,0.2225,5
2001-04-08,62.5,44.875,0.00625,5
2001-04-09,51.75,38.5,0.1425,5
2001-04-10,51.625,38.25,0.030000000000000002,5
2001-04-11,62.875,42.75,0.5225000000000001,5
2001-04-12,65.75,44.0,0.0925,5
2001-04-13,53.25,35.625,0.00625,5
2001-04-14,58.125,32.125,0.011250000000000001,5
2001-04-15,50.875,35.875,0.22,5
2001-04-16,42.875,28.875,0.045000000000000005,5
2001-04-17,44.5,27.25,0.009999999999999998,5
2001-04-18,49.5,28.125,0.0,5
2001-04-19,59.75,28.25,0.0,5
2001-04-20,57.25,45.25,0.2575,5
2001-04-21,70.125,49.375,0.3425,5
2001-04-22,62.625,43.5,0.12625,5
2001-04-23,74.0,43.625,0.27625,5
2001-04-24,53.75,35.625,0.00875,5
2001-04-25,60.625,32.75,0.0,5
2001-04-26,66.625,41.375,0.02375,5
2001-04-27,61.25,41.375,0.00625,5
