,tmax,tmin,prcp,temp_id
2001-01-01,14.0,-12.6,0.0,13
2001-01-02,21.8,-1.8,0.015999999999999997,13
2001-01-03,24.6,10.4,0.0,13
2001-01-04,37.8,16.6,0.0,13
2001-01-05,33.0,12.2,0.0,13
2001-01-06,33.4,13.4,0.022,13
2001-01-07,22.8,6.2,0.004,13
2001-01-08,20.8,4.2,0.006,13
2001-01-09,28.2,3.4,0.0,13
2001-01-10,33.8,17.8,0.0,13
2001-01-11,32.4,19.0,0.002,13
2001-01-12,32.6,26.0,0.03,13
2001-01-13,31.6,25.8,0.006,13
2001-01-14,32.8,28.2,0.168,13
2001-01-15,29.0,17.4,0.016,13
2001-01-16,18.0,7.2,0.006,13
2001-01-17,19.0,0.4,0.012,13
2001-01-18,27.4,5.4,0.015999999999999997,13
2001-01-19,11.0,-5.4,0.0,13
2001-01-20,14.0,-10.2,0.0,13
2001-01-21,18.6,-3.4,0.0,13
2001-01-22,29.4,6.6,0.008,13
2001-01-23,26.8,12.8,0.0,13
2001-01-24,18.2,-0.4,0.0,13
2001-01-25,23.8,-4.2,0.0,13
2001-01-26,25.0,3.4,0.08600000000000001,13
2001-01-27,24.4,-6.2,0.0,13
2001-01-28,21.2,11.6,0.0,13
2001-01-29,31.8,12.4,0.24000000000000005,13
2001-01-30,32.2,25.8,0.20400000000000001,13
2001-01-31,28.4,12.0,0.0,13
2001-02-01,13.4,-11.2,0.002,13
2001-02-02,4.6,-18.4,0.014000000000000002,13
2001-02-03,20.2,2.8,0.024,13
2001-02-04,22.4,13.6,0.004,13
2001-02-05,26.0,12.2,0.0,13
2001-02-06,26.4,8.0,0.002,13
2001-02-07,19.4,1.0,0.13,13
2001-02-08,23.8,16.8,0.156,13
2001-02-09,18.8,-4.8,0.02,13
2001-02-10,3.4,-15.4,0.0,13
2001-02-11,17.4,-12.8,0.002,13
2001-02-12,24.6,6.8,0.05800000000000001,13
2001-02-13,24.6,2.8,0.004,13
2001-02-14,16.4,-6.6,0.0,13
2001-02-15,17.6,-12.0,0.0,13
2001-02-16,11.8,-5.6,0.0,13
2001-02-17,7.4,-13.8,0.0,13
2001-02-18,24.4,-9.8,0.0,13
2001-02-19,24.2,5.6,0.0,13
2001-02-20,11.2,-7.0,0.0,13
2001-02-21,9.0,-19.0,0.0,13
2001-02-22,19.4,4.2,0.076,13
2001-02-23,18.2,-6.8,0.032,13
2001-02-24,31.2,16.8,0.42400000000000004,13
2001-02-25,30.2,9.6,0.168,13
2001-02-26,14.6,-1.2,0.012,13
2001-02-27,10.0,-10.0,0.0,13
2001-02-28,23.0,-8.8,0.0,13
2001-03-01,34.8,8.2,0.0,13
2001-03-02,39.6,18.4,0.0,13
2001-03-03,37.0,11.4,0.0,13
2001-03-04,26.2,6.2,0.0,13
2001-03-05,25.4,5.2,0.0,13
2001-03-06,33.2,3.8,0.0,13
2001-03-07,31.4,18.2,0.004,13
2001-03-08,29.8,15.0,0.0,13
2001-03-09,29.6,5.6,0.0,13
2001-03-10,31.8,12.8,0.006,13
2001-03-11,27.0,0.8,0.006,13
2001-03-12,28.8,19.6,0.442,13
2001-03-13,34.6,18.8,0.008,13
2001-03-14,43.6,22.6,0.024,13
2001-03-15,37.6,22.6,0.0,13
2001-03-16,35.4,20.2,0.0,13
2001-03-17,39.4,11.4,0.0,13
2001-03-18,38.8,13.8,0.0,13
2001-03-19,36.6,26.2,0.0,13
2001-03-20,42.6,26.4,0.041999999999999996,13
2001-03-21,44.0,22.2,0.002,13
2001-03-22,36.2,21.6,0.004,13
2001-03-23,27.8,10.4,0.0,13
2001-03-24,17.6,5.6,0.0,13
2001-03-25,18.8,3.8,0.0,13
2001-03-26,28.6,6.0,0.0,13
2001-03-27,34.8,7.4,0.0,13
2001-03-28,36.4,23.0,0.046000000000000006,13
2001-03-29,36.8,31.0,0.018,13
2001-03-30,38.6,33.0,0.014000000000000002,13
2001-03-31,37.6,26.8,0.188,13
2001-04-01,38.0,21.6,0.004,13
2001-04-02,42.0,27.6,0.082,13
2001-04-03,45.0,25.4,0.0,13
2001-04-04,48.6,29.4,0.014000000000000002,13
2001-04-05,42.2,36.0,0.182,13
2001-04-06,48.4,35.0,0.45,13
2001-04-07,51.0,36.6,0.914,13
2001-04-08,48.4,34.8,0.038,13
2001-04-09,43.2,34.4,0.0,13
2001-04-10,51.8,34.0,0.072,13
2001-04-11,47.8,39.2,1.494,13
2001-04-12,46.8,34.0,0.06599999999999999,13
2001-04-13,52.6,29.0,0.196,13
2001-04-14,59.8,33.4,0.066,13
2001-04-15,45.2,24.4,0.11200000000000002,13
2001-04-16,33.6,21.8,0.022,13
2001-04-17,46.8,24.0,0.0,13
2001-04-18,55.0,25.8,0.0,13
2001-04-19,63.0,38.4,0.146,13
2001-04-20,62.8,46.6,0.21000000000000002,13
2001-04-21,53.4,37.6,0.616,13
2001-04-22,45.6,33.8,1.55,13
2001-04-23,47.6,33.4,0.40800000000000003,13
2001-04-24,60.2,30.2,0.006,13
2001-04-25,68.6,34.2,0.0,13
2001-04-26,71.4,44.6,0.0,13
2001-04-27,69.4,38.0,0.0,13
2001-04-28,71.6,47.4,0.0,13
2001-04-29,82.0,55.4,0.004,13
2001-04-30,71.6,53.0,0.23600000000000004,13
2001-05-01,75.4,49.4,0.274,13
2001-05-02,67.4,50.2,0.318,13
2001-05-03,60.8,47.0,0.1,13
2001-05-04,63.0,43.4,0.0,13
2001-05-05,57.8,43.4,0.15,13
2001-05-06,64.6,49.6,0.576,13
2001-05-07,62.8,45.6,0.068,13
2001-05-08,62.2,43.6,0.024,13
2001-05-09,74.4,42.0,0.10400000000000001,13
2001-05-10,67.6,48.4,0.156,13
2001-05-11,59.8,40.6,0.002,13
2001-05-12,66.8,37.2,0.032,13
2001-05-13,72.0,45.0,0.0,13
2001-05-14,79.4,51.4,0.032,13
2001-05-15,83.6,60.0,0.036,13
2001-05-16,76.6,54.8,0.0,13
2001-05-17,73.4,49.4,0.03,13
2001-05-18,75.6,45.8,0.0,13
2001-05-19,75.0,50.4,0.048,13
2001-05-20,68.0,52.0,0.7060000000000001,13
2001-05-21,58.0,45.4,0.472,13
2001-05-22,46.2,37.2,0.49399999999999994,13
2001-05-23,51.6,37.8,0.304,13
2001-05-24,60.4,42.4,0.10800000000000001,13
2001-05-25,58.2,48.6,0.596,13
2001-05-26,58.4,46.6,0.12000000000000002,13
2001-05-27,63.6,44.6,0.0,13
2001-05-28,71.0,44.2,0.014000000000000002,13
2001-05-29,67.6,46.4,0.0,13
2001-05-30,70.4,43.6,0.0,13
2001-05-31,66.0,45.8,0.002,13
2001-06-01,60.2,45.0,0.37,13
2001-06-02,61.6,44.6,0.030000000000000006,13
2001-06-03,63.4,41.4,0.0,13
2001-06-04,65.2,43.2,0.006,13
2001-06-05,59.0,46.4,0.242,13
2001-06-06,63.6,51.6,0.01,13
2001-06-07,70.0,51.4,0.002,13
2001-06-08,76.8,49.0,0.202,13
2001-06-09,82.2,54.6,0.088,13
2001-06-10,79.8,60.4,0.388,13
2001-06-11,82.0,57.2,0.242,13
2001-06-12,77.6,56.2,0.05,13
2001-06-13,76.8,58.6,1.1420000000000001,13
2001-06-14,77.4,60.8,0.6,13
2001-06-15,69.6,53.4,0.06000000000000001,13
2001-06-16,73.6,50.6,0.052000000000000005,13
2001-06-17,74.6,51.6,0.008,13
2001-06-18,78.4,55.8,0.17200000000000001,13
2001-06-19,72.0,51.0,0.022,13
2001-06-20,75.2,51.6,0.12000000000000002,13
2001-06-21,68.6,49.4,0.012,13
2001-06-22,73.4,45.0,0.0,13
2001-06-23,80.6,52.6,0.0,13
2001-06-24,82.4,62.0,0.0,13
2001-06-25,93.4,68.8,0.014000000000000002,13
2001-06-26,86.4,68.2,0.01,13
2001-06-27,86.8,63.4,0.041999999999999996,13
2001-06-28,87.6,64.0,0.01,13
2001-06-29,87.2,66.6,0.10800000000000001,13
2001-06-30,81.6,58.6,0.10400000000000001,13
2001-07-01,68.4,46.6,0.0,13
2001-07-02,64.4,48.8,0.046,13
2001-07-03,82.4,55.4,0.02,13
2001-07-04,75.6,53.4,0.0,13
2001-07-05,73.6,45.6,0.0,13
2001-07-06,84.0,52.4,0.014000000000000002,13
2001-07-07,85.8,61.6,0.0,13
2001-07-08,90.2,61.4,0.0,13
2001-07-09,91.0,62.4,0.024,13
2001-07-10,82.4,59.6,0.0,13
2001-07-11,79.2,53.0,0.0,13
2001-07-12,82.0,55.4,0.0,13
2001-07-13,85.6,54.4,0.0,13
2001-07-14,83.2,60.0,0.028000000000000004,13
2001-07-15,85.0,64.2,0.076,13
2001-07-16,84.4,64.4,0.138,13
2001-07-17,86.6,64.6,0.11600000000000002,13
2001-07-18,90.6,61.8,0.268,13
2001-07-19,85.6,66.0,0.20800000000000002,13
2001-07-20,84.6,65.6,0.18,13
2001-07-21,88.6,67.0,0.044,13
2001-07-22,86.0,65.8,0.28200000000000003,13
2001-07-23,86.4,67.2,0.46799999999999997,13
2001-07-24,75.2,58.0,0.05,13
2001-07-25,76.2,54.2,0.002,13
2001-07-26,74.0,55.4,0.0,13
2001-07-27,74.8,57.4,0.316,13
2001-07-28,73.0,61.4,0.122,13
2001-07-29,77.6,58.0,0.0,13
2001-07-30,85.8,66.0,0.16999999999999998,13
2001-07-31,88.0,70.8,0.8,13
2001-08-01,83.4,69.0,0.31399999999999995,13
2001-08-02,83.8,62.2,0.0,13
2001-08-03,87.0,61.4,0.0,13
2001-08-04,90.6,68.0,0.0,13
2001-08-05,93.8,75.4,0.0,13
2001-08-06,93.8,70.8,0.0,13
2001-08-07,94.4,65.4,0.0,13
2001-08-08,90.8,70.0,0.22400000000000003,13
2001-08-09,77.2,55.6,0.004,13
2001-08-10,73.2,49.6,0.0,13
2001-08-11,78.6,50.6,0.066,13
2001-08-12,77.0,54.0,0.076,13
2001-08-13,75.4,47.6,0.0,13
2001-08-14,78.4,52.8,0.018,13
2001-08-15,74.4,59.0,0.21000000000000002,13
2001-08-16,74.4,54.4,0.008,13
2001-08-17,78.6,51.8,0.44400000000000006,13
2001-08-18,73.0,55.2,0.254,13
2001-08-19,76.8,52.0,0.0,13
2001-08-20,78.4,52.0,0.0,13
2001-08-21,77.8,58.4,0.152,13
2001-08-22,84.8,62.2,0.018,13
2001-08-23,81.4,60.0,0.0,13
2001-08-24,78.0,58.0,0.004,13
2001-08-25,82.2,59.2,0.176,13
2001-08-26,79.8,52.8,0.076,13
2001-08-27,80.8,56.2,0.0,13
2001-08-28,80.0,51.0,0.0,13
2001-08-29,79.4,55.2,0.402,13
2001-08-30,75.0,53.8,0.3,13
2001-08-31,67.8,46.8,0.0,13
2001-09-01,72.4,45.8,0.026000000000000002,13
2001-09-02,83.6,60.0,0.0,13
2001-09-03,78.0,51.8,0.0,13
2001-09-04,78.8,47.6,0.0,13
2001-09-05,84.0,57.8,0.0,13
2001-09-06,80.4,64.6,0.17400000000000002,13
2001-09-07,73.8,59.6,0.8320000000000001,13
2001-09-08,62.4,53.8,0.086,13
2001-09-09,66.8,50.0,0.13,13
2001-09-10,67.4,48.2,0.032,13
2001-09-11,74.4,47.6,0.0,13
2001-09-12,69.2,50.6,0.0,13
2001-09-13,63.4,43.4,0.004,13
2001-09-14,57.0,41.2,0.036000000000000004,13
2001-09-15,63.4,47.4,0.0,13
2001-09-16,61.0,50.6,0.04,13
2001-09-17,64.2,54.2,0.0,13
2001-09-18,63.0,53.2,0.01,13
2001-09-19,65.6,48.6,0.033999999999999996,13
2001-09-20,66.8,44.4,0.11200000000000002,13
2001-09-21,67.8,46.0,0.002,13
2001-09-22,60.2,41.2,0.7899999999999999,13
2001-09-23,54.6,36.2,0.21600000000000003,13
2001-09-24,54.8,31.4,0.0,13
2001-09-25,61.6,29.8,0.0,13
2001-09-26,69.6,36.0,0.0,13
2001-09-27,67.2,39.0,0.0,13
2001-09-28,64.6,37.8,0.0,13
2001-09-29,67.4,41.8,0.0,13
2001-09-30,72.2,42.6,0.0,13
2001-10-01,74.2,42.6,0.0,13
2001-10-02,74.6,42.6,0.02,13
2001-10-03,61.2,44.2,0.004,13
2001-10-04,55.2,38.0,0.038,13
2001-10-05,46.8,30.6,0.008,13
2001-10-06,44.4,25.0,0.0,13
2001-10-07,55.4,22.8,0.0,13
2001-10-08,59.4,40.0,0.11400000000000002,13
2001-10-09,64.2,44.6,0.21800000000000003,13
2001-10-10,61.2,45.8,0.45600000000000007,13
2001-10-11,64.6,37.0,0.0,13
2001-10-12,63.8,42.0,0.004,13
2001-10-13,51.6,37.8,0.48599999999999993,13
2001-10-14,52.4,37.4,0.02,13
