,tmax,tmin,prcp,temp_id
2001-01-01,36.2,11.8,0.0,20
2001-01-02,36.2,14.8,0.0,20
2001-01-03,41.8,23.8,0.0,20
2001-01-04,45.4,26.4,0.0,20
2001-01-05,51.4,29.2,0.0,20
2001-01-06,42.6,23.4,0.0,20
2001-01-07,36.0,15.0,0.0,20
2001-01-08,33.8,11.2,0.0,20
2001-01-09,37.0,18.4,0.008,20
2001-01-10,37.4,19.0,0.012,20
2001-01-11,33.8,15.0,0.0,20
2001-01-12,30.4,18.4,0.07999999999999999,20
2001-01-13,26.6,15.2,0.024,20
2001-01-14,25.6,10.4,0.030000000000000006,20
2001-01-15,26.4,12.8,0.018,20
2001-01-16,23.6,6.2,0.0,20
2001-01-17,29.4,10.0,0.042,20
2001-01-18,26.4,11.6,0.004,20
2001-01-19,31.6,13.6,0.026000000000000002,20
2001-01-20,35.2,16.4,0.012,20
2001-01-21,33.6,14.4,0.0,20
2001-01-22,37.2,14.6,0.0,20
2001-01-23,28.4,7.8,0.0,20
2001-01-24,23.6,7.2,0.0,20
2001-01-25,30.2,13.2,0.132,20
2001-01-26,25.6,5.0,0.0,20
2001-01-27,24.0,5.0,0.0,20
2001-01-28,27.6,7.2,0.0,20
2001-01-29,33.6,9.4,0.0,20
2001-01-30,35.4,19.8,0.0,20
2001-01-31,34.0,11.4,0.018,20
2001-02-01,35.0,13.4,0.002,20
2001-02-02,42.0,23.2,0.012,20
2001-02-03,39.4,25.0,0.0,20
2001-02-04,38.2,22.2,0.03,20
2001-02-05,39.4,21.4,0.02,20
2001-02-06,23.8,9.8,0.016,20
2001-02-07,17.2,0.0,0.008,20
2001-02-08,13.2,-4.4,0.0,20
2001-02-09,13.6,-3.2,0.01,20
2001-02-10,22.0,5.8,0.012,20
2001-02-11,18.4,0.2,0.024,20
2001-02-12,22.2,-3.8,0.006,20
2001-02-13,18.4,-4.2,0.008,20
2001-02-14,26.4,-7.6,0.0,20
2001-02-15,18.4,0.8,0.06799999999999999,20
2001-02-16,12.2,-2.4,0.018000000000000002,20
2001-02-17,21.6,-2.0,0.0,20
2001-02-18,33.4,8.6,0.0,20
2001-02-19,27.8,9.2,0.0,20
2001-02-20,23.2,4.0,0.0,20
2001-02-21,32.6,7.4,0.004,20
2001-02-22,29.4,12.2,0.014000000000000002,20
2001-02-23,33.0,13.4,0.0,20
2001-02-24,27.4,14.6,0.006,20
2001-02-25,19.2,-2.0,0.032,20
2001-02-26,16.4,-8.8,0.0,20
2001-02-27,22.2,-8.6,0.0,20
2001-02-28,33.6,3.0,0.0,20
2001-03-01,38.8,12.6,0.0,20
2001-03-02,41.2,20.6,0.002,20
2001-03-03,37.2,20.8,0.0,20
2001-03-04,40.4,17.8,0.0,20
2001-03-05,43.0,26.4,0.0,20
2001-03-06,44.4,23.6,0.0,20
2001-03-07,47.0,21.2,0.0,20
2001-03-08,51.0,24.0,0.0,20
2001-03-09,39.4,25.6,0.054000000000000006,20
2001-03-10,41.8,21.6,0.0,20
2001-03-11,44.4,28.0,0.0,20
2001-03-12,51.4,34.8,0.0,20
2001-03-13,53.8,33.8,0.04,20
2001-03-14,39.2,27.6,0.07999999999999999,20
2001-03-15,43.2,21.0,0.0,20
2001-03-16,47.8,23.8,0.0,20
2001-03-17,48.0,26.6,0.0,20
2001-03-18,53.2,29.0,0.0,20
2001-03-19,62.2,30.4,0.024,20
2001-03-20,54.2,24.0,0.0,20
2001-03-21,52.2,23.0,0.0,20
2001-03-22,45.6,21.4,0.0,20
2001-03-23,35.6,20.8,0.0,20
