,tmax,tmin,prcp,temp_id
2001-01-01,45.5,11.25,0.0,26
2001-01-02,45.5,9.5,0.0,26
2001-01-03,50.75,11.0,0.0,26
2001-01-04,50.0,10.25,0.0,26
2001-01-05,53.25,10.25,0.0,26
2001-01-06,47.25,13.5,0.0,26
2001-01-07,47.5,11.25,0.0,26
2001-01-08,46.25,22.0,0.04,26
2001-01-09,41.5,29.0,0.015,26
2001-01-10,42.0,19.5,0.06999999999999999,26
2001-01-11,39.0,19.5,0.105,26
2001-01-12,33.5,12.25,0.0,26
2001-01-13,36.25,15.25,0.02,26
2001-01-14,34.5,15.25,0.025,26
2001-01-15,29.0,14.25,0.0,26
2001-01-16,27.5,9.25,0.0,26
2001-01-17,29.5,-0.5,0.0,26
2001-01-18,34.0,6.5,0.0,26
2001-01-19,39.0,16.75,0.0425,26
2001-01-20,36.75,13.0,0.0,26
2001-01-21,40.25,10.75,0.0,26
2001-01-22,41.25,18.5,0.0,26
2001-01-23,40.5,13.0,0.0,26
2001-01-24,40.5,23.75,0.0375,26
2001-01-25,37.0,20.0,0.02,26
2001-01-26,34.5,21.0,0.024999999999999998,26
2001-01-27,36.0,16.0,0.0,26
2001-01-28,36.75,7.5,0.0,26
2001-01-29,37.5,8.25,0.0075,26
2001-01-30,31.0,7.75,0.0,26
2001-01-31,34.0,4.5,0.0,26
2001-02-01,38.5,8.25,0.0,26
2001-02-02,46.75,16.5,0.0,26
2001-02-03,53.25,29.5,0.0,26
2001-02-04,60.25,26.5,0.0,26
2001-02-05,56.0,24.75,0.0,26
2001-02-06,45.75,25.25,0.0033333333333333335,26
2001-02-07,30.5,11.75,0.0225,26
2001-02-08,30.25,7.25,0.0,26
2001-02-09,38.25,17.5,0.006666666666666667,26
2001-02-10,35.0,11.75,0.125,26
2001-02-11,35.75,17.25,0.1225,26
2001-02-12,32.75,17.5,0.07500000000000001,26
2001-02-13,36.0,17.5,0.0,26
2001-02-14,33.5,6.0,0.0025,26
2001-02-15,40.75,6.0,0.0,26
2001-02-16,44.75,15.0,0.0,26
