,tmax,tmin,prcp,temp_id
2001-01-01,31.0,14.5,0.095,37
2001-01-02,26.0,-0.5,0.0,37
2001-01-03,31.0,4.5,0.045,37
2001-01-04,31.0,3.0,0.02,37
2001-01-05,29.0,2.0,0.05,37
2001-01-06,33.5,19.0,0.175,37
2001-01-07,33.0,13.0,0.05,37
2001-01-08,34.0,11.0,0.02,37
2001-01-09,29.0,16.0,0.02,37
2001-01-10,24.0,5.5,0.0,37
2001-01-11,39.5,2.0,0.035,37
2001-01-12,28.5,7.0,0.0,37
2001-01-13,32.0,-0.5,0.0,37
2001-01-14,39.5,7.0,0.0,37
2001-01-15,31.0,21.5,0.03,37
2001-01-16,40.0,22.5,0.08,37
2001-01-17,37.5,20.5,0.0,37
2001-01-18,28.5,5.0,0.0,37
2001-01-19,31.0,27.0,0.075,37
2001-01-20,31.0,21.5,0.0,37
2001-01-21,25.5,6.5,0.045,37
2001-01-22,31.5,-3.5,0.11,37
2001-01-23,35.0,-3.0,0.0,37
2001-01-24,37.0,6.0,0.0,37
2001-01-25,38.0,14.0,0.0,37
2001-01-26,34.0,11.0,0.0,37
2001-01-27,32.0,16.5,0.0,37
2001-01-28,32.0,10.0,0.0,37
2001-01-29,34.5,1.5,0.0,37
2001-01-30,32.5,14.0,0.61,37
2001-01-31,35.5,22.0,0.2,37
2001-02-01,43.0,21.0,0.115,37
2001-02-02,33.5,15.0,0.0,37
2001-02-03,31.0,16.0,0.005,37
2001-02-04,27.5,3.0,0.0,37
2001-02-05,32.0,19.0,0.725,37
2001-02-06,40.5,28.0,0.265,37
2001-02-07,37.0,26.5,0.0,37
2001-02-08,35.5,18.0,0.0,37
2001-02-09,33.5,29.5,0.255,37
2001-02-10,49.5,19.0,0.02,37
2001-02-11,19.0,7.0,0.0,37
2001-02-12,25.5,3.5,0.0,37
2001-02-13,40.5,18.0,0.0,37
2001-02-14,38.5,12.5,0.13,37
2001-02-15,37.5,19.0,0.0,37
2001-02-16,36.0,11.0,0.1,37
2001-02-17,36.0,10.0,0.0,37
2001-02-18,25.5,5.0,0.0,37
2001-02-19,35.0,4.0,0.0,37
2001-02-20,49.0,31.0,0.0,37
2001-02-21,40.0,11.0,0.0,37
2001-02-22,20.5,3.0,0.01,37
2001-02-23,35.0,15.5,0.03,37
2001-02-24,27.0,16.5,0.0,37
2001-02-25,33.0,16.5,0.5,37
2001-02-26,39.5,28.0,0.0,37
2001-02-27,38.0,23.0,0.0,37
2001-02-28,25.5,12.5,0.0,37
2001-03-01,25.0,7.5,0.0,37
2001-03-02,24.0,1.0,0.02,37
2001-03-03,29.0,18.0,0.0,37
2001-03-04,29.5,16.0,0.0,37
