,tmax,tmin,prcp,temp_id
2001-01-01,25.0,17.0,0.0,44
2001-01-02,28.0,24.0,0.02,44
2001-01-03,26.0,20.0,0.0,44
2001-01-04,26.0,21.0,0.0,44
2001-01-05,25.0,21.0,0.0,44
2001-01-06,25.0,21.0,0.01,44
2001-01-07,25.0,12.0,0.0,44
2001-01-08,24.0,16.0,0.0,44
2001-01-09,35.0,12.0,0.0,44
2001-01-10,34.0,19.0,0.04,44
2001-01-11,46.0,28.0,0.1,44
2001-01-12,36.0,29.0,0.01,44
2001-01-13,38.0,29.0,0.03,44
2001-01-14,35.0,28.0,0.04,44
2001-01-15,32.0,24.0,0.02,44
2001-01-16,33.0,19.0,0.0,44
2001-01-17,27.0,16.0,0.0,44
2001-01-18,31.0,17.0,0.0,44
2001-01-19,34.0,21.0,0.08,44
2001-01-20,36.0,20.0,0.01,44
2001-01-21,38.0,20.0,0.0,44
2001-01-22,36.0,22.0,0.0,44
2001-01-23,39.0,27.0,0.0,44
2001-01-24,49.0,20.0,0.0,44
2001-01-25,38.0,26.0,0.24,44
2001-01-26,41.0,25.0,0.0,44
2001-01-27,39.0,24.0,0.0,44
2001-01-28,36.0,24.0,0.0,44
2001-01-29,36.0,20.0,0.14,44
2001-01-30,30.0,19.0,0.04,44
2001-01-31,32.0,17.0,0.0,44
2001-02-01,38.0,25.0,0.0,44
2001-02-02,44.0,26.0,0.0,44
2001-02-03,44.0,34.0,0.0,44
2001-02-04,53.0,35.0,0.0,44
2001-02-05,52.0,30.0,0.0,44
2001-02-06,40.0,27.0,0.31,44
2001-02-07,32.0,22.0,0.2,44
2001-02-08,24.0,7.0,0.0,44
2001-02-09,28.0,9.0,0.0,44
2001-02-10,40.0,15.0,0.0,44
2001-02-11,39.0,20.0,0.07,44
2001-02-12,41.0,32.0,0.01,44
2001-02-13,34.0,30.0,0.03,44
2001-02-14,30.0,22.0,0.05,44
2001-02-15,37.0,17.0,0.0,44
2001-02-16,43.0,26.0,0.0,44
2001-02-17,45.0,25.0,0.0,44
2001-02-18,55.0,29.0,0.04,44
2001-02-19,55.0,38.0,0.13,44
2001-02-20,49.0,34.0,0.0,44
2001-02-21,51.0,32.0,0.0,44
2001-02-22,57.0,35.0,0.0,44
2001-02-23,43.0,32.0,0.63,44
2001-02-24,39.0,31.0,0.0,44
2001-02-25,46.0,32.0,0.02,44
2001-02-26,45.0,27.0,0.0,44
2001-02-27,41.0,26.0,0.0,44
2001-02-28,39.0,24.0,0.01,44
2001-03-01,44.0,28.0,0.0,44
2001-03-02,50.0,28.0,0.06,44
2001-03-03,42.0,31.0,0.21,44
2001-03-04,56.0,28.0,0.0,44
2001-03-05,59.0,42.0,0.0,44
2001-03-06,60.0,33.0,0.0,44
2001-03-07,58.0,31.0,0.0,44
2001-03-08,57.0,32.0,0.0,44
2001-03-09,57.0,39.0,0.13,44
2001-03-10,49.0,41.0,0.0,44
2001-03-11,43.0,30.0,0.26,44
2001-03-12,47.0,28.0,0.0,44
2001-03-13,54.0,39.0,0.0,44
2001-03-14,50.0,31.0,0.0,44
2001-03-15,49.0,28.0,0.0,44
2001-03-16,46.0,32.0,0.4,44
2001-03-17,47.0,32.0,0.0,44
2001-03-18,54.0,39.0,0.0,44
2001-03-19,65.0,36.0,0.0,44
2001-03-20,63.0,44.0,0.0,44
2001-03-21,63.0,44.0,0.0,44
2001-03-22,64.0,40.0,0.0,44
2001-03-23,62.0,46.0,0.0,44
2001-03-24,65.0,42.0,0.0,44
2001-03-25,68.0,45.0,0.0,44
2001-03-26,58.0,40.0,0.0,44
2001-03-27,49.0,33.0,0.0,44
2001-03-28,57.0,38.0,0.11,44
2001-03-29,53.0,40.0,0.38,44
2001-03-30,58.0,36.0,0.0,44
2001-03-31,58.0,33.0,0.0,44
2001-04-01,59.0,44.0,0.0,44
2001-04-02,57.0,41.0,0.4,44
2001-04-03,44.0,37.0,0.0,44
2001-04-04,50.0,38.0,0.07,44
2001-04-05,51.0,38.0,0.16,44
2001-04-06,50.0,40.0,0.2,44
2001-04-07,52.0,33.0,0.26,44
2001-04-08,40.0,30.0,0.56,44
2001-04-09,47.0,25.0,0.0,44
2001-04-10,49.0,33.0,0.0,44
2001-04-11,52.0,31.0,0.0,44
2001-04-12,44.0,32.0,0.44,44
2001-04-13,55.0,31.0,0.0,44
2001-04-14,52.0,39.0,0.03,44
2001-04-15,61.0,35.0,0.0,44
2001-04-16,67.0,39.0,0.0,44
2001-04-17,78.0,46.0,0.0,44
2001-04-18,79.0,55.0,0.0,44
2001-04-19,66.0,47.0,0.0,44
2001-04-20,59.0,37.0,0.3,44
2001-04-21,52.0,40.0,0.03,44
2001-04-22,56.0,39.0,0.01,44
2001-04-23,61.0,41.0,0.0,44
2001-04-24,65.0,42.0,0.0,44
2001-04-25,70.0,42.0,0.0,44
2001-04-26,78.0,47.0,0.0,44
2001-04-27,80.0,51.0,0.0,44
2001-04-28,80.0,61.0,0.0,44
2001-04-29,64.0,50.0,0.0,44
2001-04-30,78.0,45.0,0.0,44
2001-05-01,69.0,45.0,0.0,44
2001-05-02,56.0,33.0,0.0,44
2001-05-03,57.0,42.0,0.0,44
2001-05-04,62.0,36.0,0.0,44
2001-05-05,67.0,39.0,0.0,44
2001-05-06,64.0,40.0,0.0,44
2001-05-07,69.0,40.0,0.0,44
2001-05-08,79.0,44.0,0.0,44
2001-05-09,83.0,54.0,0.0,44
2001-05-10,76.0,50.0,0.0,44
2001-05-11,84.0,44.0,0.0,44
2001-05-12,90.0,56.0,0.0,44
2001-05-13,79.0,60.0,0.0,44
2001-05-14,83.0,55.0,0.0,44
2001-05-15,83.0,62.0,0.05,44
2001-05-16,75.0,57.0,0.17,44
2001-05-17,75.0,57.0,0.0,44
2001-05-18,74.0,59.0,0.0,44
2001-05-19,76.0,51.0,0.0,44
2001-05-20,74.0,49.0,0.0,44
2001-05-21,66.0,39.0,0.0,44
2001-05-22,77.0,45.0,0.0,44
2001-05-23,86.0,50.0,0.0,44
2001-05-24,90.0,52.0,0.0,44
2001-05-25,92.0,61.0,0.0,44
2001-05-26,90.0,64.0,0.0,44
2001-05-27,88.0,56.0,0.0,44
2001-05-28,82.0,65.0,0.0,44
2001-05-29,80.0,59.0,0.0,44
2001-05-30,74.0,49.0,0.0,44
2001-05-31,79.0,50.0,0.0,44
2001-06-01,92.0,55.0,0.0,44
2001-06-02,82.0,61.0,0.0,44
2001-06-03,67.0,52.0,0.0,44
2001-06-04,62.0,43.0,0.0,44
2001-06-05,75.0,46.0,0.0,44
2001-06-06,75.0,50.0,0.0,44
2001-06-07,86.0,51.0,0.0,44
2001-06-08,95.0,59.0,0.0,44
2001-06-09,89.0,66.0,0.0,44
2001-06-10,92.0,60.0,0.0,44
2001-06-11,84.0,60.0,0.0,44
2001-06-12,68.0,38.0,0.66,44
2001-06-13,55.0,37.0,0.45,44
2001-06-14,70.0,43.0,0.0,44
2001-06-15,81.0,56.0,0.0,44
2001-06-16,90.0,53.0,0.0,44
2001-06-17,92.0,63.0,0.0,44
2001-06-18,78.0,54.0,0.0,44
2001-06-19,84.0,53.0,0.0,44
2001-06-20,88.0,56.0,0.0,44
2001-06-21,93.0,58.0,0.0,44
2001-06-22,98.0,63.0,0.0,44
2001-06-23,95.0,78.0,0.0,44
2001-06-24,96.0,70.0,0.01,44
2001-06-25,89.0,63.0,0.0,44
2001-06-26,81.0,68.0,0.0,44
2001-06-27,92.0,67.0,0.0,44
2001-06-28,92.0,66.0,0.0,44
2001-06-29,96.0,63.0,0.0,44
2001-06-30,101.0,65.0,0.0,44
2001-07-01,100.0,65.0,0.0,44
2001-07-02,100.0,70.0,0.0,44
2001-07-03,103.0,69.0,0.0,44
2001-07-04,104.0,71.0,0.0,44
2001-07-05,98.0,75.0,0.0,44
2001-07-06,92.0,66.0,0.06,44
2001-07-07,86.0,67.0,0.0,44
2001-07-08,87.0,70.0,0.0,44
2001-07-09,86.0,64.0,0.66,44
2001-07-10,85.0,63.0,0.01,44
2001-07-11,90.0,63.0,0.37,44
2001-07-12,91.0,63.0,0.0,44
2001-07-13,95.0,69.0,0.0,44
2001-07-14,91.0,68.0,0.0,44
2001-07-15,90.0,63.0,0.03,44
2001-07-16,92.0,64.0,0.0,44
2001-07-17,91.0,69.0,0.0,44
2001-07-18,89.0,67.0,0.0,44
2001-07-19,93.0,63.0,0.0,44
2001-07-20,95.0,66.0,0.0,44
