,tmax,tmin,prcp,temp_id
2001-01-01,39.0,31.2,0.0,15
2001-01-02,42.2,30.8,0.0,15
2001-01-03,40.0,30.8,0.096,15
2001-01-04,45.2,35.4,0.12,15
2001-01-05,51.2,33.4,0.05,15
2001-01-06,43.8,27.8,0.0,15
2001-01-07,42.8,29.6,0.0,15
2001-01-08,40.0,30.0,0.022,15
2001-01-09,41.6,27.8,0.033999999999999996,15
2001-01-10,42.4,31.4,0.01,15
2001-01-11,42.2,32.6,0.030000000000000006,15
2001-01-12,39.8,34.0,0.094,15
2001-01-13,38.6,33.8,0.21200000000000002,15
2001-01-14,39.0,30.8,0.06399999999999999,15
2001-01-15,36.0,22.6,0.002,15
2001-01-16,32.4,20.4,0.0,15
2001-01-17,32.2,21.6,0.016,15
2001-01-18,35.6,28.8,0.05800000000000001,15
2001-01-19,38.6,31.0,0.118,15
2001-01-20,38.2,28.6,0.002,15
2001-01-21,39.0,33.2,0.23600000000000004,15
2001-01-22,43.2,29.6,0.002,15
2001-01-23,43.2,32.6,0.018,15
2001-01-24,40.4,31.0,0.062,15
2001-01-25,39.8,29.0,0.012,15
2001-01-26,39.6,25.0,0.0,15
2001-01-27,35.8,23.6,0.0,15
2001-01-28,34.4,23.2,0.038,15
2001-01-29,42.0,27.0,0.03,15
2001-01-30,41.2,28.6,0.004,15
2001-01-31,45.6,31.6,0.0,15
2001-02-01,43.6,27.8,0.018,15
2001-02-02,45.8,34.6,0.146,15
2001-02-03,43.8,31.4,0.10200000000000001,15
2001-02-04,45.6,36.2,0.24400000000000005,15
2001-02-05,43.4,31.8,0.01,15
2001-02-06,38.2,25.8,0.01,15
2001-02-07,34.6,17.4,0.0,15
2001-02-08,34.2,22.2,0.062,15
2001-02-09,35.8,24.4,0.028000000000000004,15
2001-02-10,36.8,23.4,0.02,15
2001-02-11,42.6,23.8,0.002,15
2001-02-12,40.0,21.8,0.0,15
2001-02-13,43.4,22.4,0.0,15
2001-02-14,42.8,21.4,0.0,15
2001-02-15,41.6,29.0,0.08,15
2001-02-16,35.2,28.8,0.156,15
2001-02-17,42.0,28.6,0.012,15
2001-02-18,45.6,30.6,0.054000000000000006,15
2001-02-19,46.4,29.0,0.0,15
2001-02-20,47.0,29.4,0.0,15
2001-02-21,48.0,33.0,0.10600000000000001,15
2001-02-22,46.0,35.0,0.012,15
2001-02-23,44.2,35.4,0.002,15
