Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
Arkansas,AR,2021-12-07,2021-12-13,5114.32,26032.4,14411.46,7604.57,0.0,0.0,728471.32,1335557.71,627117.18,224771.77,0.0,0.0,146,53162.75,2915917.98,South
Arkansas,AR,2021-11-30,2021-12-06,5116.05,26031.76,18197.05,3817.89,0.0,0.0,728870.18,1335184.96,729391.75,122471.1,0.0,0.0,139,53162.75,2915917.99,South
Arkansas,AR,2021-11-23,2021-11-29,20314.08,22092.25,10756.42,0.0,0.0,0.0,1610068.24,911481.23,394368.52,0.0,0.0,0.0,82,53162.75,2915917.9899999998,South
Arkansas,AR,2021-11-16,2021-11-22,20314.08,22821.16,10027.51,0.0,0.0,0.0,1610068.24,930376.29,375473.46,0.0,0.0,0.0,81,53162.75000000001,2915917.99,South
Arkansas,AR,2021-11-09,2021-11-15,20480.78,26549.47,6132.5,0.0,0.0,0.0,1618688.46,1019422.74,277806.78,0.0,0.0,0.0,73,53162.75,2915917.9800000004,South
Arkansas,AR,2021-11-02,2021-11-08,20969.22,28286.97,3906.56,0.0,0.0,0.0,1633621.04,1063266.69,219030.25,0.0,0.0,0.0,68,53162.75,2915917.98,South
Arkansas,AR,2021-10-26,2021-11-01,17613.78,31503.81,4045.17,0.0,0.0,0.0,1165436.54,1526690.08,223791.36,0.0,0.0,0.0,74,53162.759999999995,2915917.98,South
Arkansas,AR,2021-10-19,2021-10-25,32353.16,20517.84,291.75,0.0,0.0,0.0,1520375.3,1323435.66,72107.02,0.0,0.0,0.0,40,53162.75,2915917.98,South
Arkansas,AR,2021-10-12,2021-10-18,28687.2,21828.19,2647.36,0.0,0.0,0.0,1338842.92,1071232.47,505842.6,0.0,0.0,0.0,51,53162.75,2915917.9899999998,South
Arkansas,AR,2021-10-05,2021-10-11,30581.46,20159.67,2421.62,0.0,0.0,0.0,1406384.52,1041207.74,468325.72,0.0,0.0,0.0,47,53162.75,2915917.9799999995,South
Arkansas,AR,2021-09-28,2021-10-04,27330.5,23081.47,2750.79,0.0,0.0,0.0,958263.51,1426121.25,531533.23,0.0,0.0,0.0,54,53162.76,2915917.9899999998,South
Arkansas,AR,2021-09-21,2021-09-27,29281.26,22639.77,1241.72,0.0,0.0,0.0,1026696.69,1601740.26,287481.02,0.0,0.0,0.0,47,53162.75,2915917.97,South
Arkansas,AR,2021-09-14,2021-09-20,35166.55,17797.03,199.17,0.0,0.0,0.0,1414515.54,1438735.59,62666.85,0.0,0.0,0.0,34,53162.75,2915917.98,South
Arkansas,AR,2021-09-07,2021-09-13,42196.58,10966.18,0.0,0.0,0.0,0.0,1951817.44,964100.55,0.0,0.0,0.0,0.0,21,53162.76,2915917.99,South
Arkansas,AR,2021-08-31,2021-09-06,48097.88,5064.87,0.0,0.0,0.0,0.0,2590753.98,325164.0,0.0,0.0,0.0,0.0,10,53162.75,2915917.98,South
Arkansas,AR,2021-08-24,2021-08-30,49216.89,3945.87,0.0,0.0,0.0,0.0,2663053.38,252864.61,0.0,0.0,0.0,0.0,7,53162.76,2915917.9899999998,South
Arkansas,AR,2021-08-17,2021-08-23,44194.39,8968.37,0.0,0.0,0.0,0.0,2266609.83,649308.16,0.0,0.0,0.0,0.0,17,53162.76,2915917.99,South
Arkansas,AR,2021-08-10,2021-08-16,43131.65,10031.11,0.0,0.0,0.0,0.0,2237755.54,678162.44,0.0,0.0,0.0,0.0,19,53162.76,2915917.98,South
Arkansas,AR,2021-08-03,2021-08-09,51749.89,1412.86,0.0,0.0,0.0,0.0,2807793.3,108124.69,0.0,0.0,0.0,0.0,3,53162.75,2915917.9899999998,South
Arkansas,AR,2021-07-27,2021-08-02,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-07-20,2021-07-26,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-07-13,2021-07-19,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-07-06,2021-07-12,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-06-29,2021-07-05,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-06-22,2021-06-28,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-06-15,2021-06-21,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-06-08,2021-06-14,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-06-01,2021-06-07,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-05-25,2021-05-31,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-05-18,2021-05-24,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-05-11,2021-05-17,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-05-04,2021-05-10,53162.75,0.0,0.0,0.0,0.0,0.0,2915917.98,0.0,0.0,0.0,0.0,0.0,0,53162.75,2915917.98,South
Arkansas,AR,2021-04-27,2021-05-03,52811.23,351.52,0.0,0.0,0.0,0.0,2907939.09,7978.89,0.0,0.0,0.0,0.0,1,53162.75,2915917.98,South
Arkansas,AR,2021-04-20,2021-04-26,52474.21,688.55,0.0,0.0,0.0,0.0,2880647.26,35270.72,0.0,0.0,0.0,0.0,1,53162.76,2915917.98,South
Arkansas,AR,2021-04-13,2021-04-19,51840.21,1322.55,0.0,0.0,0.0,0.0,2786930.65,128987.33,0.0,0.0,0.0,0.0,2,53162.76,2915917.98,South
