Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
Arizona,AZ,2021-12-07,2021-12-13,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-11-30,2021-12-06,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-11-23,2021-11-29,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-11-16,2021-11-22,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-11-09,2021-11-15,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-11-02,2021-11-08,0.0,26478.75,48696.71,28725.99,10128.55,4.81,0.0,2487922.27,3475789.69,312802.0,115431.57,71.48,220,114034.81,6392017.010000001,Southwest
Arizona,AZ,2021-10-26,2021-11-01,0.0,26476.41,48699.05,28725.99,10128.55,4.81,0.0,2487887.07,3475824.89,312802.0,115431.57,71.48,220,114034.81000000001,6392017.010000001,Southwest
Arizona,AZ,2021-10-19,2021-10-25,0.0,26419.49,48755.97,28601.29,10253.25,4.81,0.0,2477251.71,3486460.24,311809.57,116424.0,71.48,220,114034.81,6392017.000000001,Southwest
Arizona,AZ,2021-10-12,2021-10-18,0.0,26419.49,48366.34,28990.92,10253.25,4.81,0.0,2477251.71,3483494.82,314774.99,116424.0,71.48,220,114034.81,6392017.0,Southwest
Arizona,AZ,2021-10-05,2021-10-11,0.0,22402.57,45995.97,30035.38,15596.08,4.81,0.0,2419997.53,3493686.92,322149.83,156111.24,71.48,234,114034.81000000001,6392017.0,Southwest
Arizona,AZ,2021-09-28,2021-10-04,0.0,22374.1,46024.44,30027.47,15603.99,4.81,0.0,2418550.44,3495134.01,322099.32,156161.75,71.48,234,114034.81000000001,6392017.0,Southwest
Arizona,AZ,2021-09-21,2021-09-27,0.0,15011.12,53387.43,30027.47,15603.99,4.81,0.0,966139.22,4947545.23,322099.32,156161.75,71.48,241,114034.82,6392017.000000001,Southwest
Arizona,AZ,2021-09-14,2021-09-20,0.0,15011.12,53387.43,30027.47,15603.99,4.81,0.0,966139.22,4947545.23,322099.32,156161.75,71.48,241,114034.82,6392017.000000001,Southwest
Arizona,AZ,2021-09-07,2021-09-13,0.0,15011.12,53387.43,30027.47,15603.99,4.81,0.0,966139.22,4947545.23,322099.32,156161.75,71.48,241,114034.82,6392017.000000001,Southwest
Arizona,AZ,2021-08-31,2021-09-06,0.0,4277.35,47921.06,43021.44,17717.66,1097.32,0.0,124850.96,5183057.11,883597.42,184506.65,16004.88,268,114034.83000000002,6392017.0200000005,Southwest
Arizona,AZ,2021-08-24,2021-08-30,0.0,4276.52,47869.67,43073.66,17717.66,1097.32,0.0,124856.4,5181590.02,885059.05,184506.65,16004.88,268,114034.83000000002,6392017.0,Southwest
Arizona,AZ,2021-08-17,2021-08-23,0.0,3784.8,46934.92,24562.35,32636.92,6115.82,0.0,117198.83,5176358.17,698937.87,328586.63,70935.51,292,114034.81,6392017.01,Southwest
Arizona,AZ,2021-08-10,2021-08-16,0.0,1104.56,18549.45,53556.05,34124.5,6700.25,0.0,44238.66,1143668.98,4780373.95,340415.31,83320.11,323,114034.81,6392017.01,Southwest
Arizona,AZ,2021-08-03,2021-08-09,0.0,1216.39,18437.62,53556.05,33924.67,6900.09,0.0,48623.39,1139284.24,4780373.95,338975.45,84759.97,324,114034.81999999999,6392017.0,Southwest
Arizona,AZ,2021-07-27,2021-08-02,0.0,1216.39,4893.99,49030.08,49027.93,9866.43,0.0,48623.39,425121.09,4924110.12,874006.57,120155.84,354,114034.82,6392017.010000001,Southwest
Arizona,AZ,2021-07-20,2021-07-26,0.0,1216.39,4893.99,12014.58,55316.1,40593.76,0.0,48623.39,425121.09,1219473.66,4257019.3,441779.56,413,114034.82,6392016.999999999,Southwest
Arizona,AZ,2021-07-13,2021-07-19,0.0,1216.39,4893.99,5902.94,36125.72,65895.78,0.0,48623.39,425121.09,1089953.34,3080130.79,1748188.39,441,114034.82,6392017.0,Southwest
Arizona,AZ,2021-07-06,2021-07-12,0.0,1189.02,4944.99,5850.01,36155.03,65895.78,0.0,47553.35,429674.94,1080722.46,3085877.86,1748188.39,441,114034.83,6392016.999999999,Southwest
Arizona,AZ,2021-06-29,2021-07-05,0.0,1213.39,4920.62,5850.01,36155.03,65895.78,0.0,48913.01,428315.28,1080722.46,3085877.86,1748188.39,441,114034.83,6392016.999999999,Southwest
Arizona,AZ,2021-06-22,2021-06-28,0.0,1213.39,4920.62,9236.46,32768.57,65895.78,0.0,48913.01,428315.28,1137471.75,3029128.57,1748188.39,438,114034.82,6392016.999999999,Southwest
Arizona,AZ,2021-06-15,2021-06-21,0.0,1213.39,4898.93,9258.15,32768.57,65895.78,0.0,48913.01,424974.76,1140812.27,3029128.57,1748188.39,438,114034.82,6392016.999999999,Southwest
Arizona,AZ,2021-06-08,2021-06-14,0.0,1213.39,4898.93,9258.15,32768.57,65895.78,0.0,48913.01,424974.76,1140812.27,3029128.57,1748188.39,438,114034.82,6392016.999999999,Southwest
Arizona,AZ,2021-06-01,2021-06-07,0.0,1141.34,4989.05,9240.07,32768.57,65895.78,0.0,45148.63,431523.32,1138028.09,3029128.57,1748188.39,438,114034.81,6392016.999999999,Southwest
Arizona,AZ,2021-05-25,2021-05-31,0.0,1133.62,4996.78,9240.07,32768.57,65895.78,0.0,44727.3,431944.65,1138028.09,3029128.57,1748188.39,438,114034.82,6392016.999999999,Southwest
