Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
California,CA,2021-12-07,2021-12-13,0.0,0.0,11971.32,19220.96,82252.98,44702.61,0.0,0.0,3667260.03,5155983.88,19258162.79,9172549.71,401,158147.87,37253956.41,West
California,CA,2021-11-30,2021-12-06,0.0,0.0,11971.32,19220.96,82252.98,44702.61,0.0,0.0,3667260.03,5155983.88,19258162.79,9172549.71,401,158147.87,37253956.41,West
California,CA,2021-11-23,2021-11-29,0.0,0.0,11971.32,19220.96,82252.98,44702.61,0.0,0.0,3667260.03,5155983.88,19258162.79,9172549.71,401,158147.87,37253956.41,West
California,CA,2021-11-16,2021-11-22,0.0,0.0,11971.32,19220.96,67461.22,59494.37,0.0,0.0,3667260.03,5155983.88,15808195.71,12622516.79,410,158147.87,37253956.41,West
California,CA,2021-11-09,2021-11-15,0.0,0.0,11971.32,19220.96,67461.22,59494.37,0.0,0.0,3667260.03,5155983.88,15808195.71,12622516.79,410,158147.87,37253956.41,West
California,CA,2021-11-02,2021-11-08,0.0,0.0,9787.29,16579.95,70512.91,61267.73,0.0,0.0,3604626.93,5115432.58,15889645.34,12644251.56,416,158147.88,37253956.410000004,West
California,CA,2021-10-26,2021-11-01,0.0,0.0,9787.29,16579.95,70512.91,61267.73,0.0,0.0,3604626.93,5115432.58,15889645.34,12644251.56,416,158147.88,37253956.410000004,West
California,CA,2021-10-19,2021-10-25,0.0,0.0,9787.29,10488.41,65666.19,72205.98,0.0,0.0,3604626.93,4852618.44,14622106.01,14174605.03,427,158147.87,37253956.410000004,West
California,CA,2021-10-12,2021-10-18,0.0,0.0,9606.14,10669.57,65666.19,72205.98,0.0,0.0,3508445.16,4948800.2,14622106.01,14174605.03,427,158147.88,37253956.4,West
California,CA,2021-10-05,2021-10-11,0.0,0.0,9606.14,9562.91,66772.85,72205.98,0.0,0.0,3508445.16,4667311.46,14903594.75,14174605.03,427,158147.88,37253956.4,West
California,CA,2021-09-28,2021-10-04,0.0,0.0,9606.14,9562.91,66772.85,72205.98,0.0,0.0,3508445.16,4667311.46,14903594.75,14174605.03,427,158147.88,37253956.4,West
California,CA,2021-09-21,2021-09-27,0.0,0.0,9606.14,9562.91,66772.85,72205.98,0.0,0.0,3508445.16,4667311.46,14903594.75,14174605.03,427,158147.88,37253956.4,West
California,CA,2021-09-14,2021-09-20,0.0,0.0,9606.14,9468.06,66867.69,72205.98,0.0,0.0,3508445.16,4665180.95,14905725.27,14174605.03,428,158147.87,37253956.41,West
California,CA,2021-09-07,2021-09-13,0.0,0.0,9606.14,9468.06,66867.69,72205.98,0.0,0.0,3508445.16,4665180.95,14905725.26,14174605.03,428,158147.87,37253956.4,West
California,CA,2021-08-31,2021-09-06,0.0,0.0,7019.99,11366.76,64805.68,74955.44,0.0,0.0,3054607.61,4913215.95,14807914.47,14478218.38,431,158147.87,37253956.410000004,West
California,CA,2021-08-24,2021-08-30,0.0,0.0,6987.2,11399.55,64805.68,74955.44,0.0,0.0,3041977.32,4925846.24,14807914.47,14478218.38,431,158147.87,37253956.410000004,West
California,CA,2021-08-17,2021-08-23,0.0,0.0,6987.2,11399.55,62310.2,77450.93,0.0,0.0,3041977.32,4925846.24,14755568.95,14530563.9,433,158147.88,37253956.41,West
California,CA,2021-08-10,2021-08-16,0.0,0.0,7802.61,10584.13,65277.93,74483.19,0.0,0.0,3063298.85,4904524.71,14790138.25,14495994.61,431,158147.86,37253956.42,West
California,CA,2021-08-03,2021-08-09,0.0,0.0,7802.61,10584.13,66305.93,73455.19,0.0,0.0,3063298.85,4904524.71,14818621.61,14467511.25,430,158147.86,37253956.42,West
California,CA,2021-07-27,2021-08-02,0.0,0.0,7769.36,10282.26,66576.42,73519.83,0.0,0.0,3049923.8,4876519.52,14842666.16,14484846.93,430,158147.87,37253956.41,West
California,CA,2021-07-20,2021-07-26,0.0,0.0,8302.17,14231.28,82757.53,52856.89,0.0,0.0,3068406.1,4950287.74,19910444.3,9324818.26,414,158147.87,37253956.4,West
California,CA,2021-07-13,2021-07-19,0.0,0.0,8302.17,14259.18,82885.39,52701.12,0.0,0.0,3068406.1,4950678.74,19910965.34,9323906.24,414,158147.86,37253956.42,West
California,CA,2021-07-06,2021-07-12,0.0,0.0,8327.01,14697.69,82422.04,52701.12,0.0,0.0,3061777.53,4914421.04,19953851.61,9323906.24,413,158147.86,37253956.42,West
California,CA,2021-06-29,2021-07-05,0.0,0.0,8327.01,14697.69,82422.04,52701.12,0.0,0.0,3061777.53,4914421.04,19953851.6,9323906.24,413,158147.86,37253956.410000004,West
California,CA,2021-06-22,2021-06-28,0.0,0.0,8327.01,14697.69,82422.04,52701.12,0.0,0.0,3061777.53,4914421.04,19953851.6,9323906.24,413,158147.86,37253956.410000004,West
California,CA,2021-06-15,2021-06-21,0.0,0.0,8303.06,14721.65,82422.04,52701.12,0.0,0.0,3047157.26,4929041.31,19953851.6,9323906.24,414,158147.87,37253956.410000004,West
California,CA,2021-06-08,2021-06-14,0.0,0.0,8303.06,15102.1,82041.59,52701.12,0.0,0.0,3047157.26,4929918.42,19952974.49,9323906.24,413,158147.87,37253956.41,West
California,CA,2021-06-01,2021-06-07,0.0,0.0,8531.14,31864.31,76566.33,41186.09,0.0,0.0,3255783.0,7410762.5,19266847.59,7320563.31,395,158147.87,37253956.4,West
California,CA,2021-05-25,2021-05-31,0.0,0.0,8531.14,31864.31,76566.33,41186.09,0.0,0.0,3255783.0,7410762.5,19266847.59,7320563.31,395,158147.87,37253956.4,West
California,CA,2021-05-18,2021-05-24,0.0,0.0,8998.78,33175.03,90808.31,25165.75,0.0,0.0,3275864.58,7516611.21,23358310.65,3103169.97,384,158147.87,37253956.41,West
California,CA,2021-05-11,2021-05-17,0.0,0.0,8998.81,33175.0,94583.57,21390.49,0.0,0.0,3275865.72,7516610.07,25275326.26,1186154.35,381,158147.87,37253956.400000006,West
California,CA,2021-05-04,2021-05-10,0.0,3928.93,7329.99,30957.96,107453.46,8477.52,0.0,2699145.4,1317389.7,6776133.19,25966431.66,494856.45,369,158147.86,37253956.400000006,West
California,CA,2021-04-27,2021-05-03,0.0,3943.84,15116.82,55486.49,75123.2,8477.52,0.0,2699563.59,2222025.85,11150889.65,20686620.87,494856.45,344,158147.86999999997,37253956.410000004,West
California,CA,2021-04-20,2021-04-26,0.0,5479.12,17659.19,56151.13,70380.92,8477.52,0.0,2749886.8,2289603.26,14753335.19,16966274.7,494856.45,337,158147.87999999998,37253956.400000006,West
California,CA,2021-04-13,2021-04-19,1231.12,8043.06,27140.37,60561.84,52693.95,8477.52,39542.72,3155718.39,10945515.08,18786134.29,3832189.48,494856.45,314,158147.86,37253956.410000004,West
California,CA,2021-04-06,2021-04-12,1210.71,10413.8,36323.15,54190.92,47531.76,8477.52,38823.68,3397827.33,12260271.02,17613368.7,3448809.23,494856.45,302,158147.86,37253956.41,West
California,CA,2021-03-30,2021-04-05,1213.78,13554.64,42126.57,51024.94,41750.41,8477.52,38931.2,4299069.08,20619450.44,8768908.98,3032740.25,494856.45,291,158147.86,37253956.400000006,West
California,CA,2021-03-23,2021-03-29,1106.89,13661.53,42126.57,51024.94,41750.41,8477.52,35252.01,4302748.27,20619450.44,8768908.98,3032740.25,494856.45,291,158147.86,37253956.400000006,West
California,CA,2021-03-16,2021-03-22,1233.96,13602.52,50648.72,45938.38,40788.3,5935.98,39784.19,4374944.93,22120239.0,7548469.74,2969037.44,201481.12,282,158147.86000000002,37253956.419999994,West
California,CA,2021-03-09,2021-03-15,1180.45,13221.71,51083.04,45938.38,40788.3,5935.98,37943.19,4271969.11,22225055.82,7548469.74,2969037.44,201481.12,282,158147.86000000002,37253956.419999994,West
California,CA,2021-03-02,2021-03-08,1180.45,13221.71,53626.0,43395.42,40788.3,5935.98,37943.19,4271969.11,22357941.98,7415583.58,2969037.44,201481.12,280,158147.86000000002,37253956.419999994,West
California,CA,2021-02-23,2021-03-01,1111.34,22793.68,44123.15,43395.42,40788.3,5935.98,35571.22,10257560.96,16374722.1,7415583.58,2969037.43,201481.12,274,158147.87000000002,37253956.41,West
California,CA,2021-02-16,2021-02-22,1111.34,22793.68,43181.48,42049.77,43083.23,5928.38,35571.22,10257560.96,16362036.13,7416107.19,2981234.12,201446.8,276,158147.88,37253956.419999994,West
California,CA,2021-02-09,2021-02-15,1019.33,22546.62,43066.72,41839.58,43747.24,5928.38,32936.95,10249321.66,16362553.19,7424932.87,2982764.95,201446.8,277,158147.87,37253956.419999994,West
California,CA,2021-02-02,2021-02-08,0.0,22163.3,43561.05,42367.78,44127.35,5928.38,0.0,10231736.08,16391638.26,7443873.73,2985261.55,201446.8,280,158147.86000000002,37253956.419999994,West
California,CA,2021-01-26,2021-02-01,0.0,7594.51,30769.9,57374.0,56306.53,6102.94,0.0,6835280.53,12959396.0,13306292.15,3950058.24,202929.49,314,158147.88,37253956.410000004,West
California,CA,2021-01-19,2021-01-25,0.0,7594.51,27008.42,61136.48,60529.0,1879.46,0.0,6835280.53,12734065.59,13505138.21,3995864.78,183607.31,314,158147.87,37253956.42,West
California,CA,2021-01-12,2021-01-18,0.0,7594.51,25458.35,62633.01,60582.55,1879.46,0.0,6835280.53,12626868.66,13611555.82,3996644.09,183607.31,315,158147.87999999998,37253956.410000004,West
California,CA,2021-01-05,2021-01-11,0.0,7595.62,32978.43,64063.95,51630.42,1879.46,0.0,6828347.78,14007964.4,13027505.95,3206530.97,183607.31,305,158147.87999999998,37253956.41,West
California,CA,2020-12-29,2021-01-04,0.0,7641.45,32932.6,64197.6,51496.76,1879.46,0.0,6800758.41,14035553.78,13027814.09,3206222.83,183607.31,304,158147.87,37253956.42,West
California,CA,2020-12-22,2020-12-28,0.0,7641.45,32932.6,64197.6,51496.76,1879.46,0.0,6800758.41,14035553.78,13027814.09,3206222.83,183607.31,304,158147.87,37253956.42,West
California,CA,2020-12-15,2020-12-21,0.0,7641.45,32930.82,64199.38,51496.76,1879.46,0.0,6800759.3,14035484.23,13027882.74,3206222.83,183607.31,304,158147.87,37253956.410000004,West
California,CA,2020-12-08,2020-12-14,0.0,7641.45,44879.02,71949.7,33677.7,0.0,0.0,6800759.3,16478795.89,12194395.76,1780005.46,0.0,283,158147.87,37253956.410000004,West
California,CA,2020-12-01,2020-12-07,5473.73,34017.96,42444.77,45600.55,30610.87,0.0,5523003.27,14992907.85,4885158.73,10093956.85,1758929.72,0.0,239,158147.88,37253956.419999994,West
California,CA,2020-11-24,2020-11-30,5542.04,33949.65,42444.77,45600.55,30610.87,0.0,5547783.11,14968128.01,4885158.73,10093956.84,1758929.72,0.0,239,158147.88,37253956.41,West
California,CA,2020-11-17,2020-11-23,24690.16,21310.16,46911.14,40194.9,25041.51,0.0,15812863.41,5465352.78,6810622.68,7522664.72,1642452.82,0.0,212,158147.87,37253956.410000004,West
California,CA,2020-11-10,2020-11-16,24483.14,21517.18,46911.14,40194.9,25041.51,0.0,15708269.03,5569947.16,6810622.68,7522664.72,1642452.82,0.0,213,158147.87,37253956.41,West
California,CA,2020-11-03,2020-11-09,24483.14,26858.39,50493.76,36165.92,20146.66,0.0,15708269.03,5978299.55,6904465.54,7288088.43,1374833.86,0.0,200,158147.87000000002,37253956.41,West
California,CA,2020-10-27,2020-11-02,24353.74,26987.8,50493.76,36165.92,20146.66,0.0,15653782.49,6032786.09,6904465.54,7288088.43,1374833.86,0.0,200,158147.88,37253956.41,West
California,CA,2020-10-20,2020-10-26,24353.74,26987.8,50493.76,36165.92,20146.66,0.0,15653782.49,6032786.09,6904465.54,7288088.43,1374833.86,0.0,200,158147.88,37253956.41,West
California,CA,2020-10-13,2020-10-19,24353.74,26987.8,50493.76,36165.92,20146.66,0.0,15653782.49,6032786.09,6904465.54,7288088.43,1374833.86,0.0,200,158147.88,37253956.41,West
California,CA,2020-10-06,2020-10-12,24353.74,26987.8,50493.76,36165.92,20146.66,0.0,15653782.5,6032786.09,6904465.54,7288088.43,1374833.86,0.0,200,158147.88,37253956.42,West
California,CA,2020-09-29,2020-10-05,24278.94,26883.85,50651.09,36187.33,20146.66,0.0,15615424.08,6049482.9,6932694.1,7281521.47,1374833.85,0.0,201,158147.87,37253956.4,West
California,CA,2020-09-22,2020-09-28,24705.77,27343.52,50323.19,50411.09,5364.3,0.0,15668585.82,6269359.41,7184816.9,8094719.56,36474.72,0.0,190,158147.87,37253956.410000004,West
California,CA,2020-09-15,2020-09-21,24705.77,27343.52,50333.47,50746.19,5018.92,0.0,15668585.82,6269359.41,7184840.6,8096885.9,34284.68,0.0,190,158147.87000000002,37253956.41,West
California,CA,2020-09-08,2020-09-14,32341.66,40114.37,33537.68,47340.36,4813.81,0.0,18231273.04,5750328.33,5451942.05,7787979.71,32433.28,0.0,170,158147.88,37253956.41,West
California,CA,2020-09-01,2020-09-07,32253.72,39893.98,35741.75,45444.61,4813.81,0.0,18234312.15,5707902.7,7129989.75,6149318.52,32433.28,0.0,169,158147.87,37253956.4,West
California,CA,2020-08-25,2020-08-31,32492.7,39655.0,35575.1,45611.26,4813.81,0.0,18289333.89,5652880.96,6999036.53,6280271.74,32433.28,0.0,169,158147.87,37253956.400000006,West
California,CA,2020-08-18,2020-08-24,32492.7,39913.83,51394.52,29533.02,4813.81,0.0,18289333.89,5646264.33,7330040.05,5955884.86,32433.28,0.0,158,158147.87999999998,37253956.410000004,West
California,CA,2020-08-11,2020-08-17,53363.96,25098.31,45338.78,29533.02,4813.81,0.0,22325112.81,2136165.62,6804359.83,5955884.86,32433.28,0.0,141,158147.88,37253956.4,West
California,CA,2020-08-04,2020-08-10,53363.96,25111.92,45672.14,29186.04,4813.81,0.0,22325112.81,2133354.86,6807970.52,5955084.94,32433.28,0.0,141,158147.87,37253956.41,West
California,CA,2020-07-28,2020-08-03,63803.86,14672.02,45672.14,29186.04,4813.81,0.0,23127711.89,1330755.77,6807970.52,5955084.94,32433.28,0.0,135,158147.87,37253956.4,West
California,CA,2020-07-21,2020-07-27,63803.86,18096.62,42247.54,29186.04,4813.81,0.0,23127711.89,1353326.33,6785399.97,5955084.94,32433.28,0.0,132,158147.87,37253956.41,West
California,CA,2020-07-14,2020-07-20,63860.88,18071.92,42215.22,30123.4,3876.45,0.0,23127815.2,1353297.53,6785325.46,5961401.32,26116.9,0.0,132,158147.87,37253956.410000004,West
California,CA,2020-07-07,2020-07-13,66086.83,18143.8,40957.12,29083.67,3876.45,0.0,23161832.58,2753160.16,5355711.33,5957135.44,26116.9,0.0,128,158147.87,37253956.41,West
California,CA,2020-06-30,2020-07-06,66086.83,18143.8,40957.12,29083.67,3876.45,0.0,23161832.58,2753160.16,5355711.33,5957135.44,26116.9,0.0,128,158147.87,37253956.41,West
