Name,state,ValidStart,ValidEnd,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,climate_regions
Illinois,IL,2021-12-07,2021-12-13,45588.94,5555.11,4551.37,687.13,0.0,0.0,8789899.85,2262265.96,1205936.91,589287.07,0.0,0.0,30,56382.55,12847389.79,Ohio Valley
Illinois,IL,2021-11-30,2021-12-06,45662.09,5481.95,4551.37,687.13,0.0,0.0,8794755.93,2257409.89,1205936.91,589287.07,0.0,0.0,30,56382.53999999999,12847389.8,Ohio Valley
Illinois,IL,2021-11-23,2021-11-29,47330.19,3813.85,4551.37,687.13,0.0,0.0,9149599.44,1902566.38,1205936.91,589287.07,0.0,0.0,27,56382.54,12847389.8,Ohio Valley
Illinois,IL,2021-11-16,2021-11-22,49403.15,1740.89,4551.37,687.13,0.0,0.0,9341435.32,1710730.49,1205936.91,589287.07,0.0,0.0,23,56382.54,12847389.790000001,Ohio Valley
Illinois,IL,2021-11-09,2021-11-15,49453.9,1690.15,4551.37,687.13,0.0,0.0,9348920.62,1703245.2,1205936.91,589287.07,0.0,0.0,23,56382.55,12847389.799999999,Ohio Valley
Illinois,IL,2021-11-02,2021-11-08,49583.57,1560.48,4551.37,687.13,0.0,0.0,9352958.45,1699207.36,1205936.91,589287.07,0.0,0.0,23,56382.55,12847389.79,Ohio Valley
Illinois,IL,2021-10-26,2021-11-01,49583.57,1560.48,4551.37,687.13,0.0,0.0,9352958.45,1699207.37,1205936.91,589287.07,0.0,0.0,23,56382.55,12847389.8,Ohio Valley
Illinois,IL,2021-10-19,2021-10-25,47944.14,2610.22,5054.12,774.07,0.0,0.0,7739973.38,2558234.8,1940999.33,608182.29,0.0,0.0,27,56382.55,12847389.8,Ohio Valley
Illinois,IL,2021-10-12,2021-10-18,45496.0,4355.78,5756.69,774.07,0.0,0.0,5266835.66,4359749.55,2612622.3,608182.29,0.0,0.0,32,56382.54,12847389.8,Ohio Valley
Illinois,IL,2021-10-05,2021-10-11,43050.07,4287.23,3709.8,4949.45,386.0,0.0,4912614.34,3703204.5,2824883.59,994555.98,412131.37,0.0,50,56382.55,12847389.78,Ohio Valley
Illinois,IL,2021-09-28,2021-10-04,42158.51,5197.59,4074.4,4566.05,386.0,0.0,4798224.02,3854960.95,2802159.0,979914.45,412131.37,0.0,51,56382.55000000001,12847389.789999997,Ohio Valley
Illinois,IL,2021-09-21,2021-09-27,39716.82,9167.78,5508.38,1801.27,188.3,0.0,4703012.57,5594031.09,1832999.31,435785.9,281560.93,0.0,47,56382.549999999996,12847389.8,Ohio Valley
Illinois,IL,2021-09-14,2021-09-20,37812.03,12868.83,5256.66,445.02,0.0,0.0,4626850.05,5849869.87,1783011.05,587658.82,0.0,0.0,44,56382.54,12847389.790000001,Ohio Valley
Illinois,IL,2021-09-07,2021-09-13,46357.27,4495.93,5084.34,445.02,0.0,0.0,9418686.11,1493750.28,1347294.59,587658.82,0.0,0.0,28,56382.55999999999,12847389.799999999,Ohio Valley
Illinois,IL,2021-08-31,2021-09-06,45314.56,5450.98,5171.99,445.02,0.0,0.0,9283196.46,1600656.05,1375878.46,587658.82,0.0,0.0,30,56382.54999999999,12847389.790000003,Ohio Valley
Illinois,IL,2021-08-24,2021-08-30,44188.3,7722.46,4026.78,445.02,0.0,0.0,4157434.06,6845331.95,1256964.96,587658.82,0.0,0.0,30,56382.56,12847389.79,Ohio Valley
Illinois,IL,2021-08-17,2021-08-23,47687.37,4564.06,3686.1,445.02,0.0,0.0,4669821.92,6407527.25,1182381.8,587658.82,0.0,0.0,24,56382.549999999996,12847389.790000001,Ohio Valley
Illinois,IL,2021-08-10,2021-08-16,47813.27,5159.18,2740.22,669.87,0.0,0.0,4752098.67,6287902.06,1136873.65,670515.42,0.0,0.0,22,56382.54,12847389.8,Ohio Valley
Illinois,IL,2021-08-03,2021-08-09,50188.29,2810.33,2150.12,1233.81,0.0,0.0,9542996.1,1458283.86,896331.21,949778.61,0.0,0.0,19,56382.55,12847389.779999997,Ohio Valley
Illinois,IL,2021-07-27,2021-08-02,50889.26,1450.65,2742.31,1300.32,0.0,0.0,9706200.11,1364123.22,824850.79,952215.69,0.0,0.0,19,56382.54,12847389.81,Ohio Valley
Illinois,IL,2021-07-20,2021-07-26,50889.26,1450.65,2742.31,1300.32,0.0,0.0,9706200.11,1364123.21,824850.79,952215.69,0.0,0.0,19,56382.54,12847389.799999999,Ohio Valley
Illinois,IL,2021-07-13,2021-07-19,50369.99,1886.9,2774.97,807.47,543.22,0.0,9617495.76,1369929.76,899039.31,491312.68,469612.28,0.0,21,56382.55,12847389.79,Ohio Valley
Illinois,IL,2021-07-06,2021-07-12,48422.19,3789.69,2921.55,705.9,543.22,0.0,9497875.67,1449813.82,942496.66,487591.37,469612.28,0.0,25,56382.55000000001,12847389.799999999,Ohio Valley
Illinois,IL,2021-06-29,2021-07-05,47990.44,4137.06,3005.93,705.9,543.22,0.0,6452768.45,4118197.56,1319220.14,487591.37,469612.28,0.0,26,56382.55,12847389.799999999,Ohio Valley
Illinois,IL,2021-06-22,2021-06-28,43085.77,8122.66,3416.59,1214.31,543.22,0.0,3364063.22,3247324.72,4364627.53,1401762.05,469612.28,0.0,37,56382.54999999999,12847389.8,Ohio Valley
Illinois,IL,2021-06-15,2021-06-21,44834.68,6373.95,1547.58,2027.48,1598.86,0.0,3733047.82,2878412.72,1837027.53,2574411.24,1824490.48,0.0,39,56382.55,12847389.790000001,Ohio Valley
Illinois,IL,2021-06-08,2021-06-14,44604.26,6972.82,2221.55,2583.92,0.0,0.0,4010469.31,2615851.1,2109150.77,4111918.62,0.0,0.0,34,56382.55,12847389.8,Ohio Valley
