Name,MapDate,DSCI
High Plains,20001226,40
High Plains,20010102,40
High Plains,20010109,34
High Plains,20010116,32
High Plains,20010123,50
High Plains,20010130,39
High Plains,20010206,37
High Plains,20010213,36
High Plains,20010220,36
High Plains,20010227,32
High Plains,20010306,32
High Plains,20010313,37
High Plains,20010320,37
High Plains,20010327,37
High Plains,20010403,33
High Plains,20010410,30
High Plains,20010417,26
High Plains,20010424,23
High Plains,20010501,21
High Plains,20010508,20
High Plains,20010515,24
High Plains,20010522,24
High Plains,20010529,24
High Plains,20010605,24
High Plains,20010612,32
High Plains,20010619,32
High Plains,20010626,43
High Plains,20010703,61
High Plains,20010710,58
High Plains,20010717,55
High Plains,20010724,59
High Plains,20010731,57
High Plains,20010807,62
High Plains,20010814,60
High Plains,20010821,60
High Plains,20010828,65
High Plains,20010904,77
High Plains,20010911,88
High Plains,20010918,73
High Plains,20010925,68
High Plains,20011002,72
High Plains,20011009,76
High Plains,20011016,75
High Plains,20011023,83
High Plains,20011030,88
High Plains,20011106,92
High Plains,20011113,104
High Plains,20011120,104
High Plains,20011127,93
High Plains,20011204,101
High Plains,20011211,103
High Plains,20011218,104
High Plains,20011225,105
High Plains,20020101,108
High Plains,20020108,121
High Plains,20020115,124
High Plains,20020122,125
High Plains,20020129,125
High Plains,20020205,134
High Plains,20020212,137
High Plains,20020219,142
High Plains,20020226,155
High Plains,20020305,157
High Plains,20020312,169
High Plains,20020319,169
High Plains,20020326,178
High Plains,20020402,191
High Plains,20020409,195
High Plains,20020416,211
High Plains,20020423,223
High Plains,20020430,224
High Plains,20020507,237
High Plains,20020514,225
High Plains,20020521,212
High Plains,20020528,216
High Plains,20020604,215
High Plains,20020611,215
High Plains,20020618,232
High Plains,20020625,236
High Plains,20020702,265
High Plains,20020709,265
High Plains,20020716,266
High Plains,20020723,295
High Plains,20020730,313
High Plains,20020806,320
High Plains,20020813,308
High Plains,20020820,303
High Plains,20020827,298
High Plains,20020903,290
High Plains,20020910,280
High Plains,20020917,275
High Plains,20020924,272
High Plains,20021001,283
High Plains,20021008,266
High Plains,20021015,274
High Plains,20021022,274
High Plains,20021029,269
High Plains,20021105,263
High Plains,20021112,263
High Plains,20021119,263
High Plains,20021126,262
High Plains,20021203,262
High Plains,20021210,277
High Plains,20021217,280
High Plains,20021224,279
High Plains,20021231,282
High Plains,20030107,294
High Plains,20030114,302
High Plains,20030121,304
High Plains,20030128,306
High Plains,20030204,304
High Plains,20030211,306
High Plains,20030218,300
High Plains,20030225,298
High Plains,20030304,305
High Plains,20030311,308
High Plains,20030318,310
High Plains,20030325,285
High Plains,20030401,272
High Plains,20030408,267
High Plains,20030415,269
High Plains,20030422,263
High Plains,20030429,262
High Plains,20030506,234
High Plains,20030513,205
High Plains,20030520,190
High Plains,20030527,191
High Plains,20030603,186
High Plains,20030610,172
High Plains,20030617,165
High Plains,20030624,149
High Plains,20030701,130
High Plains,20030708,139
High Plains,20030715,169
High Plains,20030722,206
High Plains,20030729,225
High Plains,20030805,232
High Plains,20030812,237
High Plains,20030819,256
High Plains,20030826,280
High Plains,20030902,265
High Plains,20030909,267
High Plains,20030916,239
High Plains,20030923,238
High Plains,20030930,238
High Plains,20031007,237
High Plains,20031014,242
High Plains,20031021,241
High Plains,20031028,244
High Plains,20031104,242
High Plains,20031111,242
High Plains,20031118,241
High Plains,20031125,242
High Plains,20031202,241
High Plains,20031209,245
High Plains,20031216,246
High Plains,20031223,245
High Plains,20031230,245
High Plains,20040106,240
High Plains,20040113,239
High Plains,20040120,242
High Plains,20040127,242
High Plains,20040203,243
High Plains,20040210,242
High Plains,20040217,244
High Plains,20040224,245
High Plains,20040302,236
High Plains,20040309,229
High Plains,20040316,227
High Plains,20040323,233
High Plains,20040330,230
High Plains,20040406,230
High Plains,20040413,229
High Plains,20040420,232
High Plains,20040427,229
High Plains,20040504,234
High Plains,20040511,235
High Plains,20040518,224
High Plains,20040525,225
High Plains,20040601,218
High Plains,20040608,221
High Plains,20040615,219
High Plains,20040622,201
High Plains,20040629,194
High Plains,20040706,190
High Plains,20040713,190
High Plains,20040720,192
High Plains,20040727,180
High Plains,20040803,190
High Plains,20040810,181
High Plains,20040817,184
High Plains,20040824,172
High Plains,20040831,170
High Plains,20040907,161
High Plains,20040914,167
High Plains,20040921,166
High Plains,20040928,155
High Plains,20041005,157
High Plains,20041012,155
High Plains,20041019,154
High Plains,20041026,152
High Plains,20041102,150
High Plains,20041109,150
High Plains,20041116,149
High Plains,20041123,149
High Plains,20041130,144
High Plains,20041207,144
High Plains,20041214,144
High Plains,20041221,147
High Plains,20041228,149
High Plains,20050104,149
High Plains,20050111,149
High Plains,20050118,149
High Plains,20050125,152
High Plains,20050201,152
High Plains,20050208,150
High Plains,20050215,156
High Plains,20050222,156
High Plains,20050301,159
High Plains,20050308,160
High Plains,20050315,160
High Plains,20050322,160
High Plains,20050329,158
High Plains,20050405,152
High Plains,20050412,140
High Plains,20050419,142
High Plains,20050426,136
High Plains,20050503,141
High Plains,20050510,137
High Plains,20050517,111
High Plains,20050524,113
High Plains,20050531,114
High Plains,20050607,100
High Plains,20050614,79
High Plains,20050621,79
High Plains,20050628,78
High Plains,20050705,75
High Plains,20050712,76
High Plains,20050719,94
High Plains,20050726,110
High Plains,20050802,111
High Plains,20050809,112
High Plains,20050816,92
High Plains,20050823,85
High Plains,20050830,84
High Plains,20050906,87
High Plains,20050913,88
High Plains,20050920,88
High Plains,20050927,86
High Plains,20051004,88
High Plains,20051011,70
High Plains,20051018,69
High Plains,20051025,70
High Plains,20051101,74
High Plains,20051108,73
High Plains,20051115,74
High Plains,20051122,74
High Plains,20051129,67
High Plains,20051206,71
High Plains,20051213,72
High Plains,20051220,73
High Plains,20051227,73
High Plains,20060103,74
High Plains,20060110,75
High Plains,20060117,83
High Plains,20060124,86
High Plains,20060131,98
High Plains,20060207,100
High Plains,20060214,102
High Plains,20060221,101
High Plains,20060228,107
High Plains,20060307,110
High Plains,20060314,114
High Plains,20060321,120
High Plains,20060328,119
High Plains,20060404,112
High Plains,20060411,109
High Plains,20060418,113
High Plains,20060425,116
High Plains,20060502,115
High Plains,20060509,112
High Plains,20060516,116
High Plains,20060523,128
High Plains,20060530,145
High Plains,20060606,155
High Plains,20060613,183
High Plains,20060620,183
High Plains,20060627,189
High Plains,20060704,199
High Plains,20060711,196
High Plains,20060718,239
High Plains,20060725,252
High Plains,20060801,265
High Plains,20060808,279
High Plains,20060815,274
High Plains,20060822,260
High Plains,20060829,241
High Plains,20060905,237
High Plains,20060912,233
High Plains,20060919,221
High Plains,20060926,199
High Plains,20061003,202
High Plains,20061010,195
High Plains,20061017,195
High Plains,20061024,195
High Plains,20061031,186
High Plains,20061107,188
High Plains,20061114,193
High Plains,20061121,193
High Plains,20061128,195
High Plains,20061205,199
High Plains,20061212,200
High Plains,20061219,199
High Plains,20061226,186
High Plains,20070102,174
High Plains,20070109,181
High Plains,20070116,177
High Plains,20070123,173
