,ValidEnd,Name,state,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_area,total_population,avg_tmax,avg_tmin,total_avg_prcp_inches,total_avg_prcp_mm
0,2021-01-04,Alabama,AL,47712.19,3892.15,0.0,0.0,0.0,0.0,4596699.61,183036.41,0.0,0.0,0.0,0.0,8,51604.34,4779736.0200000005,67.94,41.45,0.8399999999999999,21.335999999999995
1,2020-12-28,Alabama,AL,39068.95,12535.39,0.0,0.0,0.0,0.0,4038013.82,741722.2,0.0,0.0,0.0,0.0,24,51604.34,4779736.02,57.79714285714285,30.522857142857145,0.049,1.2446
2,2020-12-21,Alabama,AL,39068.95,12535.4,0.0,0.0,0.0,0.0,4038013.43,741722.59,0.0,0.0,0.0,0.0,24,51604.35,4779736.0200000005,53.63428571428573,34.31428571428571,0.4419999999999999,11.226799999999997
3,2020-12-14,Alabama,AL,42812.87,8791.48,0.0,0.0,0.0,0.0,4239664.15,540071.87,0.0,0.0,0.0,0.0,17,51604.350000000006,4779736.0200000005,64.14571428571428,38.80857142857143,0.386,9.8044
4,2020-12-07,Alabama,AL,45608.51,5995.84,0.0,0.0,0.0,0.0,4483976.48,295759.54,0.0,0.0,0.0,0.0,12,51604.350000000006,4779736.0200000005,55.37714285714286,31.965714285714284,0.226,5.7404
5,2020-11-30,Alabama,AL,42750.86,8853.49,0.0,0.0,0.0,0.0,4181999.46,597736.57,0.0,0.0,0.0,0.0,17,51604.35,4779736.03,64.22785714285715,44.435,1.304,33.1216
6,2020-11-23,Alabama,AL,51604.35,0.0,0.0,0.0,0.0,0.0,4779736.02,0.0,0.0,0.0,0.0,0.0,0,51604.35,4779736.02,69.71714285714286,42.35714285714285,0.0,0.0
7,2020-11-16,Alabama,AL,51604.35,0.0,0.0,0.0,0.0,0.0,4779736.02,0.0,0.0,0.0,0.0,0.0,0,51604.35,4779736.02,74.46571428571428,52.03142857142858,0.009,0.22859999999999997
8,2020-11-09,Alabama,AL,51604.35,0.0,0.0,0.0,0.0,0.0,4779736.02,0.0,0.0,0.0,0.0,0.0,0,51604.35,4779736.02,75.72,51.40285714285714,0.007,0.17779999999999999
9,2020-11-02,Alabama,AL,50696.78,907.57,0.0,0.0,0.0,0.0,4764322.64,15413.38,0.0,0.0,0.0,0.0,2,51604.35,4779736.02,71.16571428571427,51.87714285714286,0.338,8.5852
10,2020-10-26,Alabama,AL,49951.0,1653.35,0.0,0.0,0.0,0.0,4439090.9,340645.12,0.0,0.0,0.0,0.0,3,51604.35,4779736.0200000005,80.54571428571428,63.45714285714286,0.342,8.6868
11,2020-10-19,Alabama,AL,49951.0,1653.35,0.0,0.0,0.0,0.0,4439090.9,340645.12,0.0,0.0,0.0,0.0,3,51604.35,4779736.0200000005,78.79714285714284,52.21428571428572,0.0579999999999999,1.4731999999999974
12,2020-10-12,Alabama,AL,48821.14,2783.21,0.0,0.0,0.0,0.0,4419929.31,359806.71,0.0,0.0,0.0,0.0,5,51604.35,4779736.02,82.11428571428573,64.36285714285715,0.217,5.5118
13,2020-10-05,Alabama,AL,50610.23,994.12,0.0,0.0,0.0,0.0,4764485.74,15250.28,0.0,0.0,0.0,0.0,2,51604.350000000006,4779736.0200000005,76.72571428571429,49.94285714285714,0.0,0.0
14,2020-09-28,Alabama,AL,48603.7,3000.65,0.0,0.0,0.0,0.0,4465204.34,314531.68,0.0,0.0,0.0,0.0,6,51604.35,4779736.02,79.58857142857143,63.31714285714286,0.79,20.066
