,tmax,tmin,prcp,temp_id
2001-01-01,33.5,27.0,0.0,40
2001-01-02,37.5,27.0,0.0,40
2001-01-03,40.5,25.0,0.0,40
2001-01-04,44.0,30.0,0.0,40
2001-01-05,47.0,27.5,0.0,40
2001-01-06,38.5,22.5,0.0,40
2001-01-07,41.0,23.5,0.0,40
2001-01-08,39.0,24.0,0.01,40
2001-01-09,42.5,28.5,0.0,40
2001-01-10,45.5,30.5,0.065,40
2001-01-11,38.5,30.0,0.135,40
2001-01-12,34.5,31.5,0.325,40
2001-01-13,36.0,30.5,0.049999999999999996,40
2001-01-14,36.0,29.0,0.04,40
2001-01-15,32.0,24.0,0.015,40
2001-01-16,31.0,17.5,0.0,40
2001-01-17,29.0,16.0,0.0,40
2001-01-18,32.0,23.0,0.02,40
2001-01-19,32.0,27.0,0.16,40
2001-01-20,33.0,22.5,0.0,40
2001-01-21,37.5,29.5,0.0,40
2001-01-22,38.5,24.5,0.0,40
2001-01-23,37.0,25.5,0.0,40
2001-01-24,37.0,26.0,0.065,40
2001-01-25,37.0,26.0,0.095,40
2001-01-26,34.0,23.5,0.0,40
2001-01-27,30.0,22.0,0.0,40
2001-01-28,25.5,17.0,0.0,40
2001-01-29,34.0,18.5,0.045,40
2001-01-30,37.5,17.0,0.0,40
2001-01-31,40.0,24.5,0.0,40
2001-02-01,40.0,22.5,0.0,40
2001-02-02,41.5,28.0,0.08,40
2001-02-03,42.5,29.0,0.0,40
2001-02-04,46.5,32.5,0.14,40
2001-02-05,44.5,29.5,0.115,40
2001-02-06,36.0,25.0,0.0,40
2001-02-07,33.0,20.0,0.0,40
2001-02-08,32.5,15.0,0.0,40
2001-02-09,35.5,24.5,0.0,40
2001-02-10,40.0,27.5,0.015,40
2001-02-11,44.0,27.0,0.005,40
2001-02-12,36.0,23.5,0.03,40
2001-02-13,36.5,25.5,0.0,40
2001-02-14,37.0,23.5,0.0,40
2001-02-15,45.5,30.5,0.015,40
2001-02-16,43.5,31.5,0.005,40
2001-02-17,46.0,31.0,0.0,40
2001-02-18,49.0,34.5,0.0,40
2001-02-19,50.5,31.5,0.005,40
2001-02-20,46.0,33.5,0.1,40
2001-02-21,50.0,35.5,0.055,40
2001-02-22,51.5,35.5,0.01,40
2001-02-23,45.0,34.0,0.0,40
2001-02-24,48.5,29.5,0.0,40
2001-02-25,48.0,30.0,0.0,40
2001-02-26,45.0,23.0,0.0,40
2001-02-27,44.0,22.0,0.0,40
2001-02-28,46.0,21.0,0.0,40
2001-03-01,50.5,25.0,0.0,40
2001-03-02,43.0,29.0,0.075,40
2001-03-03,45.5,25.5,0.0,40
2001-03-04,56.0,30.5,0.0,40
2001-03-05,59.5,40.0,0.005,40
2001-03-06,61.5,33.0,0.0,40
2001-03-07,62.0,34.0,0.0,40
2001-03-08,54.0,34.5,0.17,40
2001-03-09,47.5,38.5,0.04,40
2001-03-10,53.0,32.5,0.02,40
2001-03-11,52.5,31.0,0.0,40
2001-03-12,57.0,31.0,0.0,40
2001-03-13,63.0,37.0,0.025,40
2001-03-14,52.0,33.5,0.0,40
2001-03-15,52.0,30.5,0.12,40
2001-03-16,47.5,35.0,0.04,40
2001-03-17,50.5,35.0,0.015,40
2001-03-18,55.5,37.5,0.005,40
2001-03-19,60.5,42.0,0.02,40
2001-03-20,58.0,34.5,0.0,40
2001-03-21,62.5,34.5,0.0,40
2001-03-22,67.5,35.0,0.0,40
2001-03-23,67.5,37.5,0.0,40
2001-03-24,71.5,44.0,0.0,40
2001-03-25,60.0,46.0,0.13,40
2001-03-26,57.0,35.0,0.005,40
2001-03-27,51.5,29.0,0.17,40
2001-03-28,57.0,40.5,0.0,40
2001-03-29,56.0,36.5,0.0,40
2001-03-30,57.5,36.0,0.0,40
2001-03-31,52.5,34.0,0.12,40
