,tmax,tmin,prcp,temp_id
2001-01-01,19.2,0.4,0.002,17
2001-01-02,15.0,-2.6,0.0,17
2001-01-03,29.4,8.6,0.0,17
2001-01-04,34.2,20.2,0.0,17
2001-01-05,36.8,17.2,0.0,17
2001-01-06,37.4,13.6,0.0,17
2001-01-07,33.6,16.6,0.0,17
2001-01-08,23.0,8.0,0.0,17
2001-01-09,23.4,2.2,0.0,17
2001-01-10,34.8,15.6,0.0,17
2001-01-11,36.0,22.6,0.054000000000000006,17
2001-01-12,35.0,28.6,0.018,17
2001-01-13,35.4,32.6,0.094,17
2001-01-14,36.8,33.2,0.168,17
2001-01-15,34.8,30.4,0.012,17
2001-01-16,30.4,23.6,0.0,17
2001-01-17,26.8,16.6,0.0,17
2001-01-18,32.8,16.0,0.0,17
2001-01-19,28.6,12.4,0.0,17
2001-01-20,21.0,5.6,0.0,17
2001-01-21,27.8,10.0,0.0,17
2001-01-22,31.8,6.0,0.0,17
2001-01-23,35.2,20.6,0.0,17
2001-01-24,27.2,14.4,0.0,17
2001-01-25,26.0,7.4,0.0,17
2001-01-26,32.6,22.0,0.084,17
2001-01-27,27.0,13.2,0.0,17
2001-01-28,30.4,13.6,0.23199999999999998,17
2001-01-29,41.8,30.4,1.304,17
2001-01-30,37.4,32.0,0.20400000000000001,17
2001-01-31,33.4,24.2,0.0,17
2001-02-01,31.0,1.6,0.0,17
2001-02-02,13.4,-3.2,0.012,17
2001-02-03,33.0,13.0,0.018,17
2001-02-04,35.8,26.4,0.012,17
2001-02-05,34.2,24.4,0.022,17
2001-02-06,37.8,20.4,0.032,17
2001-02-07,39.6,19.4,0.02,17
2001-02-08,53.6,38.2,0.41,17
2001-02-09,50.2,15.8,0.718,17
2001-02-10,20.4,8.6,0.0,17
2001-02-11,29.2,10.4,0.0,17
2001-02-12,39.6,21.2,0.0,17
2001-02-13,39.0,32.0,0.05,17
2001-02-14,37.4,28.6,0.15,17
2001-02-15,34.0,27.2,0.004,17
2001-02-16,31.4,11.4,0.0,17
2001-02-17,18.6,5.4,0.0,17
2001-02-18,30.6,8.2,0.0,17
2001-02-19,45.2,29.0,0.0,17
2001-02-20,35.6,17.4,0.0,17
2001-02-21,22.4,9.4,0.012,17
2001-02-22,28.4,18.2,0.026000000000000002,17
2001-02-23,32.2,15.8,0.026000000000000002,17
2001-02-24,54.0,31.4,1.43,17
2001-02-25,53.0,28.2,0.002,17
2001-02-26,42.2,22.0,0.006,17
2001-02-27,29.6,18.0,0.006,17
2001-02-28,27.0,10.4,0.0,17
2001-03-01,37.0,18.4,0.002,17
2001-03-02,42.2,27.4,0.0,17
2001-03-03,48.8,24.6,0.0,17
2001-03-04,35.4,24.6,0.0,17
2001-03-05,31.6,20.4,0.0,17
2001-03-06,38.6,20.0,0.0,17
2001-03-07,43.8,21.0,0.0,17
2001-03-08,35.8,26.0,0.002,17
2001-03-09,39.6,21.4,0.0,17
2001-03-10,53.8,20.8,0.084,17
2001-03-11,43.8,30.6,0.006,17
2001-03-12,52.2,33.4,0.144,17
2001-03-13,45.8,30.8,0.012,17
2001-03-14,51.8,25.6,0.022,17
2001-03-15,44.6,35.2,0.584,17
2001-03-16,36.0,29.8,0.346,17
2001-03-17,39.8,24.8,0.014000000000000002,17
2001-03-18,44.6,20.0,0.0,17
2001-03-19,47.4,26.8,0.0,17
2001-03-20,52.6,26.0,0.0,17
2001-03-21,56.2,27.6,0.0,17
2001-03-22,57.0,31.8,0.0,17
2001-03-23,50.8,31.0,0.0,17
2001-03-24,34.2,20.2,0.0,17
2001-03-25,29.2,18.0,0.0,17
2001-03-26,36.2,14.4,0.0,17
2001-03-27,43.2,19.2,0.0,17
2001-03-28,49.4,24.4,0.002,17
2001-03-29,49.2,35.2,0.002,17
2001-03-30,54.4,34.6,0.0,17
2001-03-31,56.2,31.4,0.084,17
2001-04-01,51.2,27.0,0.0,17
2001-04-02,63.6,35.0,0.006,17
2001-04-03,54.4,35.4,0.018,17
2001-04-04,61.8,36.2,0.0,17
2001-04-05,64.8,43.2,0.446,17
2001-04-06,70.4,54.6,0.076,17
2001-04-07,82.2,53.0,0.0,17
2001-04-08,80.6,43.6,0.0,17
