,tmax,tmin,prcp,temp_id
2001-01-01,19.5,2.75,0.0,23
2001-01-02,33.0,6.75,0.0,23
2001-01-03,48.25,22.5,0.0,23
2001-01-04,58.0,24.25,0.0,23
2001-01-05,55.0,26.75,0.0,23
2001-01-06,56.0,28.0,0.0,23
2001-01-07,47.25,25.25,0.0,23
2001-01-08,46.25,20.75,0.0,23
2001-01-09,48.75,17.5,0.0,23
2001-01-10,52.5,31.25,0.005,23
2001-01-11,51.25,27.75,0.01,23
2001-01-12,58.25,23.0,0.0,23
2001-01-13,44.0,31.5,0.22499999999999998,23
2001-01-14,39.75,23.25,0.0,23
2001-01-15,38.25,19.75,0.0,23
2001-01-16,28.0,21.75,0.0925,23
2001-01-17,30.5,15.0,0.0075,23
2001-01-18,36.75,14.25,0.0,23
2001-01-19,26.5,7.75,0.0,23
2001-01-20,34.25,6.5,0.0,23
2001-01-21,39.5,20.0,0.0,23
2001-01-22,51.0,18.75,0.0,23
2001-01-23,42.75,26.0,0.0,23
2001-01-24,42.75,17.0,0.0,23
2001-01-25,40.75,16.25,0.04750000000000001,23
2001-01-26,39.25,21.0,0.0,23
2001-01-27,30.75,14.5,0.1775,23
2001-01-28,28.75,23.5,0.41000000000000003,23
2001-01-29,33.75,25.5,0.15750000000000003,23
2001-01-30,35.75,29.5,0.0,23
2001-01-31,36.5,21.75,0.0,23
2001-02-01,31.0,8.25,0.0,23
2001-02-02,37.75,7.5,0.0,23
2001-02-03,44.5,27.0,0.0,23
2001-02-04,44.0,28.5,0.0,23
2001-02-05,54.25,28.75,0.0,23
2001-02-06,42.5,29.75,0.0,23
2001-02-07,55.25,27.75,0.0,23
2001-02-08,37.0,18.0,0.6275000000000001,23
2001-02-09,19.25,4.0,0.2225,23
2001-02-10,22.75,-2.5,0.0,23
2001-02-11,37.75,17.25,0.0,23
2001-02-12,36.0,19.5,0.0,23
2001-02-13,38.5,27.5,0.0125,23
2001-02-14,28.5,13.75,0.0075,23
2001-02-15,30.75,15.75,0.0,23
2001-02-16,23.75,13.25,0.0,23
2001-02-17,26.25,9.0,0.0,23
2001-02-18,43.25,17.75,0.0,23
2001-02-19,51.5,28.5,0.0,23
2001-02-20,36.5,23.75,0.0,23
2001-02-21,25.75,19.25,0.005,23
2001-02-22,48.25,23.25,0.0,23
2001-02-23,37.75,30.0,0.2575,23
2001-02-24,47.25,29.5,0.38,23
2001-02-25,45.5,24.5,0.0,23
2001-02-26,43.0,23.5,0.01,23
2001-02-27,25.5,12.75,0.10999999999999999,23
2001-02-28,24.75,11.25,0.065,23
2001-03-01,42.0,22.0,0.0,23
2001-03-02,43.25,26.75,0.0,23
2001-03-03,47.25,25.5,0.0,23
2001-03-04,46.0,26.0,0.0,23
2001-03-05,48.75,26.5,0.0,23
2001-03-06,44.25,27.5,0.0,23
2001-03-07,48.75,27.0,0.0,23
2001-03-08,52.5,28.5,0.0,23
2001-03-09,58.75,29.0,0.0,23
2001-03-10,53.0,31.0,0.0275,23
2001-03-11,37.75,29.75,0.2275,23
2001-03-12,51.0,26.75,0.0025,23
2001-03-13,62.75,35.5,0.0,23
2001-03-14,66.0,37.25,0.3375,23
2001-03-15,45.25,28.25,0.40750000000000003,23
2001-03-16,46.5,24.25,0.0125,23
2001-03-17,47.75,25.25,0.0,23
2001-03-18,44.0,28.25,0.04,23
2001-03-19,53.5,32.0,0.005,23
2001-03-20,65.75,32.75,0.0,23
2001-03-21,66.5,37.75,0.0025,23
2001-03-22,66.25,39.5,0.0075,23
2001-03-23,62.75,30.0,0.0025,23
2001-03-24,39.25,26.0,0.0,23
2001-03-25,39.0,26.25,0.015,23
2001-03-26,38.5,23.25,0.02,23
2001-03-27,42.5,28.25,0.03,23
2001-03-28,52.5,33.25,0.0575,23
2001-03-29,60.75,35.25,0.0,23
2001-03-30,62.5,33.75,0.07250000000000001,23
2001-03-31,53.75,33.25,0.045,23
2001-04-01,68.25,31.75,0.0,23
2001-04-02,63.0,41.0,0.045,23
2001-04-03,56.5,45.0,0.095,23
2001-04-04,56.75,45.0,0.0075,23
2001-04-05,71.5,50.25,0.02,23
2001-04-06,72.5,52.5,0.1275,23
2001-04-07,74.75,48.25,0.0,23
2001-04-08,80.0,45.0,0.0,23
2001-04-09,72.75,46.0,0.0,23
2001-04-10,66.75,50.0,0.3925,23
2001-04-11,60.5,40.5,0.3175,23
2001-04-12,60.0,38.25,0.0,23
2001-04-13,67.5,37.0,0.0,23
2001-04-14,71.75,38.25,0.5425,23
2001-04-15,62.25,41.0,0.0,23
2001-04-16,49.0,32.0,0.0,23
2001-04-17,53.25,26.5,0.0,23
2001-04-18,71.5,34.0,0.0,23
2001-04-19,81.0,49.25,0.0,23
2001-04-20,83.5,51.5,0.035,23
2001-04-21,75.75,45.75,0.26,23
2001-04-22,72.5,43.75,0.1775,23
2001-04-23,62.75,36.5,0.0,23
2001-04-24,72.75,36.0,0.0,23
2001-04-25,76.5,42.0,0.0,23
2001-04-26,83.25,48.5,0.0,23
