,tmax,tmin,prcp,temp_id
2001-01-01,27.0,14.0,0.02,38
2001-01-02,23.0,11.0,0.0,38
2001-01-03,25.0,5.0,0.0,38
2001-01-04,30.0,25.0,0.0,38
2001-01-05,40.0,30.0,0.0,38
2001-01-06,39.0,22.0,0.0,38
2001-01-07,48.0,31.0,0.0,38
2001-01-08,34.0,22.0,0.0,38
2001-01-09,30.0,18.0,0.0,38
2001-01-10,40.0,18.0,0.0,38
2001-01-11,43.0,20.0,0.0,38
2001-01-12,49.0,31.0,0.0,38
2001-01-13,52.0,24.0,0.0,38
2001-01-14,48.0,39.0,0.07,38
2001-01-15,47.0,33.0,0.0,38
2001-01-16,36.0,31.0,0.0,38
2001-01-17,39.0,30.0,0.0,38
2001-01-18,40.0,32.0,0.32,38
2001-01-19,37.0,29.0,0.45,38
2001-01-20,30.0,17.0,0.05,38
2001-01-21,24.0,5.0,0.0,38
2001-01-22,33.0,12.0,0.0,38
2001-01-23,39.0,14.0,0.0,38
2001-01-24,41.0,27.0,0.0,38
2001-01-25,32.0,22.0,0.0,38
2001-01-26,38.0,20.0,0.02,38
2001-01-27,37.0,22.0,0.0,38
2001-01-28,36.0,19.0,0.0,38
2001-01-29,58.0,35.0,0.28,38
2001-01-30,58.0,41.0,0.11,38
2001-01-31,41.0,34.0,0.03,38
2001-02-01,40.0,30.0,0.0,38
2001-02-02,34.0,16.0,0.0,38
2001-02-03,41.0,15.0,0.0,38
2001-02-04,49.0,32.0,0.0,38
2001-02-05,37.0,26.0,0.01,38
2001-02-06,54.0,27.0,0.0,38
2001-02-07,55.0,36.0,0.0,38
2001-02-08,70.0,45.0,0.0,38
2001-02-09,70.0,37.0,0.57,38
2001-02-10,37.0,24.0,0.0,38
2001-02-11,38.0,20.0,0.0,38
2001-02-12,53.0,31.0,0.0,38
2001-02-13,51.0,44.0,0.03,38
2001-02-14,61.0,50.0,0.72,38
2001-02-15,60.0,45.0,0.59,38
2001-02-16,49.0,34.0,0.8,38
2001-02-17,34.0,19.0,0.0,38
2001-02-18,32.0,15.0,0.0,38
2001-02-19,55.0,24.0,0.0,38
2001-02-20,55.0,38.0,0.0,38
2001-02-21,47.0,30.0,0.0,38
2001-02-22,32.0,25.0,0.08,38
2001-02-23,45.0,30.0,0.0,38
2001-02-24,67.0,38.0,0.0,38
2001-02-25,66.0,42.0,0.74,38
2001-02-26,50.0,30.0,0.0,38
2001-02-27,48.0,31.0,0.02,38
2001-02-28,43.0,28.0,0.0,38
2001-03-01,45.0,22.0,0.04,38
2001-03-02,47.0,36.0,0.04,38
2001-03-03,48.0,33.0,0.03,38
2001-03-04,46.0,35.0,1.15,38
2001-03-05,36.0,24.0,0.0,38
2001-03-06,36.0,24.0,0.0,38
2001-03-07,45.0,27.0,0.0,38
2001-03-08,51.0,28.0,0.0,38
2001-03-09,42.0,23.0,0.0,38
2001-03-10,49.0,21.0,0.0,38
2001-03-11,63.0,33.0,0.0,38
2001-03-12,59.0,41.0,0.29,38
2001-03-13,57.0,43.0,0.16,38
2001-03-14,56.0,33.0,0.0,38
2001-03-15,54.0,42.0,0.01,38
2001-03-16,55.0,40.0,0.23,38
2001-03-17,40.0,34.0,0.0,38
2001-03-18,49.0,29.0,0.0,38
2001-03-19,58.0,29.0,0.0,38
2001-03-20,48.0,34.0,0.83,38
2001-03-21,51.0,37.0,0.27,38
2001-03-22,57.0,34.0,0.0,38
2001-03-23,63.0,31.0,0.0,38
2001-03-24,50.0,30.0,0.02,38
2001-03-25,42.0,23.0,0.0,38
2001-03-26,35.0,19.0,0.0,38
2001-03-27,44.0,20.0,0.0,38
2001-03-28,55.0,25.0,0.0,38
2001-03-29,54.0,41.0,0.03,38
2001-03-30,58.0,38.0,0.13,38
2001-03-31,52.0,40.0,0.04,38
2001-04-01,50.0,33.0,0.42,38
2001-04-02,60.0,34.0,0.07,38
2001-04-03,61.0,46.0,0.28,38
2001-04-04,64.0,41.0,0.0,38
2001-04-05,73.0,47.0,0.0,38
2001-04-06,79.0,60.0,0.0,38
2001-04-07,84.0,65.0,0.0,38
2001-04-08,83.0,66.0,0.0,38
2001-04-09,83.0,61.0,0.0,38
2001-04-10,81.0,65.0,0.0,38
2001-04-11,84.0,66.0,0.0,38
2001-04-12,81.0,66.0,0.01,38
2001-04-13,71.0,54.0,0.0,38
2001-04-14,76.0,44.0,0.0,38
2001-04-15,68.0,47.0,0.13,38
2001-04-16,59.0,40.0,0.0,38
2001-04-17,42.0,29.0,0.03,38
2001-04-18,54.0,28.0,0.0,38
2001-04-19,66.0,36.0,0.0,38
2001-04-20,63.0,51.0,0.16,38
2001-04-21,74.0,61.0,0.01,38
2001-04-22,81.0,59.0,0.0,38
2001-04-23,82.0,63.0,0.0,38
2001-04-24,65.0,46.0,0.03,38
2001-04-25,63.0,33.0,0.0,38
2001-04-26,68.0,35.0,0.0,38
2001-04-27,80.0,48.0,0.0,38
2001-04-28,70.0,48.0,0.0,38
2001-04-29,76.0,42.0,0.0,38
2001-04-30,83.0,45.0,0.0,38
2001-05-01,81.0,58.0,0.0,38
2001-05-02,82.0,55.0,0.0,38
2001-05-03,84.0,55.0,0.0,38
2001-05-04,86.0,57.0,0.0,38
2001-05-05,86.0,58.0,0.0,38
2001-05-06,89.0,61.0,0.21,38
2001-05-07,72.0,61.0,0.21,38
2001-05-08,75.0,59.0,0.63,38
2001-05-09,77.0,56.0,0.0,38
2001-05-10,78.0,56.0,0.0,38
2001-05-11,83.0,60.0,0.25,38
2001-05-12,71.0,51.0,0.01,38
2001-05-13,68.0,44.0,0.0,38
2001-05-14,74.0,45.0,0.0,38
2001-05-15,85.0,59.0,0.0,38
2001-05-16,85.0,64.0,0.0,38
2001-05-17,85.0,67.0,0.08,38
2001-05-18,84.0,67.0,2.02,38
2001-05-19,78.0,65.0,0.46,38
2001-05-20,78.0,64.0,0.0,38
2001-05-21,78.0,63.0,0.62,38
2001-05-22,67.0,51.0,0.56,38
2001-05-23,65.0,49.0,0.03,38
2001-05-24,66.0,52.0,0.4,38
2001-05-25,66.0,47.0,0.0,38
2001-05-26,73.0,53.0,0.02,38
2001-05-27,69.0,53.0,0.24,38
2001-05-28,74.0,51.0,0.0,38
2001-05-29,76.0,53.0,0.0,38
2001-05-30,76.0,54.0,0.0,38
2001-05-31,70.0,55.0,0.26,38
2001-06-01,68.0,49.0,0.39,38
2001-06-02,71.0,49.0,0.01,38
2001-06-03,68.0,47.0,0.06,38
2001-06-04,78.0,58.0,0.57,38
2001-06-05,82.0,63.0,0.0,38
2001-06-06,84.0,66.0,0.1,38
2001-06-07,79.0,68.0,0.29,38
2001-06-08,78.0,62.0,0.0,38
2001-06-09,78.0,56.0,0.0,38
2001-06-10,80.0,55.0,0.0,38
2001-06-11,84.0,61.0,0.0,38
2001-06-12,88.0,66.0,0.0,38
2001-06-13,88.0,66.0,0.0,38
2001-06-14,89.0,67.0,0.04,38
2001-06-15,90.0,68.0,0.36,38
2001-06-16,83.0,65.0,0.0,38
2001-06-17,85.0,63.0,0.0,38
2001-06-18,87.0,58.0,0.0,38
2001-06-19,91.0,62.0,0.0,38
2001-06-20,83.0,67.0,0.0,38
2001-06-21,88.0,66.0,0.29,38
2001-06-22,68.0,58.0,0.4,38
2001-06-23,76.0,56.0,0.0,38
2001-06-24,80.0,56.0,0.0,38
2001-06-25,83.0,59.0,0.0,38
2001-06-26,82.0,61.0,0.0,38
2001-06-27,85.0,60.0,0.0,38
2001-06-28,85.0,64.0,0.06,38
2001-06-29,85.0,63.0,0.01,38
2001-06-30,84.0,64.0,0.0,38
2001-07-01,86.0,61.0,0.03,38
2001-07-02,79.0,57.0,0.0,38
2001-07-03,88.0,61.0,0.42,38
2001-07-04,80.0,68.0,0.31,38
2001-07-05,86.0,65.0,0.0,38
2001-07-06,80.0,55.0,0.0,38
2001-07-07,82.0,61.0,0.0,38
2001-07-08,91.0,69.0,0.63,38
2001-07-09,85.0,68.0,0.01,38
2001-07-10,90.0,69.0,0.0,38
2001-07-11,84.0,61.0,0.0,38
2001-07-12,78.0,55.0,0.0,38
2001-07-13,81.0,57.0,0.0,38
2001-07-14,82.0,53.0,0.0,38
2001-07-15,85.0,56.0,0.0,38
2001-07-16,88.0,60.0,0.0,38
2001-07-17,89.0,67.0,0.07,38
