,tmax,tmin,prcp,temp_id
2001-01-01,32.0,18.0,0.0,45
2001-01-02,27.0,6.0,0.0,45
2001-01-03,27.0,1.0,0.0,45
2001-01-04,29.0,7.0,0.0,45
2001-01-05,25.0,2.0,0.05,45
2001-01-06,33.0,21.0,0.28,45
2001-01-07,34.0,16.0,0.0,45
2001-01-08,33.0,11.0,0.01,45
2001-01-09,29.0,21.0,0.06,45
2001-01-10,26.0,7.0,0.01,45
2001-01-11,39.0,0.0,0.0,45
2001-01-12,26.0,7.0,0.0,45
2001-01-13,30.0,1.0,0.0,45
2001-01-14,35.0,9.0,0.0,45
2001-01-15,28.0,17.0,0.1,45
2001-01-16,31.0,19.0,0.0,45
2001-01-17,32.0,16.0,0.0,45
2001-01-18,24.0,4.0,0.0,45
2001-01-19,30.0,16.0,0.2,45
2001-01-20,31.0,20.0,0.0,45
2001-01-21,27.0,12.0,0.0,45
2001-01-22,29.0,0.0,0.0,45
2001-01-23,34.0,2.0,0.0,45
2001-01-24,35.0,11.0,0.0,45
2001-01-25,37.0,13.0,0.0,45
2001-01-26,31.0,5.0,0.0,45
2001-01-27,31.0,13.0,0.0,45
2001-01-28,33.0,8.0,0.0,45
2001-01-29,29.0,2.0,0.0,45
2001-01-30,33.0,14.0,0.45,45
2001-01-31,32.0,24.0,0.17,45
2001-02-01,31.0,23.0,0.0,45
2001-02-02,29.0,19.0,0.07,45
2001-02-03,30.0,11.0,0.04,45
2001-02-04,26.0,-2.0,0.0,45
2001-02-05,31.0,20.0,0.79,45
2001-02-06,40.0,26.0,0.21,45
2001-02-07,37.0,22.0,0.0,45
2001-02-08,36.0,12.0,0.0,45
2001-02-09,34.0,27.0,0.26,45
2001-02-10,48.0,18.0,0.04,45
2001-02-11,17.0,7.0,0.0,45
2001-02-12,24.0,-1.0,0.0,45
2001-02-13,40.0,18.0,0.0,45
2001-02-14,39.0,13.0,0.16,45
2001-02-15,37.0,21.0,0.0,45
2001-02-16,35.0,12.0,0.01,45
2001-02-17,37.0,11.0,0.06,45
2001-02-18,24.0,3.0,0.0,45
