,tmax,tmin,prcp,temp_id
2001-01-01,15.6,-0.4,0.0,19
2001-01-02,21.6,-4.8,0.0,19
2001-01-03,33.2,14.6,0.0,19
2001-01-04,41.8,16.0,0.0,19
2001-01-05,42.6,29.4,0.0,19
2001-01-06,51.0,23.6,0.0,19
2001-01-07,42.0,26.4,0.0,19
2001-01-08,33.2,20.2,0.0,19
2001-01-09,36.8,15.0,0.0,19
2001-01-10,48.2,22.0,0.0,19
2001-01-11,36.4,30.6,0.098,19
2001-01-12,41.0,32.8,0.002,19
2001-01-13,42.4,31.8,0.25,19
2001-01-14,44.6,33.2,0.006,19
2001-01-15,39.8,27.0,0.0,19
2001-01-16,32.8,26.4,0.002,19
2001-01-17,33.6,24.4,0.002,19
2001-01-18,39.4,19.0,0.0,19
2001-01-19,31.0,16.6,0.002,19
2001-01-20,29.2,13.8,0.0,19
2001-01-21,40.2,17.4,0.0,19
2001-01-22,45.8,17.6,0.0,19
2001-01-23,45.6,26.0,0.0,19
2001-01-24,42.0,18.0,0.0,19
2001-01-25,36.6,10.8,0.019999999999999997,19
2001-01-26,41.6,26.2,0.072,19
2001-01-27,34.8,17.4,0.0,19
2001-01-28,38.2,28.4,0.5660000000000001,19
2001-01-29,48.0,35.2,0.8779999999999999,19
2001-01-30,39.8,33.2,0.044,19
2001-01-31,37.8,26.8,0.006,19
2001-02-01,42.4,10.4,0.0,19
2001-02-02,26.4,3.0,0.0,19
2001-02-03,47.8,22.4,0.0,19
2001-02-04,43.4,28.8,0.004,19
2001-02-05,52.8,25.4,0.0,19
2001-02-06,51.2,30.0,0.0,19
2001-02-07,61.8,31.6,0.0,19
2001-02-08,65.6,47.8,0.378,19
2001-02-09,58.0,15.2,0.6639999999999999,19
2001-02-10,29.0,10.0,0.0,19
2001-02-11,37.2,19.2,0.0,19
2001-02-12,42.2,29.0,0.0,19
2001-02-13,47.2,34.8,0.314,19
2001-02-14,47.8,29.8,0.11400000000000002,19
2001-02-15,32.0,28.0,0.062,19
2001-02-16,30.8,16.8,0.0,19
2001-02-17,28.6,11.8,0.0,19
2001-02-18,40.2,15.2,0.0,19
2001-02-19,60.6,32.8,0.0,19
2001-02-20,51.0,30.6,0.0,19
2001-02-21,30.6,21.6,0.25,19
2001-02-22,33.8,22.8,0.006,19
2001-02-23,38.0,28.2,0.45,19
2001-02-24,59.4,35.6,1.6600000000000001,19
2001-02-25,52.4,29.4,0.002,19
2001-02-26,53.0,26.0,0.002,19
2001-02-27,42.2,24.4,0.148,19
2001-02-28,29.6,19.8,0.0,19
2001-03-01,40.4,27.2,0.006,19
2001-03-02,45.0,32.2,0.0,19
2001-03-03,48.0,31.0,0.0,19
2001-03-04,49.6,29.0,0.0,19
2001-03-05,41.8,23.6,0.0,19
2001-03-06,46.4,21.4,0.01,19
2001-03-07,50.4,29.2,0.0,19
2001-03-08,48.4,24.6,0.0,19
2001-03-09,46.8,22.0,0.0,19
2001-03-10,63.4,29.2,0.008,19
2001-03-11,56.4,35.8,0.016,19
2001-03-12,55.0,38.6,0.02,19
2001-03-13,63.4,36.2,0.0,19
2001-03-14,65.2,32.2,0.538,19
2001-03-15,53.2,41.8,0.8160000000000001,19
2001-03-16,43.2,31.6,0.082,19
2001-03-17,46.4,27.0,0.0,19
2001-03-18,50.4,25.2,0.0,19
2001-03-19,52.4,32.8,0.0,19
