,tmax,tmin,prcp,temp_id
2001-01-01,4.5,-17.25,0.0,22
2001-01-02,28.75,0.25,0.0025,22
2001-01-03,31.75,15.0,0.0,22
2001-01-04,41.5,23.5,0.0,22
2001-01-05,37.5,15.25,0.0025,22
2001-01-06,38.25,22.75,0.0,22
2001-01-07,29.0,14.25,0.0,22
2001-01-08,25.5,6.5,0.0,22
2001-01-09,31.5,11.25,0.0,22
2001-01-10,29.5,11.0,0.0,22
2001-01-11,28.0,11.0,0.0,22
2001-01-12,26.75,12.0,0.0,22
2001-01-13,24.75,17.5,0.0275,22
2001-01-14,24.25,13.5,0.1375,22
2001-01-15,19.0,10.25,0.0225,22
2001-01-16,15.0,0.0,0.01,22
2001-01-17,29.25,0.5,0.0525,22
2001-01-18,28.5,-6.25,0.01,22
2001-01-19,9.75,-14.25,0.0,22
2001-01-20,17.5,-3.75,0.0,22
2001-01-21,23.75,6.0,0.0,22
2001-01-22,34.0,12.5,0.0025,22
2001-01-23,25.75,6.0,0.0,22
2001-01-24,14.25,-4.25,0.0,22
2001-01-25,26.75,-0.75,0.0,22
2001-01-26,22.25,7.5,0.0,22
2001-01-27,26.0,7.5,0.0,22
2001-01-28,27.5,2.0,0.0,22
2001-01-29,24.75,7.5,0.0,22
2001-01-30,27.5,13.25,0.0,22
2001-01-31,27.0,-6.5,0.0075,22
2001-02-01,0.25,-16.0,0.0,22
2001-02-02,21.5,-7.75,0.035,22
2001-02-03,34.75,16.75,0.0225,22
2001-02-04,30.25,16.25,0.0,22
2001-02-05,29.5,13.5,0.0,22
2001-02-06,24.5,5.75,0.0025,22
2001-02-07,11.5,0.5,0.0425,22
2001-02-08,8.0,-5.5,0.04,22
2001-02-09,3.0,-14.75,0.0,22
2001-02-10,1.0,-16.5,0.0,22
2001-02-11,12.5,-7.25,0.04,22
2001-02-12,14.5,-4.25,0.015000000000000001,22
2001-02-13,10.0,-7.5,0.0,22
2001-02-14,6.25,-16.5,0.0,22
2001-02-15,16.75,-6.0,0.0,22
2001-02-16,4.25,-11.25,0.0,22
2001-02-17,10.0,-18.0,0.0,22
2001-02-18,23.75,-7.25,0.0,22
2001-02-19,17.5,3.0,0.0,22
2001-02-20,8.25,-12.25,0.0,22
2001-02-21,17.5,-16.75,0.0,22
2001-02-22,17.5,0.75,0.0,22
2001-02-23,17.75,-9.0,0.065,22
2001-02-24,20.0,15.0,0.08,22
2001-02-25,16.75,3.75,0.0675,22
2001-02-26,7.25,-14.0,0.01,22
2001-02-27,10.25,-20.25,0.0,22
2001-02-28,30.5,1.75,0.0,22
2001-03-01,36.0,11.0,0.0,22
2001-03-02,35.0,10.0,0.0,22
2001-03-03,35.25,8.5,0.0,22
2001-03-04,24.75,10.0,0.0,22
2001-03-05,26.5,9.5,0.0,22
2001-03-06,31.75,11.75,0.0,22
2001-03-07,34.75,19.5,0.0,22
2001-03-08,32.25,19.25,0.0,22
2001-03-09,30.5,19.75,0.0,22
2001-03-10,31.5,14.0,0.0,22
2001-03-11,29.0,9.25,0.0,22
2001-03-12,37.0,22.0,0.0075,22
2001-03-13,44.25,29.25,0.0075,22
2001-03-14,38.25,25.5,0.0,22
2001-03-15,33.5,21.0,0.0025,22
2001-03-16,39.75,16.75,0.0,22
