,tmax,tmin,prcp,temp_id
2001-01-01,3.0,-19.25,0.0,30
2001-01-02,33.75,-0.75,0.0,30
2001-01-03,30.0,10.5,0.0,30
2001-01-04,43.0,18.25,0.0,30
2001-01-05,34.5,25.25,0.0,30
2001-01-06,41.25,30.5,0.0,30
2001-01-07,34.25,21.75,0.0,30
2001-01-08,24.25,12.75,0.0,30
2001-01-09,36.5,16.25,0.0,30
2001-01-10,37.5,20.25,0.0,30
2001-01-11,26.75,17.25,0.0,30
2001-01-12,26.25,20.25,0.0,30
2001-01-13,31.25,23.0,0.26,30
2001-01-14,30.75,20.25,0.1375,30
2001-01-15,21.75,12.0,0.0125,30
2001-01-16,20.5,2.0,0.0125,30
2001-01-17,25.25,0.75,0.0125,30
2001-01-18,30.75,-4.0,0.015000000000000001,30
2001-01-19,0.0,-16.25,0.0,30
2001-01-20,17.25,-6.5,0.0,30
2001-01-21,19.5,-0.75,0.0,30
2001-01-22,34.0,5.75,0.0,30
2001-01-23,27.25,8.0,0.0,30
2001-01-24,12.0,-7.25,0.0,30
2001-01-25,29.5,-7.5,0.0,30
2001-01-26,30.25,8.75,0.0,30
2001-01-27,28.0,2.5,0.0,30
2001-01-28,24.75,2.0,0.0,30
2001-01-29,29.75,21.5,0.475,30
2001-01-30,30.0,21.75,0.27,30
2001-01-31,26.75,7.5,0.0025,30
2001-02-01,13.5,-16.0,0.0025,30
2001-02-02,14.25,-19.25,0.005,30
2001-02-03,38.5,8.75,0.0475,30
2001-02-04,33.5,19.0,0.0,30
2001-02-05,33.25,13.75,0.0025,30
2001-02-06,25.75,3.75,0.0,30
2001-02-07,21.75,17.25,0.21250000000000002,30
2001-02-08,18.75,2.5,0.055,30
2001-02-09,3.5,-16.5,0.0,30
2001-02-10,9.5,-18.75,0.0,30
2001-02-11,21.0,4.0,0.0375,30
2001-02-12,21.0,1.75,0.0,30
2001-02-13,25.0,4.75,0.0,30
2001-02-14,6.0,-8.25,0.005,30
2001-02-15,15.5,-7.75,0.0,30
2001-02-16,10.75,-8.0,0.0,30
2001-02-17,12.5,-12.0,0.0,30
2001-02-18,27.5,3.25,0.0,30
2001-02-19,21.25,6.25,0.0,30
2001-02-20,14.0,-9.25,0.0,30
2001-02-21,14.25,-16.25,0.005,30
2001-02-22,21.25,-0.5,0.0,30
2001-02-23,19.25,-6.5,0.05,30
2001-02-24,26.5,18.0,0.23750000000000002,30
2001-02-25,19.0,3.25,0.04750000000000001,30
2001-02-26,12.75,-3.25,0.01,30
2001-02-27,6.5,-12.5,0.0,30
2001-02-28,26.5,-9.25,0.0025,30
2001-03-01,27.25,4.75,0.0,30
2001-03-02,34.25,10.5,0.0,30
2001-03-03,33.5,8.0,0.0,30
2001-03-04,22.75,3.5,0.0,30
2001-03-05,23.5,-0.25,0.0,30
2001-03-06,28.5,4.75,0.0,30
2001-03-07,34.0,17.25,0.0,30
2001-03-08,26.25,13.75,0.0,30
2001-03-09,29.0,19.25,0.0,30
2001-03-10,34.25,9.25,0.0,30
2001-03-11,22.5,-0.75,0.04,30
2001-03-12,37.0,20.75,0.1475,30
2001-03-13,38.25,31.0,0.0025,30
2001-03-14,39.25,27.0,0.0025,30
2001-03-15,30.75,16.25,0.0,30
2001-03-16,32.5,13.25,0.0,30
2001-03-17,35.0,12.25,0.0,30
2001-03-18,37.25,25.75,0.0075,30
2001-03-19,39.25,23.75,0.0,30
2001-03-20,42.0,28.5,0.0075,30
2001-03-21,33.75,22.25,0.02,30
2001-03-22,33.5,25.25,0.005,30
2001-03-23,28.25,17.5,0.0,30
2001-03-24,24.75,11.5,0.0,30
2001-03-25,20.5,9.0,0.0,30
2001-03-26,24.25,4.75,0.0,30
2001-03-27,38.75,12.0,0.0025,30
2001-03-28,38.75,32.5,0.0225,30
2001-03-29,38.25,30.0,0.0025,30
2001-03-30,46.25,28.25,0.20750000000000002,30
2001-03-31,41.75,26.75,0.01,30
2001-04-01,45.0,22.75,0.0025,30
2001-04-02,43.25,26.25,0.0,30
2001-04-03,45.25,33.5,0.0025,30
2001-04-04,43.25,35.25,0.0525,30
2001-04-05,47.25,35.5,0.0025,30
2001-04-06,48.75,35.25,0.5974999999999999,30
2001-04-07,49.25,34.25,0.52,30
2001-04-08,52.75,29.75,0.0025,30
2001-04-09,60.75,33.25,0.0,30
2001-04-10,57.25,38.75,0.030000000000000002,30
2001-04-11,47.0,38.0,1.22,30
2001-04-12,52.25,35.0,0.015000000000000001,30
2001-04-13,57.75,32.5,0.0075,30
2001-04-14,63.25,31.25,0.005,30
2001-04-15,50.0,27.75,0.0075,30
2001-04-16,41.75,22.75,0.0,30
