,tmax,tmin,prcp,temp_id
2001-01-01,37.5,29.5,0.024,2
2001-01-02,37.1,27.9,0.003,2
2001-01-03,48.1,26.4,0.0,2
2001-01-04,63.2,28.3,0.0,2
2001-01-05,66.4,33.0,0.0,2
2001-01-06,67.7,35.7,0.0,2
2001-01-07,60.6,43.8,0.047,2
2001-01-08,57.1,32.9,0.0,2
2001-01-09,59.1,32.2,0.0,2
2001-01-10,50.8,41.3,0.8459999999999999,2
2001-01-11,55.2,38.6,0.0,2
2001-01-12,52.1,39.1,0.0,2
2001-01-13,57.3,42.9,0.07,2
2001-01-14,60.3,39.5,0.023,2
2001-01-15,57.0,38.2,0.011,2
2001-01-16,52.2,41.6,0.4720000000000001,2
2001-01-17,45.7,37.1,0.126,2
2001-01-18,41.0,34.8,0.282,2
2001-01-19,47.5,30.9,0.054000000000000006,2
2001-01-20,50.1,25.3,0.0,2
2001-01-21,53.3,32.1,0.007000000000000001,2
2001-01-22,55.6,29.9,0.0,2
2001-01-23,56.8,34.9,0.0,2
2001-01-24,60.3,40.5,0.005,2
2001-01-25,60.1,37.9,0.001,2
2001-01-26,68.2,46.8,0.017,2
2001-01-27,60.1,47.7,0.128,2
2001-01-28,59.8,46.1,0.22800000000000004,2
2001-01-29,60.9,39.6,0.20999999999999996,2
2001-01-30,64.9,40.8,0.0,2
2001-01-31,56.2,39.3,0.0,2
2001-02-01,53.2,37.1,0.019,2
2001-02-02,52.8,34.3,0.033,2
2001-02-03,60.1,33.5,0.0,2
2001-02-04,64.4,35.5,0.0,2
2001-02-05,66.8,36.4,0.0,2
2001-02-06,70.5,45.1,0.0,2
2001-02-07,72.2,50.8,0.001,2
2001-02-08,70.3,56.7,0.095,2
2001-02-09,61.7,36.2,0.09100000000000001,2
2001-02-10,48.4,29.6,0.0,2
2001-02-11,52.6,40.2,0.022000000000000002,2
2001-02-12,62.6,44.5,0.02,2
2001-02-13,69.8,54.8,0.05500000000000001,2
2001-02-14,73.1,57.1,0.002,2
2001-02-15,68.5,50.3,0.29800000000000004,2
2001-02-16,58.6,38.3,0.426,2
2001-02-17,53.3,33.3,0.0,2
2001-02-18,60.5,34.4,0.0,2
2001-02-19,70.6,43.2,0.0,2
2001-02-20,74.8,51.0,0.0,2
2001-02-21,68.4,51.1,0.001,2
2001-02-22,61.3,44.7,0.005,2
2001-02-23,67.4,50.7,0.10300000000000001,2
2001-02-24,72.9,54.1,0.027000000000000003,2
2001-02-25,72.3,49.0,0.001,2
2001-02-26,69.4,53.3,0.048,2
2001-02-27,71.1,52.0,0.14100000000000004,2
2001-02-28,57.2,39.4,0.17600000000000002,2
2001-03-01,52.5,39.1,0.09800000000000002,2
2001-03-02,55.1,45.5,0.42299999999999993,2
2001-03-03,56.9,43.4,0.33499999999999996,2
2001-03-04,66.2,40.7,0.015000000000000003,2
2001-03-05,69.4,40.5,0.0,2
2001-03-06,67.6,43.3,0.0,2
2001-03-07,69.6,44.3,0.002,2
2001-03-08,63.4,47.8,0.469,2
2001-03-09,63.4,44.0,0.0,2
2001-03-10,66.4,42.9,0.0,2
2001-03-11,67.4,55.2,0.11100000000000002,2
2001-03-12,74.0,49.4,0.24500000000000002,2
2001-03-13,73.3,44.1,0.011,2
2001-03-14,66.8,51.3,0.523,2
2001-03-15,67.2,45.8,0.0,2
2001-03-16,62.7,39.6,0.0,2
2001-03-17,58.1,45.0,0.025,2
2001-03-18,54.3,42.0,0.14100000000000001,2
2001-03-19,59.7,41.6,0.001,2
2001-03-20,68.2,37.2,0.0,2
2001-03-21,76.2,41.4,0.0,2
2001-03-22,76.6,48.9,0.0,2
2001-03-23,76.2,51.5,0.097,2
2001-03-24,68.8,48.2,0.3529999999999999,2
2001-03-25,61.3,45.0,0.0,2
2001-03-26,57.5,43.9,0.007000000000000001,2
2001-03-27,54.1,43.2,0.7260000000000001,2
2001-03-28,55.3,45.2,0.333,2
2001-03-29,63.6,46.3,0.07200000000000001,2
2001-03-30,64.7,46.8,0.134,2
2001-03-31,71.9,47.5,0.0,2
2001-04-01,77.1,50.9,0.0,2
2001-04-02,78.3,61.9,0.0,2
2001-04-03,80.1,65.9,0.005,2
2001-04-04,80.4,63.5,0.002,2
2001-04-05,81.2,67.3,0.001,2
2001-04-06,79.0,65.2,0.033,2
2001-04-07,78.4,61.1,0.0,2
2001-04-08,83.0,65.4,0.0,2
2001-04-09,82.1,64.4,0.0,2
2001-04-10,80.8,65.5,0.024,2
2001-04-11,74.6,56.1,0.09000000000000001,2
2001-04-12,76.4,55.4,0.003,2
2001-04-13,80.3,59.6,0.016,2
2001-04-14,84.0,66.9,0.002,2
2001-04-15,83.6,63.5,0.0,2
2001-04-16,81.3,59.3,0.151,2
2001-04-17,66.3,48.5,0.037,2
2001-04-18,69.9,48.6,0.0,2
2001-04-19,78.8,55.3,0.0,2
2001-04-20,81.1,66.1,0.0,2
2001-04-21,83.2,64.8,0.017,2
2001-04-22,79.5,65.1,0.0,2
2001-04-23,75.3,56.0,0.30600000000000005,2
2001-04-24,74.3,51.5,0.196,2
2001-04-25,77.6,48.9,0.0,2
2001-04-26,79.2,51.1,0.0,2
2001-04-27,79.2,53.2,0.0,2
2001-04-28,79.8,54.2,0.0,2
2001-04-29,81.6,56.6,0.001,2
2001-04-30,82.4,59.7,0.005,2
2001-05-01,85.7,63.0,0.0,2
2001-05-02,85.0,65.4,0.002,2
2001-05-03,80.9,66.0,0.097,2
2001-05-04,78.0,63.5,0.625,2
2001-05-05,79.3,60.2,0.32599999999999996,2
2001-05-06,84.2,62.2,0.584,2
2001-05-07,82.1,61.2,0.132,2
2001-05-08,83.0,62.6,0.028000000000000004,2
2001-05-09,84.2,61.6,0.001,2
2001-05-10,85.1,63.2,0.074,2
2001-05-11,84.6,65.4,0.077,2
2001-05-12,82.2,64.3,0.066,2
2001-05-13,83.8,62.4,0.046,2
2001-05-14,85.2,64.4,0.0,2
2001-05-15,86.5,63.3,0.0,2
2001-05-16,90.5,68.4,0.0,2
2001-05-17,88.8,70.0,0.057999999999999996,2
2001-05-18,88.8,68.2,0.001,2
2001-05-19,85.1,68.7,0.05600000000000001,2
2001-05-20,89.2,67.9,0.063,2
2001-05-21,81.6,60.2,0.082,2
2001-05-22,82.0,53.7,0.002,2
2001-05-23,88.2,56.4,0.0,2
2001-05-24,87.3,62.2,0.034,2
2001-05-25,85.4,63.3,0.06899999999999999,2
2001-05-26,87.2,64.9,0.148,2
2001-05-27,91.9,69.2,0.003,2
2001-05-28,87.7,70.5,0.143,2
2001-05-29,89.0,71.0,0.009,2
2001-05-30,91.2,71.5,0.092,2
2001-05-31,88.1,67.6,0.10499999999999998,2
2001-06-01,88.8,67.6,0.21200000000000002,2
2001-06-02,92.9,71.6,0.0,2
2001-06-03,93.8,74.6,0.0,2
2001-06-04,92.8,73.1,0.02,2
2001-06-05,87.1,71.1,0.892,2
2001-06-06,89.3,69.3,0.004,2
2001-06-07,88.4,70.2,0.294,2
2001-06-08,86.5,70.7,1.221,2
2001-06-09,88.2,70.3,0.8640000000000001,2
2001-06-10,91.6,69.9,0.014000000000000002,2
2001-06-11,94.6,70.7,0.0,2
2001-06-12,95.5,74.5,0.004,2
2001-06-13,94.8,76.4,0.0,2
2001-06-14,92.4,72.9,0.093,2
2001-06-15,89.7,65.3,0.346,2
2001-06-16,93.2,70.8,0.0,2
2001-06-17,92.6,70.5,0.002,2
2001-06-18,92.5,69.2,0.0,2
2001-06-19,91.8,69.4,0.002,2
2001-06-20,92.2,70.0,0.047,2
2001-06-21,92.1,71.0,0.134,2
2001-06-22,90.8,68.9,0.018000000000000002,2
2001-06-23,91.5,68.8,0.099,2
2001-06-24,92.2,70.1,0.268,2
2001-06-25,91.6,70.1,0.20800000000000002,2
2001-06-26,91.6,71.0,0.079,2
2001-06-27,92.6,72.0,0.0,2
2001-06-28,94.0,72.9,0.072,2
2001-06-29,94.1,72.7,0.002,2
2001-06-30,92.8,73.1,0.087,2
2001-07-01,89.2,71.2,0.5319999999999999,2
2001-07-02,90.3,70.4,0.25699999999999995,2
2001-07-03,90.6,69.6,0.013000000000000001,2
2001-07-04,92.7,71.4,0.008,2
2001-07-05,94.5,72.8,0.001,2
2001-07-06,95.2,74.0,0.0,2
2001-07-07,95.0,74.5,0.006,2
2001-07-08,95.1,73.6,0.0,2
2001-07-09,96.2,73.7,0.022,2
2001-07-10,96.6,73.1,0.0,2
2001-07-11,97.2,74.5,0.0,2
2001-07-12,98.3,74.0,0.0,2
2001-07-13,97.7,75.5,0.0,2
2001-07-14,95.8,75.7,0.002,2
2001-07-15,97.6,74.9,0.126,2
2001-07-16,97.8,76.6,0.005,2
2001-07-17,96.7,75.8,0.002,2
2001-07-18,96.6,77.0,0.022,2
2001-07-19,95.9,75.9,0.002,2
2001-07-20,97.1,75.9,0.004,2
2001-07-21,98.5,74.5,0.0,2
2001-07-22,99.1,74.4,0.0,2
2001-07-23,98.8,74.8,0.0,2
2001-07-24,97.8,76.1,0.0,2
2001-07-25,97.3,75.4,0.0,2
2001-07-26,96.0,76.1,0.384,2
2001-07-27,94.1,75.9,0.191,2
2001-07-28,96.2,77.0,0.004,2
2001-07-29,97.6,76.5,0.0,2
2001-07-30,97.4,77.1,0.008,2
2001-07-31,96.8,76.4,0.003,2
2001-08-01,96.6,74.4,0.0,2
2001-08-02,95.9,75.7,0.004,2
2001-08-03,95.2,73.6,0.21199999999999997,2
2001-08-04,96.3,72.9,0.0,2
2001-08-05,99.6,72.7,0.045,2
2001-08-06,98.4,72.5,0.04800000000000001,2
2001-08-07,94.4,73.6,0.052000000000000005,2
2001-08-08,96.4,74.7,0.004,2
2001-08-09,97.2,74.4,0.059,2
2001-08-10,95.4,74.6,0.009,2
2001-08-11,95.7,75.2,0.049,2
2001-08-12,97.0,75.8,0.11400000000000002,2
2001-08-13,94.3,75.3,0.041999999999999996,2
2001-08-14,93.2,73.9,0.168,2
2001-08-15,96.2,73.7,0.002,2
2001-08-16,94.6,74.8,0.065,2
2001-08-17,93.4,74.0,0.07899999999999999,2
2001-08-18,95.7,73.9,0.034999999999999996,2
2001-08-19,94.1,72.1,0.033,2
2001-08-20,96.7,73.5,0.0,2
2001-08-21,95.5,74.3,0.0,2
2001-08-22,96.8,74.8,0.0,2
2001-08-23,97.0,74.1,0.007000000000000001,2
2001-08-24,96.9,74.3,0.0,2
2001-08-25,98.2,74.7,0.009,2
2001-08-26,92.1,71.6,0.637,2
2001-08-27,90.3,71.3,0.252,2
2001-08-28,85.3,69.9,0.7310000000000001,2
2001-08-29,82.7,70.8,0.7939999999999999,2
2001-08-30,82.0,70.7,0.966,2
2001-08-31,84.2,70.3,0.915,2
2001-09-01,87.8,70.1,0.5780000000000001,2
2001-09-02,91.2,71.1,0.44299999999999995,2
2001-09-03,92.4,70.7,0.288,2
2001-09-04,87.1,70.1,0.277,2
2001-09-05,85.2,70.5,0.8420000000000002,2
2001-09-06,90.8,71.3,0.06,2
2001-09-07,91.9,74.1,0.0,2
2001-09-08,90.6,73.4,0.015,2
2001-09-09,82.4,65.3,0.9119999999999999,2
2001-09-10,84.6,65.7,0.0,2
2001-09-11,86.7,67.8,0.0,2
2001-09-12,88.9,67.0,0.0,2
2001-09-13,89.3,67.7,0.008,2
2001-09-14,88.3,70.6,0.004,2
2001-09-15,88.5,69.5,0.081,2
2001-09-16,88.5,69.5,0.198,2
2001-09-17,89.0,69.8,0.0,2
2001-09-18,90.0,70.4,0.06,2
2001-09-19,90.4,72.0,0.0,2
2001-09-20,92.4,72.0,0.13699999999999998,2
2001-09-21,88.6,68.6,0.089,2
2001-09-22,86.2,67.5,0.4459999999999999,2
2001-09-23,85.5,65.6,0.172,2
2001-09-24,77.0,60.7,0.0,2
2001-09-25,76.7,55.6,0.0,2
2001-09-26,79.4,53.9,0.0,2
2001-09-27,82.3,54.4,0.0,2
2001-09-28,82.9,54.9,0.0,2
2001-09-29,82.3,56.7,0.001,2
2001-09-30,78.8,57.5,0.0,2
2001-10-01,79.5,56.2,0.0,2
2001-10-02,81.6,54.6,0.0,2
2001-10-03,83.4,60.1,0.0,2
2001-10-04,85.6,65.7,0.028000000000000004,2
2001-10-05,78.3,57.3,0.6369999999999999,2
2001-10-06,69.6,51.4,0.016,2
2001-10-07,76.6,52.2,0.0,2
2001-10-08,81.2,60.8,0.0,2
2001-10-09,83.9,67.8,0.006,2
2001-10-10,83.2,67.4,0.06799999999999999,2
2001-10-11,77.8,59.3,0.8099999999999999,2
2001-10-12,80.0,58.3,0.5469999999999999,2
2001-10-13,73.5,50.0,0.5429999999999999,2
2001-10-14,79.4,48.9,0.0,2
2001-10-15,79.4,52.8,0.0,2
2001-10-16,69.5,45.3,0.0,2
2001-10-17,74.4,44.8,0.0,2
2001-10-18,78.8,51.0,0.0,2
2001-10-19,79.9,54.6,0.0,2
2001-10-20,82.0,56.3,0.0,2
2001-10-21,82.0,58.8,0.0,2
2001-10-22,85.0,66.1,0.0,2
2001-10-23,85.8,67.3,0.0,2
2001-10-24,84.3,60.9,0.0,2
2001-10-25,77.5,53.3,0.0,2
2001-10-26,75.9,51.6,0.0,2
2001-10-27,75.7,51.7,0.0,2
2001-10-28,75.0,51.6,0.0,2
2001-10-29,76.1,50.2,0.0,2
2001-10-30,76.3,51.0,0.0,2
2001-10-31,80.3,55.2,0.001,2
2001-11-01,82.9,62.5,0.001,2
2001-11-02,82.8,62.5,0.0,2
2001-11-03,81.5,60.2,0.0,2
2001-11-04,79.2,58.4,0.03,2
2001-11-05,77.5,53.9,0.0,2
2001-11-06,77.0,50.6,0.002,2
2001-11-07,77.5,50.5,0.0,2
2001-11-08,75.5,55.1,0.033999999999999996,2
2001-11-09,68.7,52.5,0.26,2
2001-11-10,72.7,51.7,0.013000000000000001,2
2001-11-11,74.4,55.5,0.004,2
2001-11-12,75.2,58.2,0.092,2
2001-11-13,76.5,59.7,0.0,2
2001-11-14,73.4,59.7,0.22600000000000003,2
2001-11-15,69.6,61.4,1.2029999999999998,2
2001-11-16,68.9,58.9,0.6489999999999999,2
2001-11-17,71.0,57.2,0.03500000000000001,2
2001-11-18,75.3,56.6,0.0,2
2001-11-19,67.7,47.0,0.030000000000000006,2
2001-11-20,60.6,40.1,0.0,2
2001-11-21,63.2,39.1,0.006,2
2001-11-22,72.9,49.2,0.007000000000000001,2
2001-11-23,76.6,57.8,0.005,2
2001-11-24,71.1,47.3,0.005,2
2001-11-25,74.4,44.0,0.0,2
2001-11-26,73.8,55.9,0.008,2
2001-11-27,61.0,37.6,0.371,2
2001-11-28,39.9,30.1,0.7949999999999999,2
2001-11-29,47.8,28.8,0.08,2
2001-11-30,63.5,34.4,0.0,2
2001-12-01,68.2,42.9,0.025,2
2001-12-02,64.8,49.9,0.362,2
2001-12-03,69.7,53.4,0.005,2
2001-12-04,74.2,60.4,0.004,2
