,tmax,tmin,prcp,temp_id
2001-01-01,36.75,20.75,0.0,27
2001-01-02,35.25,21.75,0.0,27
2001-01-03,36.0,14.5,0.0,27
2001-01-04,38.75,19.5,0.0,27
2001-01-05,42.0,19.0,0.015000000000000001,27
2001-01-06,45.75,25.5,0.0,27
2001-01-07,53.5,24.5,0.0,27
2001-01-08,43.75,33.5,0.2425,27
2001-01-09,36.75,27.5,0.0,27
2001-01-10,49.5,27.5,0.0,27
2001-01-11,61.0,24.5,0.0,27
2001-01-12,48.5,31.25,0.0,27
2001-01-13,47.5,27.25,0.0,27
2001-01-14,48.25,26.75,0.0425,27
2001-01-15,56.25,36.0,0.0075,27
2001-01-16,49.5,33.5,0.0,27
2001-01-17,46.0,27.75,0.0,27
2001-01-18,40.25,34.5,0.16999999999999998,27
2001-01-19,48.75,37.25,0.8250000000000001,27
2001-01-20,39.5,33.0,0.42500000000000004,27
2001-01-21,37.5,24.25,0.0275,27
2001-01-22,36.75,21.25,0.0,27
2001-01-23,43.5,22.5,0.0,27
2001-01-24,47.75,26.75,0.0,27
2001-01-25,40.75,26.5,0.0,27
2001-01-26,41.25,21.0,0.0,27
2001-01-27,51.5,30.25,0.0,27
2001-01-28,46.5,23.5,0.0,27
2001-01-29,50.25,30.0,0.0025,27
2001-01-30,63.0,40.5,0.2825,27
2001-01-31,61.0,37.25,0.0,27
2001-02-01,50.5,32.0,0.0,27
2001-02-02,51.0,31.0,0.005,27
2001-02-03,40.25,24.25,0.0,27
2001-02-04,46.25,23.5,0.01,27
2001-02-05,46.5,35.0,0.4325,27
2001-02-06,54.25,30.0,0.0,27
2001-02-07,55.5,30.75,0.0,27
2001-02-08,62.5,32.25,0.0,27
2001-02-09,69.75,41.0,0.0,27
2001-02-10,63.75,34.5,0.005,27
2001-02-11,41.25,28.5,0.0,27
2001-02-12,37.25,30.25,0.045,27
2001-02-13,52.5,33.25,0.07750000000000001,27
2001-02-14,55.25,43.25,0.125,27
2001-02-15,63.25,46.0,0.025,27
2001-02-16,48.75,41.75,0.5675,27
2001-02-17,47.5,28.0,0.24500000000000002,27
2001-02-18,37.25,20.25,0.0,27
2001-02-19,50.75,21.75,0.0,27
2001-02-20,67.75,34.0,0.0,27
2001-02-21,61.75,32.5,0.0,27
2001-02-22,33.5,24.5,0.27,27
2001-02-23,48.25,20.5,0.0,27
2001-02-24,46.25,31.0,0.0,27
2001-02-25,60.75,38.25,0.25,27
2001-02-26,62.5,40.25,0.0,27
2001-02-27,58.0,32.25,0.0,27
2001-02-28,49.5,34.5,0.0025,27
2001-03-01,50.5,30.25,0.0,27
2001-03-02,59.25,35.75,0.01,27
2001-03-03,55.0,36.25,0.0,27
2001-03-04,47.75,40.0,0.28,27
2001-03-05,45.5,30.75,0.06,27
2001-03-06,39.5,25.0,0.0075,27
2001-03-07,49.0,32.25,0.0,27
2001-03-08,51.25,28.25,0.0,27
2001-03-09,49.0,32.5,0.0,27
2001-03-10,49.5,27.25,0.0,27
2001-03-11,66.5,29.75,0.0,27
2001-03-12,58.25,36.5,0.18250000000000002,27
2001-03-13,69.75,47.75,0.23249999999999998,27
2001-03-14,63.25,41.5,0.0,27
2001-03-15,51.25,40.5,0.48000000000000004,27
2001-03-16,52.5,42.0,0.005,27
2001-03-17,57.75,39.5,0.0,27
2001-03-18,53.0,35.75,0.0,27
2001-03-19,53.5,30.5,0.0,27
2001-03-20,50.75,32.5,0.3175,27
2001-03-21,53.75,43.75,1.1475000000000002,27
2001-03-22,58.75,42.75,0.042499999999999996,27
2001-03-23,62.75,35.5,0.0,27
2001-03-24,71.0,35.5,0.0,27
2001-03-25,50.0,31.75,0.0,27
2001-03-26,42.75,29.25,0.025,27
2001-03-27,43.25,23.75,0.0,27
2001-03-28,50.5,25.0,0.0,27
2001-03-29,52.5,37.25,1.1,27
2001-03-30,63.75,42.75,0.225,27
2001-03-31,53.0,43.0,0.20500000000000002,27
2001-04-01,48.75,42.5,0.265,27
2001-04-02,58.5,38.75,0.0,27
2001-04-03,56.75,38.5,0.0325,27
2001-04-04,56.75,41.0,0.0,27
2001-04-05,63.0,35.0,0.0,27
2001-04-06,75.25,46.0,0.0325,27
2001-04-07,79.5,51.5,0.0,27
2001-04-08,78.75,49.5,0.0,27
2001-04-09,88.25,55.5,0.04,27
2001-04-10,76.0,52.75,0.3825,27
2001-04-11,60.5,48.75,0.1525,27
2001-04-12,82.0,54.25,0.0,27
2001-04-13,76.5,57.0,0.135,27
2001-04-14,72.75,49.25,0.0,27
2001-04-15,74.25,49.75,0.0775,27
2001-04-16,60.5,45.0,0.045,27
2001-04-17,51.5,37.5,0.1225,27
2001-04-18,51.5,35.25,0.035,27
2001-04-19,62.5,31.0,0.0,27
2001-04-20,71.5,40.5,0.0,27
2001-04-21,77.0,55.5,0.0,27
2001-04-22,84.75,58.25,0.0,27
2001-04-23,85.25,57.5,0.0,27
2001-04-24,85.0,54.75,0.1525,27
2001-04-25,57.25,43.25,0.165,27
2001-04-26,64.0,39.75,0.0,27
2001-04-27,78.0,40.0,0.0,27
2001-04-28,70.0,48.0,0.0,27
2001-04-29,65.5,41.0,0.0,27
2001-04-30,74.5,40.75,0.0,27
2001-05-01,81.5,49.0,0.0,27
2001-05-02,83.25,56.0,0.0,27
2001-05-03,85.0,57.5,0.0,27
2001-05-04,86.25,58.0,0.0,27
2001-05-05,86.25,58.5,0.0625,27
2001-05-06,66.0,50.75,0.0225,27
2001-05-07,65.75,46.5,0.0,27
2001-05-08,70.75,46.75,0.0,27
2001-05-09,75.5,52.75,0.01,27
2001-05-10,81.5,53.75,0.0,27
2001-05-11,87.75,56.5,0.0,27
2001-05-12,85.0,60.25,0.14250000000000002,27
2001-05-13,70.25,52.5,0.0,27
2001-05-14,70.5,45.25,0.0,27
2001-05-15,66.25,49.0,0.075,27
2001-05-16,67.75,50.0,0.095,27
2001-05-17,61.25,52.5,0.0775,27
2001-05-18,73.25,57.25,0.11000000000000001,27
2001-05-19,75.75,59.5,0.3225,27
2001-05-20,69.0,60.5,0.0625,27
2001-05-21,69.0,59.5,0.5425000000000001,27
2001-05-22,83.0,61.0,0.375,27
2001-05-23,74.25,54.5,0.0,27
2001-05-24,78.5,51.5,0.025,27
2001-05-25,77.25,59.0,0.325,27
2001-05-26,71.25,59.25,0.7224999999999999,27
2001-05-27,78.75,58.75,0.07500000000000001,27
2001-05-28,72.0,58.75,0.0825,27
2001-05-29,75.75,58.5,0.10750000000000001,27
2001-05-30,73.5,55.5,0.0,27
2001-05-31,70.0,49.25,0.0,27
2001-06-01,71.5,55.5,0.925,27
2001-06-02,79.75,63.0,0.030000000000000002,27
2001-06-03,76.5,58.25,0.0075,27
2001-06-04,75.5,58.75,0.0475,27
2001-06-05,81.0,63.25,0.7,27
2001-06-06,83.25,66.25,0.42500000000000004,27
2001-06-07,78.5,66.0,0.275,27
2001-06-08,79.75,63.25,0.005,27
2001-06-09,80.75,60.5,0.0,27
2001-06-10,82.0,60.75,0.0,27
2001-06-11,85.75,62.25,0.0,27
2001-06-12,88.25,66.25,0.0,27
2001-06-13,89.0,70.0,0.0075,27
2001-06-14,85.75,72.75,0.0675,27
2001-06-15,82.5,72.5,0.3975,27
2001-06-16,81.0,71.0,1.8474999999999997,27
2001-06-17,86.5,67.25,0.0125,27
2001-06-18,83.25,63.25,0.0,27
2001-06-19,85.25,63.0,0.0,27
2001-06-20,88.25,66.25,0.0,27
2001-06-21,86.25,67.5,0.0,27
2001-06-22,86.5,67.25,0.6375,27
2001-06-23,78.5,66.0,0.14250000000000002,27
2001-06-24,78.75,63.25,0.04,27
2001-06-25,82.0,62.75,0.0,27
2001-06-26,85.0,64.0,0.005,27
2001-06-27,88.5,66.5,0.0,27
2001-06-28,91.25,70.25,0.0,27
2001-06-29,91.5,71.0,0.05,27
2001-06-30,92.25,72.5,0.0375,27
2001-07-01,88.5,72.0,0.025,27
2001-07-02,77.25,56.75,0.095,27
2001-07-03,79.25,55.5,0.0,27
2001-07-04,88.5,69.75,0.38,27
2001-07-05,87.5,68.0,0.0475,27
2001-07-06,79.75,60.25,0.0,27
2001-07-07,83.5,57.5,0.0,27
2001-07-08,82.75,67.5,0.245,27
2001-07-09,87.75,69.75,0.0075,27
2001-07-10,91.75,66.75,0.17500000000000002,27
2001-07-11,91.0,66.75,0.0,27
2001-07-12,82.25,62.75,0.0,27
2001-07-13,81.75,62.25,0.0,27
2001-07-14,83.0,60.75,0.0,27
2001-07-15,84.75,60.5,0.0,27
2001-07-16,88.75,62.5,0.0,27
2001-07-17,92.25,66.5,0.0,27
2001-07-18,79.75,71.5,0.28500000000000003,27
2001-07-19,79.25,67.25,0.03,27
2001-07-20,80.25,63.25,0.0,27
2001-07-21,82.0,59.5,0.0,27
2001-07-22,85.5,60.25,0.0,27
2001-07-23,89.75,67.75,0.145,27
2001-07-24,91.5,73.25,0.0125,27
2001-07-25,91.0,75.5,0.0,27
2001-07-26,85.75,70.5,0.985,27
2001-07-27,77.5,65.75,0.030000000000000002,27
2001-07-28,75.75,61.25,0.22,27
2001-07-29,68.75,62.75,1.4749999999999999,27
2001-07-30,78.5,65.75,0.0225,27
2001-07-31,80.25,64.0,0.0075,27
2001-08-01,82.0,62.75,0.0,27
2001-08-02,83.5,61.5,0.0,27
2001-08-03,85.75,63.25,0.0,27
2001-08-04,86.25,69.5,0.0,27
2001-08-05,88.75,69.5,0.2225,27
2001-08-06,90.25,70.75,0.0,27
2001-08-07,93.75,71.25,0.0,27
2001-08-08,94.75,72.75,0.0,27
2001-08-09,96.25,74.25,0.0,27
2001-08-10,95.5,74.75,0.3175,27
2001-08-11,88.25,73.0,0.51,27
2001-08-12,86.75,71.5,0.8925000000000001,27
2001-08-13,86.0,71.5,0.29500000000000004,27
2001-08-14,84.5,70.0,0.022500000000000003,27
2001-08-15,83.75,67.0,0.0025,27
2001-08-16,85.25,66.0,0.0,27
2001-08-17,88.0,70.5,0.0025,27
2001-08-18,84.75,68.5,0.5175,27
2001-08-19,82.75,70.5,0.13,27
2001-08-20,85.75,69.0,0.0475,27
2001-08-21,82.75,63.75,0.0,27
2001-08-22,85.5,64.0,0.0,27
2001-08-23,87.5,65.75,0.3925,27
2001-08-24,83.0,67.5,0.015000000000000001,27
2001-08-25,81.75,66.25,0.0,27
2001-08-26,83.0,63.5,0.0,27
2001-08-27,89.5,67.75,0.22,27
