,tmax,tmin,prcp,temp_id
2001-01-01,33.0,7.0,0.005,39
2001-01-02,27.0,8.5,0.0,39
2001-01-03,36.0,16.5,0.0,39
2001-01-04,49.5,24.0,0.0,39
2001-01-05,54.0,27.5,0.0,39
2001-01-06,47.0,24.0,0.0,39
2001-01-07,32.0,14.0,0.0,39
2001-01-08,36.5,10.0,0.0,39
2001-01-09,36.5,9.0,0.0,39
2001-01-10,42.0,18.0,0.0,39
2001-01-11,36.5,14.5,0.0,39
2001-01-12,42.0,15.5,0.0,39
2001-01-13,31.0,22.0,0.07,39
2001-01-14,30.0,11.5,0.0,39
2001-01-15,24.5,8.5,0.0,39
2001-01-16,19.0,9.0,0.085,39
2001-01-17,20.5,-5.5,0.0,39
2001-01-18,28.0,11.5,0.0,39
2001-01-19,27.0,7.0,0.0,39
2001-01-20,33.5,17.5,0.0,39
2001-01-21,33.0,12.5,0.0,39
2001-01-22,35.0,13.0,0.0,39
2001-01-23,32.0,13.5,0.0,39
2001-01-24,26.5,6.5,0.0,39
2001-01-25,35.0,11.5,0.0,39
2001-01-26,30.5,18.5,0.0,39
2001-01-27,27.5,12.5,0.02,39
2001-01-28,23.5,14.0,0.08,39
2001-01-29,25.0,7.0,0.015,39
2001-01-30,29.0,10.0,0.0,39
2001-01-31,32.5,8.5,0.0,39
2001-02-01,35.5,12.0,0.0,39
2001-02-02,43.0,22.5,0.0,39
2001-02-03,39.5,21.5,0.0,39
2001-02-04,44.0,18.5,0.0,39
2001-02-05,48.0,23.5,0.0,39
2001-02-06,30.5,18.5,0.115,39
2001-02-07,22.0,3.5,0.045000000000000005,39
2001-02-08,6.5,-5.5,0.01,39
2001-02-09,9.5,-11.5,0.0,39
2001-02-10,22.5,0.0,0.0,39
2001-02-11,31.5,7.5,0.0,39
2001-02-12,30.0,8.0,0.0,39
2001-02-13,33.5,8.0,0.01,39
2001-02-14,20.5,2.0,0.03,39
2001-02-15,31.0,8.0,0.0,39
2001-02-16,20.0,6.0,0.005,39
2001-02-17,35.0,8.0,0.0,39
2001-02-18,42.5,15.5,0.0,39
2001-02-19,41.0,23.5,0.0,39
2001-02-20,40.5,21.0,0.005,39
2001-02-21,44.0,17.5,0.0,39
2001-02-22,45.5,23.5,0.0,39
2001-02-23,36.0,27.0,0.05,39
2001-02-24,32.0,20.5,0.055,39
2001-02-25,42.0,18.5,0.0,39
2001-02-26,34.5,18.0,0.005,39
2001-02-27,20.5,10.0,0.10500000000000001,39
2001-02-28,37.5,6.0,0.0,39
2001-03-01,42.0,15.0,0.0,39
2001-03-02,43.0,15.0,0.0,39
2001-03-03,40.0,18.0,0.0,39
2001-03-04,42.5,16.5,0.0,39
2001-03-05,53.0,22.5,0.0,39
2001-03-06,50.5,29.0,0.0,39
2001-03-07,50.5,24.5,0.0,39
2001-03-08,53.5,25.0,0.0,39
2001-03-09,53.5,27.0,0.0,39
2001-03-10,37.5,27.0,0.07,39
2001-03-11,32.5,24.0,0.095,39
2001-03-12,44.0,23.0,0.005,39
2001-03-13,51.0,27.5,0.0,39
2001-03-14,41.0,24.0,0.060000000000000005,39
2001-03-15,36.0,16.0,0.055,39
2001-03-16,38.0,16.5,0.0,39
2001-03-17,38.0,20.5,0.0,39
2001-03-18,46.0,23.5,0.0,39
2001-03-19,57.0,24.0,0.0,39
2001-03-20,63.5,36.5,0.0,39
2001-03-21,57.0,35.5,0.02,39
2001-03-22,61.5,32.0,0.0,39
2001-03-23,54.0,28.0,0.0,39
2001-03-24,36.0,24.5,0.01,39
2001-03-25,39.0,24.5,0.0,39
2001-03-26,48.5,27.0,0.0,39
2001-03-27,48.0,24.5,0.0,39
2001-03-28,50.5,22.0,0.0,39
